Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,17948.4,0,17948.4,99478,71024,0,0,0,0,0,0,0,0,0,0,0,
1,17783.755522174091,33.888292817887915,17817.643814991978,99478,71024,-0.020244441566657004,-0.0016534235819540017,0.0019580521352144686,8.8145316294147941e-06,0.019071306326799171,-0.020244441566657004,-0.0016534235819540017,0.0019580521352144686,8.8145316294147941e-06,0.019071306326799171,0.88144434840984998,
2,17669.4890688454,61.595702619093522,17731.084771464491,99478,71024,-0.0094721779197189399,-0.0020867690036371076,0.0021498818948269614,6.2438229877724736e-06,0.0084320676681470114,-0.027946801258089862,-0.0037401925855911149,0.0039818069002933538,2.7614571572421327e-05,0.026141946200551339,2.7614295426705602,
3,17575.517368561817,78.305762513582906,17653.823131075402,99478,71024,-0.0068153496455711495,-0.0022378336569452875,0.0022623825686348097,5.9832071791190272e-06,0.0032286872407071192,-0.033253083192853278,-0.0059780262425363851,0.0061857039383453319,5.6071217705706807e-05,0.029039695893322004,5.6070656993529751,
4,17492.381194624235,88.686237984487917,17581.067432608725,99478,71024,-0.0055643045710360882,-0.0022936109667092792,0.0023042217971826675,5.872960356880075e-06,0.0016557770885248448,-0.037904523350539239,-0.008271637209245666,0.0084532336546299259,9.4667790895832963e-05,0.029599746733529504,9.4666844217924009,
5,17416.245372986388,95.404914382567142,17511.650287368957,99478,71024,-0.005135927332133714,-0.0023066868721778899,0.002311643065925335,5.7445913010885485e-06,0.0011564802001494743,-0.041992154485637104,-0.010578324081423555,0.010735345912952545,0.00014341809738362504,0.028830692788839311,14.341666320265119,
6,17345.258614332302,99.902738132443588,17445.161352464747,99478,71024,-0.0048035963468705438,-0.0022980130916325924,0.0023001124470529168,5.590440227197652e-06,0.00093785440922686085,-0.045642579161846782,-0.012876337173056165,0.013009704876730716,0.0002020528038155507,0.027400461432881818,20.205078328751256,
7,17278.400398315582,102.98208392343277,17381.382482239016,99478,71024,-0.0046320479469909503,-0.0022774833062915553,0.0022783812756919501,5.420910260370352e-06,0.00065782947221296423,-0.048986562604263276,-0.015153820479347718,0.015264784454388005,0.00027016719900482101,0.025639679189375812,27.016449733283096,
8,17215.043506806567,105.11028975589643,17320.153796562463,99478,71024,-0.0044075898556817173,-0.0022502454805461702,0.0022508616590722194,5.2448591705690048e-06,0.00048996635811179542,-0.052099583395923466,-0.017404065959893859,0.017494307834588167,0.00034730069747614903,0.023714395619326655,34.729722446917428,
9,17154.765716335707,106.57281375629718,17261.338530092005,99478,71024,-0.0042372209750937816,-0.0022191595450545025,0.0022195967960399825,5.0679274215602789e-06,0.00047757757189524137,-0.055029383802584285,-0.019623225504948365,0.019694894955635332,0.00043297672890447455,0.021766550612330744,43.297239913718549,
10,17097.260661100685,107.55236604035797,17204.813027141045,99478,71024,-0.004045386980070469,-0.0021858935411315172,0.0021862008994630493,4.8934022346755662e-06,0.00045698407815001219,-0.057808347430440804,-0.021809119046079906,0.021864803286842829,0.00052672226116773477,0.019834999075470171,52.671699394512309,
11,17042.292280598336,108.17118888432624,17150.463469482664,99478,71024,-0.0038897870146773327,-0.0021514578883001408,0.0021516767425571325,4.7231020397491185e-06,0.0004281380217881898,-0.060459611425553575,-0.023960576934380012,0.024002677545250081,0.00062807708977340399,0.017872066467304552,62.807080900250625,
12,16989.669972605174,108.51445881120155,17098.184431416375,99478,71024,-0.0037316372112214538,-0.0021164832644784918,0.0021166326485584758,4.5579733594564523e-06,0.00038968585250879025,-0.063367831365784777,-0.02607706019885855,0.026107581467847637,0.00073659799709402179,0.015895993839831177,73.659063111405089,
13,16939.234236245487,108.64370277818882,17047.877939023678,99478,71024,-0.0035718566576992314,-0.002081372699116092,0.0020814781172697715,4.3984554235574384e-06,0.00034273977615228789,-0.066170414332791749,-0.028158432897974622,0.028179097891582672,0.00085186034371491468,0.013919043059094222,85.185182511147758,
14,16890.847932824981,108.60476115961902,16999.4526939846,99478,71024,-0.003415763810077447,-0.0020463883737164464,0.0020464645178080183,4.2446956171784341e-06,0.00028847179154589046,-0.068858495689000723,-0.030204821271691051,0.030218593338521539,0.00097345838589859538,0.011949714386466331,97.34486513147364,
15,16844.390707204191,108.43267945923378,16952.823386663425,99478,71024,-0.003266347711862808,-0.002011702935248388,0.0020117639601849595,4.0966753502559918e-06,0.00022806812695917082,-0.071441571414033928,-0.032216524206939524,0.03222577409550139,0.0011010049757970619,0.0099940455864317886,110.09939657473039,
16,16799.755268671815,108.1548177115283,16907.910086383345,99478,71024,-0.0031251334574859671,-0.0019774307618173137,0.0019774810742423407,3.9542833560356827e-06,0.00020374298199236484,-0.073927985815333871,-0.034193954968756775,0.034200842285093305,0.0012341309775173025,0.0080564016189770844,123.41186362075274,
17,16756.844811779782,107.79289473973466,16864.637706519516,99478,71024,-0.0029927344319799327,-0.0019436475210094903,0.0019436885774166365,3.8173583481067323e-06,0.00020010022553101025,-0.076325108127539412,-0.036137602489766364,0.036143162507074285,0.0013724845665690438,0.0061399725225777602,137.24708417233782,
18,16715.571163120392,107.36437701727365,16822.935540137667,99478,71024,-0.0028692056887119079,-0.00191040269283199,0.0019104359624124677,3.6857138265215547e-06,0.00019634291218833635,-0.078639472548819978,-0.038048005182598196,0.038052626585571007,0.0015157304952344228,0.0060503471567938047,151.57153379294704,
19,16675.853406913531,106.88345231822903,16782.736859231762,99478,71024,-0.0027542706163857012,-0.0018777277562225048,0.0018777596240199207,3.5591524628274655e-06,0.00019247059390988574,-0.080876892717306095,-0.039925732938820874,0.039929524402113281,0.0016635493629242931,0.0059979546329786207,166.35327274306638,
20,16637.616836810437,106.3617325086949,16743.978569319133,99478,71024,-0.0026474662992569124,-0.0018456416425658806,0.0018456725263632269,3.4374743875173915e-06,0.00018848355978441994,-0.083042557230011763,-0.041771374581386689,0.041774493599015007,0.001815636908642853,0.0058707800915908529,181.56187522737667,
21,16600.792136631604,105.80877443658679,16706.600911068192,99478,71024,-0.0025482363046675036,-0.0018141544316849724,0.0018141843208371077,3.3204819030932832e-06,0.0001843830195292561,-0.08514111043386545,-0.043585529013071667,0.043588081447505596,0.0019717033318950063,0.0056686757761088315,197.16836148616872,
22,16565.314726196044,105.23247512491744,16670.547201320962,99478,71024,-0.0024559892566827011,-0.0017832698970292732,0.0017832987834618219,3.2079821011489971e-06,0.00018017115737841975,-0.087176721377898114,-0.045368798910100948,0.045370928337749757,0.0021314726433255332,0.0053921895948642121,213.14513285990998,
23,16531.124229112072,104.63937769929801,16635.763606811372,99478,71024,-0.0023775042993062797,-0.0017529872843171004,0.0017530151622767456,3.0997882513731623e-06,0.00017585110458487243,-0.089153143017974196,-0.047121786194418043,0.047123621682338267,0.0022946820442277731,0.005042471414416762,229.46590974073308,
24,16498.164032721641,104.03491226542623,16602.198944987067,99478,71024,-0.00233985176758768,-0.0017233025721679245,0.0017233294379924442,2.9957204746951611e-06,0.00017142686272491245,-0.091073763263408353,-0.048845088766585935,0.048846728616985288,0.0024610813333258517,0.0050470834401051025,246.10567225125183,
