Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,17948.4,0,17948.4,99478,71024,0,0,0,0,0,0,0,0,0,0,0,
1,12440.977436457506,2.0754667746079968e-12,12440.977436457508,99478,71024,-0.87885058655942938,-0.078062630926017659,0.19362943535979762,0.061569593727782271,1,-0.87885058655942938,-0.078062630926017659,0.19362943535979762,0.061569593727782271,1,6156.897803184499,
2,11100.996349083141,5.346522200019451e-12,11100.996349083147,99478,71024,-1,-0.0074977511758164347,0.095354888966219117,0.015873364222677381,1,-1.8788505865594294,-0.085560382101834268,0.27199677118770438,0.12465461233828942,2,12465.336579216604,
3,10391.586453392572,9.1896848972460331e-12,10391.586453392581,99478,71024,-1,-0.0088298523553988276,0.070377112123308938,0.0104745983215635,0.31326543586808492,-2.8788505865594294,-0.094390234457232824,0.32950138266374279,0.18930383766932291,2.241984408077788,18930.19446309462,
4,9938.8550506405754,1.3996943744387193e-11,9938.85505064059,99478,71024,-1,-0.016005018713626192,0.060271917503608809,0.01066209601404863,0.31476015089720849,-3.8788505865594294,-0.1103952531708587,0.37984669434384105,0.26650149043818566,2.3406879695313663,26649.882542328127,
5,9620.4740684693134,2.0382595877670797e-11,9620.4740684693334,99478,71024,-1,-0.021694626850743637,0.0561131181641241,0.012841634281118687,0.2248602468359891,-4.8788505865594294,-0.13208988002160271,0.42746689151800255,0.36662743743166454,2.411588485335292,36662.377115729025,
6,9382.7234860016797,2.9098187400189724e-11,9382.7234860017088,99478,71024,-1,-0.026828425331993453,0.055043168430387077,0.016180544921785573,0.22064281977085703,-5.8788505865594294,-0.15891830535359608,0.47484299623409454,0.50119706484763193,2.5219223417316416,50119.205287698343,
7,9197.9698899370669,4.0991109785951701e-11,9197.9698899371087,99478,71024,-1,-0.031893223868176529,0.05583388767784473,0.020386902141010216,0.19267872896532198,-6.8788505865594294,-0.190811529221773,0.52362646877485131,0.68290012745936624,2.6088440827931016,68289.329845809159,
8,9050.3175795796033,5.6901460860486305e-11,9050.3175795796597,99478,71024,-1,-0.036875357564171457,0.057669745191493343,0.024973786730289646,0.16574712825027943,-7.8788505865594294,-0.22768688678594418,0.57475017379686322,0.92402367926846207,2.6788706791197114,92401.443903166932,
9,8929.6881265005541,7.7599019104907418e-11,8929.6881265006323,99478,71024,-1,-0.041749410312817946,0.060102763684132206,0.029604925169572242,0.19891743676671697,-8.8788505865594303,-0.2694362970987621,0.62877292288386943,1.2357751220147175,2.7361655373211033,123576.27642634974,
10,8829.341856232968,1.0388836034310959e-10,8829.3418562330717,99478,71024,-1,-0.046652880450837771,0.063106911468065505,0.034541940297787586,1,-9.8788505865594303,-0.31608917754959998,0.6861706999800079,1.6299702622594721,2.783557370232868,162995.39625568496,
11,8744.7110794561613,1.3660478286498996e-10,8744.7110794562977,99478,71024,-1,-0.051586963376474677,0.066433453320576777,0.039588078732132027,1,-10.87885058655943,-0.36767614092607376,0.74726351724278239,2.1188520586475126,2.8230578042268815,211883.08701269262,
12,8672.5647485132577,1.7643629645387431e-10,8672.5647485134341,99478,71024,-1,-0.056318853223486828,0.069865157882808518,0.044548597726785231,1,-11.87885058655943,-0.42399499414956082,0.812061754679542,2.7125924155466676,2.8561501415653399,271256.52896225121,
13,8610.489856641223,2.2403682743801397e-10,8610.4898566414467,99478,71024,-1,-0.060829951207916462,0.073352508782735235,0.049362922509536701,1,-12.87885058655943,-0.48482494535747789,0.88053256655195999,3.4206907105888869,2.8839573065088095,342065.65036817809,
14,8556.6155489913162,2.8013118041426154e-10,8556.6155489915964,99478,71024,-1,-0.06539397064888379,0.07694684416490831,0.054234844233764755,1,-13.87885058655943,-0.55021891600636263,0.95285914011308004,4.2544947304580738,2.9073484931941631,425445.21855107695,
15,8509.4983338064376,3.4534098473147134e-10,8509.4983338067832,99478,71024,-1,-0.069722405370220647,0.08042705485700255,0.058847442297624744,1,-14.87885058655943,-0.61994132137658298,1.0289103774564394,5.2234965889798879,2.9270090000467386,522344.43540139979,
16,8468.0373640221005,4.2010711902884866e-10,8468.0373640225207,99478,71024,-1,-0.073748038878185943,0.083810623575278242,0.063224519895672016,1,-15.87885058655943,-0.69368936025476879,1.1084679721147479,6.3338503825903825,2.9434882600479906,633378.70440865564,
17,8431.3465334252342,5.050980965974988e-10,8431.3465334257398,99478,71024,-1,-0.077759735326026161,0.087165786722712538,0.067528302783767036,1,-16.87885058655943,-0.77144909558079411,1.1915856303767649,7.5960002408591958,2.9572335624343511,759592.42808567872,
18,8398.7069285078214,6.0073078939875845e-10,8398.7069285084217,99478,71024,-1,-0.08151945222555021,0.090357416812502117,0.071524092118741361,1,-17.87885058655943,-0.8529685478063439,1.2780576992865975,9.0163552185003351,2.9686142361812933,901626.50549481495,
19,8369.5289409694979,7.0762806876606402e-10,8369.5289409702054,99478,71024,-1,-0.085307730871974283,0.093622180517118389,0.075561561296825577,1,-18.87885058655943,-0.93827627867831942,1.3679628060312816,10.60477328007741,2.9779391264325361,1060466.7232344609,
20,8343.3476408184506,8.2632697441433384e-10,8343.3476408192764,99478,71024,-1,-0.089047960772339521,0.096908050522321126,0.079651477965539313,1,-19.87885058655943,-1.0273242394506565,1.4612851491035852,12.369702545067829,2.985467796949608,1236957.8848042379,
21,8319.7814206694948,9.5712389422920186e-10,8319.7814206704516,99478,71024,-1,-0.092552570812808974,0.10011286803555278,0.083630306249836181,1,-20.87885058655943,-1.1198768102634689,1.5578308243970955,14.315578710675791,2.9914204701571245,1431543.5554888684,
22,8298.5076388196594,1.1005869974565167e-09,8298.5076388207599,99478,71024,-1,-0.095915373316762309,0.10314933629929052,0.087392034704166899,1,-21.87885058655943,-1.2157921835802306,1.657487802739815,16.451575371105161,2.9959867862241465,1645141.0855351449,
23,8279.2416770448453,1.2571085567386407e-09,8279.2416770461023,99478,71024,-1,-0.099116426342439112,0.10604467159883008,0.090933958804805384,1,-22.87885058655943,-1.3149086099226672,1.7601000440532277,18.783064200831383,2.9993325090441401,1878287.6370189374,
24,8261.7418810373911,1.4270528537861947e-09,8261.741881038819,99478,71024,-1,-0.10220724454884351,0.10879860457875758,0.094287324923364377,1,-23.87885058655943,-1.4171158544715154,1.8655886479088977,21.31859739196867,3.0016035894450233,2131838.420599475,
25,8245.8028209389977,1.6108494946834169e-09,8245.8028209406093,99478,71024,-1,-0.10509028459164288,0.11147655405669345,0.097559884788066681,1,-24.87885058655943,-1.5222061390631567,1.9737717539823967,24.062396958701733,3.0029301270001159,2406215.6334732147,
26,8231.247257154233,1.8086878339824322e-09,8231.2472571560411,99478,71024,-1,-0.10788297284576719,0.11397863800918841,0.10059656773544073,1,-25.87885058655943,-1.6300891119089254,2.0845707388654269,27.020191624576647,3.0034246081791909,2701992.1422660402,
27,8217.933350045445,2.0209602841670018e-09,8217.9333500474659,99478,71024,-1,-0.1105065444321988,0.11633058305814124,0.10343992976578795,1,-26.87885058655943,-1.7405956563411196,2.1978236577631782,30.195779676770776,3.0031840260688609,3019547.7718974007,
28,8205.721695116843,2.2469481077572644e-09,8205.7216951190894,99478,71024,-1,-0.11258462196204796,0.11856720641670294,0.10610628966977577,1,-27.756365116261865,-1.8531802783031663,2.3130069676785201,33.575574102090549,3.0022931923585103,3357523.8346349527,
29,8194.4938477427258,2.4853416389195721e-09,8194.4938477452106,99478,71024,-1,-0.11410145311568522,0.12071799557931984,0.10864056832340602,1,-28.756365116261865,-1.9672817314188547,2.4295680488915896,37.137722509086693,3.0008285730049331,3713735.1131861601,
30,8184.1548309958562,2.7305212299814696e-09,8184.1548309985865,99478,71024,-1,-0.11389691408765645,0.12274470252057491,0.11101790641098305,1,-29.756365116261865,-2.0811786455065078,2.5457931132399834,40.785283445562776,2.9988588097769551,4078487.5592728322,
31,8174.6196219385783,2.9782442440303649e-09,8174.6196219415569,99478,71024,-1,-0.11249067701930709,0.12483051736609105,0.11346506757411472,1,-30.126248553817085,-2.1936693225258153,2.6604917028855408,44.462808785091241,2.9964438613870614,4446236.4157003388,
32,8165.8124061998024,3.2231192667372839e-09,8165.8124062030256,99478,71024,-1,-0.10981544936442506,0.12688865089878704,0.11595027773829439,1,-31.030523375120367,-2.3034847718902403,2.7724054029891829,48.088376574076307,2.9936362131420533,4808789.5690310569,
33,8157.663223833003,3.4636584469328047e-09,8157.6632238364664,99478,71024,-1,-0.10685136482237616,0.12876253894681669,0.11812843496640672,1,-30.208777070281364,-2.4103361367126204,2.8812509826910757,51.656240601847387,2.9904836018848799,5165572.4039441366,
