Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,17948.4,0,17948.4,99478,71024,0,0,0,0,0,0,0,0,0,0,0,
1,17914.534286584716,7.0995626055879439,17921.633849190304,99478,71024,-0.0042013387398859075,-0.00033651234511216315,0.00039798827498062757,3.6720769108364578e-07,0.003833183910158413,-0.0042013387398859075,-0.00033651234511216315,0.00039798827498062757,3.6720769108364578e-07,0.003833183910158413,0.036720401900673494,
2,17890.1717849165,13.030961557508391,17903.202746474009,99478,71024,-0.0019523014875350673,-0.0004320091952904853,0.00044446585838748642,2.6825953709157581e-07,0.0016326338098222588,-0.0058653659839217279,-0.00076852154040264861,0.00081648802112164337,1.1665277088965885e-06,0.0051759904573607978,0.11665160436194995,
3,17869.345303735394,16.82175752710641,17886.167061262498,99478,71024,-0.0014178495072343746,-0.0004706498412832655,0.00047538751459414591,2.6534653800290449e-07,0.00058153199561625127,-0.0070423659268499094,-0.0012391713816859141,0.0012799770185715077,2.4085102266602926e-06,0.0056919094902797241,0.24084861415580261,
4,17850.221915214966,19.361490395747495,17869.583405610712,99478,71024,-0.0011842505170846357,-0.00049013390562219802,0.00049218009189625465,2.6879576712264187e-07,0.00032884854687375366,-0.0081289738858640447,-0.0017293052873081111,0.0017646222163897711,4.1356404848974599e-06,0.0057464319387443468,0.41355991284926108,
5,17832.073951872997,21.164202672839554,17853.238154545837,99478,71024,-0.0011068219044317689,-0.00050085046928886716,0.00050178879918078164,2.713302713784979e-07,0.00023101241722378756,-0.0090897325096002714,-0.0022301557565969788,0.0022603283273044564,6.3708428432993979e-06,0.0055425367625090913,0.63707791348709653,
6,17814.560419231533,22.510757345510982,17837.071176577043,99478,71024,-0.0010521647549782242,-0.00050696218046950893,0.00050734468016135309,2.7249211567589303e-07,0.00018547755087074651,-0.0099690614806258997,-0.002737117937066482,0.0027623503974802776,9.1245451239157501e-06,0.00520887373109473,0.91244538784645113,
7,17797.501787010544,23.558999071092451,17821.060786081638,99478,71024,-0.0010178103870973117,-0.00051045166108042834,0.0005106219992521713,2.7266516331957176e-07,0.00012712525382767769,-0.010792132876655463,-0.0032475695981469153,0.0032681623292655226,1.2400504460649553e-05,0.0048073593411876924,1.2400380455604947,
8,17780.794799075858,24.401549520450114,17805.19634859631,99478,71024,-0.00098335880171986057,-0.00051235597479946493,0.00051247363203705773,2.7220257895044185e-07,9.7963397741234219e-05,-0.011573855168000077,-0.0037599255729463821,0.0037762432960787786,1.6198959472372856e-05,0.0043831886577166412,1.6198797482778133,
9,17764.375414139722,25.095534536223365,17789.470948675946,99478,71024,-0.00095841393448236451,-0.00051325638861592733,0.00051333883732453415,2.713428743185478e-07,9.5310608097431981e-05,-0.01232371654106853,-0.0042731819615622986,0.0042857508798565067,2.0518281809654116e-05,0.00394923023398705,2.0518076626836019,
10,17748.201373100968,25.677848377163922,17773.879221478132,99478,71024,-0.00093143286326711691,-0.00051349698458068771,0.00051355403544746955,2.7023707865444577e-07,9.0981773653727238e-05,-0.013048147774429367,-0.0047866789461430042,0.0047961007239293854,2.5355839225783648e-05,0.0034961673976462038,2.5355585667391392,
11,17732.243299285838,26.173399856457621,17758.416699142294,99478,71024,-0.00090275957223960547,-0.00051328989598902635,0.00051332955663679208,2.6897821737610757e-07,8.4853416346935534e-05,-0.013751722077867934,-0.0052999688421320199,0.0053067005307944172,3.0708442115540404e-05,0.0030294806349052813,3.0708135031119248,
12,17716.479861649161,26.599718655935106,17743.079580305097,99478,71024,-0.00087926504725592926,-0.00051277044086925339,0.00051279710200559793,2.6762320870997523e-07,7.6666602653604362e-05,-0.014437808266076076,-0.0058127392830012734,0.005817265242363528,3.6572576237498833e-05,0.0025528429195506995,3.657221051173646,
13,17700.894999629356,26.969609068313883,17727.86460869767,99478,71024,-0.00085647729108174228,-0.00051202761249825044,0.00051204661218095312,2.6620714561094191e-07,6.6624835551148362e-05,-0.015149389129855534,-0.0063247668954995329,0.006327649858406021,4.2944526879185193e-05,0.002068828496142359,4.2944097433916397,
