Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,17948.4,0,17948.4,99478,71024,0,0,0,0,0,0,0,0,0,0,0,
1,12440.977445146182,3.3064695384315551e-06,12440.977448452652,99478,71024,-0.87885055205212936,-0.078062655845207204,0.1936293947609582,0.06156954028618896,1,-0.87885055205212936,-0.078062655845207204,0.1936293947609582,0.06156954028618896,1,6156.89245907861,
2,11100.99636041301,9.1654348952629355e-06,11100.996369578445,99478,71024,-1,-0.0074977158471925534,0.09535484127808902,0.01587329690930285,1,-1.8788505520521293,-0.085560371692400036,0.27199668338250121,0.12465441763888666,2,12465.317109471027,
3,10391.586465740489,1.5765221101403386e-05,10391.58648150571,99478,71024,-1,-0.008829853767020902,0.070377104286464029,0.010474594864827937,0.31326533420661479,-2.8788505520521293,-0.094390225459420621,0.32950128722657468,0.18930352297272485,2.241984300828157,18930.162993749513,
4,9938.8550638239794,2.3155007869750727e-05,9938.8550869789869,99478,71024,-1,-0.016005019102969226,0.060271907110950783,0.010662091626600973,0.31475994977123428,-3.8788505520521293,-0.11039524456238985,0.37984658869007909,0.26650104642727374,2.3406878283806529,26649.838141680946,
5,9620.4740824172022,3.1836311267684125e-05,9620.4741142535131,99478,71024,-1,-0.021694624154896508,0.056113104087601971,0.012841626825578656,0.2248601328225526,-4.8788505520521293,-0.13208986871728637,0.42746677203750394,0.36662684570663789,2.4115872882925049,36662.317943818081,
6,9382.723500650196,4.2496253907450886e-05,9382.7235431464505,99478,71024,-1,-0.026828418617158855,0.055043150283878996,0.01618053438382842,0.22064271027646853,-5.8788505520521293,-0.15891828733444546,0.47484285887400102,0.5011962997202033,2.5219210516233832,50119.128775720608,
7,9197.969905111775,5.5913438302622852e-05,9197.9699610252137,99478,71024,-1,-0.031892824501863454,0.055833477151657332,0.02038612835506852,0.19267863745233635,-6.8788505520521293,-0.190811111836309,0.52362592120003604,0.68289433521889642,2.6088427016719447,68288.750627554429,
8,9050.31759507471,7.2834410293862878e-05,9050.3176679091212,99478,71024,-1,-0.036845194966390112,0.057659676821359182,0.024963715063478047,1,-7.8788505520521293,-0.22765630680269869,0.57471945320044948,0.92363175580630863,2.6788692096539388,92362.251948875055,
9,8929.6881421408689,9.3932273698179119e-05,8929.6882360731433,99478,71024,-1,-0.041699470245828055,0.060093024908698743,0.029590818558401996,1,-8.8788505520521284,-0.26935577704852759,0.62869225232513215,1.2345788818530687,2.7361639825622617,123456.65360642502,
