Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,17948.4,0,17948.4,99478,71024,0,0,0,0,0,0,0,0,0,0,0,
1,17947.769321600153,0.18317162425727662,17947.952493224409,99478,71024,-8.4014628421095393e-05,-6.7255704708789105e-06,7.9431338394946645e-06,1.4654207968464794e-10,7.4135328953014697e-05,-8.4014628421095393e-05,-6.7255704708789105e-06,7.9431338394946645e-06,1.4654207968464794e-10,7.4135328953014697e-05,1.4654061426385109e-05,
2,17947.32704381071,0.1872459332212511,17947.514289743933,99478,71024,-5.9628061494179316e-05,-9.4074933295318443e-06,9.6678826407001718e-06,1.2333608602323505e-10,6.2758311655133827e-05,-0.00012482914630407611,-1.6133063800410734e-05,1.6864985320742135e-05,4.6124676119182982e-10,0.00012551440821700902,4.612421487242179e-05,
3,17946.884851452454,0.19402624631578269,17947.078877698768,99478,71024,-5.9621428010749913e-05,-9.4067631218514272e-06,9.6671659463029408e-06,1.2331688783615471e-10,6.2761512622761315e-05,-0.00017888462995309666,-2.5539826922262138e-05,2.6438657201970911e-05,1.0225647146791119e-09,0.00018827592083977033,0.00010225544890319651,
4,17946.442734411576,0.20352434221124457,17946.646258753786,99478,71024,-5.961479592087771e-05,-9.4059851237584525e-06,9.6664016095146417e-06,1.2329676847198652e-10,6.2764713893172195e-05,-0.00023849942587397436,-3.4945812046020648e-05,3.607722527803293e-05,1.8304399112050387e-09,0.00025104063473294254,0.00018304216068059268,
5,17946.0006926682,0.21573983037434097,17946.216432498575,99478,71024,-5.9608165203701734e-05,-9.4052072223922833e-06,9.6656373672813081e-06,1.2327665361005998e-10,6.2767915380730881e-05,-0.0002981075910776761,-4.4351019268412884e-05,4.5730138442054218e-05,2.8848120086922015e-09,0.00031380855011367342,0.00028847831605721149,
6,17945.55872620727,0.23067231956840487,17945.789398526838,99478,71024,-5.9601535858807875e-05,-9.4044294198707204e-06,9.664873221713453e-06,1.2325654328952456e-10,6.2771117085453758e-05,-0.000357709126936484,-5.3755448688283511e-05,5.5387732920482595e-05,4.1856206811646021e-09,0.00037657966719912715,0.00041855788249577905,
7,17945.116835007382,0.24832141861618387,17945.365156426,99478,71024,-5.959490788578337e-05,-9.4036517161754951e-06,9.664109172793111e-06,1.2323643750906436e-10,6.2774319007365939e-05,-0.00041730403482226737,-6.315910040445894e-05,6.5047193473154099e-05,5.7328056189908584e-09,0.00043935398620649306,0.00057327482909346687,
8,17944.675019054943,0.26868673639989277,17944.943705791342,99478,71024,-5.9588281284215693e-05,-9.4028741112881674e-06,9.6633452205022046e-06,1.2321633626735831e-10,6.2777521146492563e-05,-0.00047689231610648309,-7.2561974515747313e-05,7.4706875273399236e-05,7.526306528878848e-09,0.00050213150735298564,0.00075262312658135586,
9,17944.233278330285,0.2917678818611989,17944.525046212144,99478,71024,-5.9581656053692428e-05,-9.4020966051903279e-06,9.6625813648226716e-06,1.2319623956308909e-10,6.2780723502858731e-05,-0.00053647397216017548,-8.1964071120937674e-05,8.4366392792805509e-05,9.5660631338704236e-09,0.00056491223085584441,0.00095659674732390847,
10,17943.791612815137,0.31756446400120336,17944.109177279137,99478,71024,-5.9575032193801395e-05,-9.401319197863618e-06,9.6618176057364517e-06,1.2317614739493871e-10,6.2783926076489716e-05,-0.00059604900435397689,-9.1365390318801209e-05,9.4025657112094198e-05,1.1852015173336222e-08,0.00062769615693233417,0.0011851896653184489,
