Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,17948.4,0,17948.4,99478,71024,0,0,0,0,0,0,0,0,0,0,0,
1,12440.977436401574,7.5193441973624187e-09,12440.977436409094,99478,71024,-0.87885058652476178,-0.078062630983393638,0.19362943528636994,0.061569593616572327,1,-0.87885058652476178,-0.078062630983393638,0.19362943528636994,0.061569593616572327,1,6156.8977920636162,
2,11101.022727220925,1.7670720802484497e-08,11101.022727238596,99478,71024,-1,-0.0075522080902164831,0.095410708077258904,0.015885107504691649,1,-1.8788505865247618,-0.085614839073610144,0.27205259022658995,0.12466635538826409,2,12466.510872471021,
3,10391.615363125244,2.755792848077709e-08,10391.615363152801,99478,71024,-1,-0.0088428885134455501,0.070391046748915984,0.010475383554869133,0.31326538459361492,-2.878850586524762,-0.094457727587055784,0.32957072855516922,0.18932229198533779,2.2419844079334448,18932.039876241794,
4,9938.8847348772797,3.7925415954870558e-08,9938.8847349152056,99478,71024,-1,-0.016010247196483057,0.060277736234157032,0.010662228166448993,0.31476015039190031,-3.878850586524762,-0.11046797478353855,0.37992142374535759,0.26652310073083252,2.3406879693394647,26652.043549982522,
5,9620.5059244367476,4.9718304384478207e-08,9620.505924486466,99478,71024,-1,-0.021699982229083915,0.05611856598699945,0.012841749552130593,0.22486024675881872,-4.878850586524762,-0.13216795701262279,0.42754692166541974,0.36665227281699031,2.4115879069783355,36664.860629426214,
6,9382.7586035990807,6.3964646387480916e-08,9382.7586036630455,99478,71024,-1,-0.026834506762215386,0.055049249837450187,0.016180683598113803,0.22064281968481642,-5.878850586524762,-0.15900246377483823,0.47492893747061299,0.50122565555017728,2.5219217177428765,50122.064329362176,
7,9198.0091489736369,8.1762265183066924e-08,9198.0091490553987,99478,71024,-1,-0.031900228714459293,0.055840892501796226,0.02038708235282834,0.19267872888761031,-6.878850586524762,-0.19090269248929764,0.52371916679624131,0.68293325665567539,2.6088434142801065,68292.64273231088,
8,9050.3618883154832,1.0413516896067028e-07,9050.3618884196185,99478,71024,-1,-0.036883492928928653,0.057677880534563956,0.02497402892944537,0.16574712818049811,-7.878850586524762,-0.22778618541822615,0.57485068789945526,0.92406244282127048,2.6788699674011798,92405.320219684232,
9,8929.7384225541082,1.3198253384264171e-07,8929.7384226860904,99478,71024,-1,-0.041758833732038848,0.060112187084842561,0.029605250911182174,0.19891743643883444,-8.8788505865247629,-0.26954501915026535,0.62888244248892533,1.2358209550990236,2.7361647838220189,123580.85968894725,
10,8829.3990582710921,1.6620511856547486e-07,8829.3990584372968,99478,71024,-1,-0.046663658027092013,0.063117689023744983,0.03454236639606488,1,-9.8788505865247629,-0.31620867717735684,0.68629045800865218,1.6300248956148646,2.7835565764610255,163000.85953659084,
11,8744.7759354471455,2.0770970718322053e-07,8744.7759356548559,99478,71024,-1,-0.051599126773927528,0.066445617084384012,0.039588622795139305,1,-10.878850586524763,-0.3678078039512841,0.74739517989254423,2.1189176294799155,2.823056971717961,211889.64403036208,
12,8672.6378811403447,2.5721172499311963e-07,8672.6378813975571,99478,71024,-1,-0.056332311349895269,0.069878615989587223,0.044549261639360516,1,-11.878850586524763,-0.42414011530117862,0.81220687543580827,2.7126713525435813,2.856149271851018,271264.42258300557,
13,8610.5717997387619,3.1532403493481824e-07,8610.5718000540855,99478,71024,-1,-0.060834700276627511,0.073357257833949682,0.049353663377769974,1,-12.878850586524763,-0.48497481557780642,0.88068243635676779,3.4205520460437433,2.8839564011383549,342051.78405232826,
14,8556.7067360032197,3.8277144431103482e-07,8556.7067363859915,99478,71024,-1,-0.065380059095414417,0.076953037537949187,0.054225729593035135,1,-13.878850586524763,-0.55035487467322119,0.9529950983431833,4.253632653353387,2.9073475537121745,425359.01170268533,
15,8509.5990879572419,4.6012873057648827e-07,8509.5990884173698,99478,71024,-1,-0.069683475347081761,0.080430988699965164,0.058831601336972399,1,-14.878850586524763,-0.62003835002030194,1.0290074056380902,5.2210991970709673,2.9270080279753983,522104.69860789966,
16,8468.147956152492,5.4779077024269458e-07,8468.1479567002825,99478,71024,-1,-0.073726258579002613,0.083829052927740677,0.063225753940809815,1,-15.878850586524763,-0.69376460859930522,1.1085432199793717,6.3302370876910894,2.9434872568708506,633017.37853202119,
17,8431.4673915077929,6.4629796089771577e-07,8431.4673921540907,99478,71024,-1,-0.077709079868180639,0.08717546596055338,0.067519661328217573,1,-16.878850586524763,-0.7714736884674861,1.1916102227666829,7.5902669997443919,2.9572325295748154,759019.10970743943,
18,8398.8383661883108,7.5605412714526741e-07,8398.8383669443647,99478,71024,-1,-0.081480048931677679,0.090378328060495297,0.071525678308574578,1,-17.878850586524763,-0.85295373739916369,1.278042888366165,9.0085550051081906,2.9686131749806304,900846.49195581395,
19,8369.6707023411782,8.774054768480366e-07,8369.6707032185841,99478,71024,-1,-0.085190458411996392,0.093640063823039285,0.075555916612388904,1,-18.878850586524763,-0.93814419581116071,1.3678307226355146,10.592378782215345,2.9779380382198255,1059227.2858427523,
20,8343.4994105813366,1.0108611021991551e-06,8343.4994115921982,99478,71024,-1,-0.088888756525804469,0.096920384624393396,0.079637708257909057,1,-19.878850586524763,-1.0270329523369657,1.4609938614454925,12.350829959631557,2.9854666830313894,1235070.6451331961,
21,8319.9427155011272,1.1557164335682714e-06,8319.9427166568439,99478,71024,-1,-0.092088147364437267,0.10008861066506879,0.0835759055937879,1,-20.878850586524763,-1.1191210997014021,1.5570751132737193,14.278651025454522,2.9914193318093885,1427850.8238944267,
22,8298.678120698054,1.3108756354164269e-06,8298.6781220089306,99478,71024,-1,-0.094699707312610862,0.10302765346309874,0.087201797965497513,1,-21.756365116257285,-1.2138208070140113,1.6555164255938597,16.366125669754709,2.9959856246845953,1636596.2008498011,
23,8279.4207549202383,1.470483959596295e-06,8279.4207563907221,99478,71024,-1,-0.09542295163545092,0.10586807644994228,0.09066710056251534,1,-22.756365116257285,-1.3092437586494652,1.7544351921829981,18.54536639528763,2.9993313255212817,1854518.0941623677,
24,8261.9291341094558,1.6331509794383246e-06,8261.9291357426064,99478,71024,-1,-0.095593746306810987,0.10842053765478364,0.093746075396301629,1,-23.126248553810672,-1.4048375049562738,1.8533102977594005,20.798192659826555,3.0016023851641864,2079798.4677899957,
25,8245.9974826598991,1.7914887871034183e-06,8245.9974844513872,99478,71024,-1,-0.093374861929453781,0.11116881441945199,0.097115304823248899,1,-24.030523375107887,-1.4982123668857263,1.9497779810980529,23.032496833998017,3.0029289031018065,2303226.6509029679,
26,8231.4486135275984,1.947104022555006e-06,8231.4486154747028,99478,71024,-1,-0.091516626475768248,0.11348319840877943,0.099926283573932101,1,-23.530172083094243,-1.5897289933614942,2.0442106194398835,25.256010218301171,3.0034233657648919,2525575.7658198988,
27,8218.1410059481586,2.0907010740655066e-06,8218.1410080388596,99478,71024,-1,-0.086878368132693257,0.11585062434745889,0.10274381857935072,1,-24.030523375107887,-1.6766073614941925,2.1338353616006587,27.35963294657574,3.0031827662523645,2735935.9350246275,
28,8205.9344856997377,2.2317497678764046e-06,8205.9344879314867,99478,71024,-1,-0.084920711538490234,0.11824324678739485,0.1056444653507481,1,-23.575102579628236,-1.761528073032679,2.2213547599509638,29.445853037993647,3.0022919161757158,2944555.8579463265,
29,8194.7118084357971,2.3588104458207451e-06,8194.711810794608,99478,71024,-1,-0.079474980937219913,0.12042761489376588,0.10821548476531752,1,-24.030523375107887,-1.8410030539699007,2.3032893659052762,31.376012826524661,3.0008272815137662,3137569.9066396398,
30,8184.3769199259268,2.486349262909245e-06,8184.3769224122761,99478,71024,-1,-0.078631498954648396,0.12253942969212429,0.11073690231537128,1,-24.664531098801312,-1.9196345529245511,2.3842490068360926,33.324167798134454,2.9988575040550276,3332383.4556456474,
31,8174.8458338895261,2.5983836935476966e-06,8174.8458364879098,99478,71024,-1,-0.072709588955838136,0.1245611897634893,0.11310802317567197,1,-24.951302778937034,-1.9923441418803867,2.4591664854182294,35.088336821856885,2.9964425427965469,3508798.5938488664,
32,8166.0418239129767,2.7109568871849763e-06,8166.041826623934,99478,71024,-1,-0.071876850280669202,0.12676204489473836,0.11576687980694748,1,-25.951302778937034,-2.0642209921610548,2.5331415266702879,36.862282505935255,2.9936348835914064,3686191.3883110196,
33,8157.896037157012,2.809816421111605e-06,8157.8960399668285,99478,71024,-1,-0.066451813164894527,0.12867796899653369,0.11801350905517054,1,-26.584893902916264,-2.1306728053259443,2.6015875363210021,38.468782602293572,2.9904822651555514,3846839.7914467552,
34,8150.34580595428,2.9109769627770412e-06,8150.3458088652569,99478,71024,-1,-0.066104510425224208,0.13063285860086024,0.12032653121730875,1,-26.927176042465859,-2.1967773157511759,2.6695872623925379,40.106303422409859,2.9870263574184568,4010590.2359375632,
35,8143.3403376943152,2.9984982812970165e-06,8143.3403406928137,99478,71024,-1,-0.060801424042708774,0.13251439097482356,0.12258958597229092,1,-27.169550884226382,-2.2575787397938849,2.7321948801982949,41.570130849014873,2.9833032647752158,4156971.5147706382,
36,8136.8339914176131,3.0882264451277487e-06,8136.8339945058397,99478,71024,-1,-0.060541582016236994,0.13426386830457432,0.12464602563139916,1,-27.359450610029306,-2.3181203218101198,2.7944625337843494,43.064600678607775,2.979344701183797,4306417.0032600993,
37,8130.7845750170845,3.1668813327205999e-06,8130.784578183966,99478,71024,-1,-0.05600145763822087,0.13610496831927407,0.126817568631067,1,-27.516298946374757,-2.3741217794483429,2.8521114935272585,44.414507338648484,2.9751790114770329,4441406.3193575097,
38,8125.1529728444184,3.246003382637018e-06,8125.1529760904214,99478,71024,-1,-0.055343002201323238,0.13774311889805482,0.12879467254818561,1,-27.650285069350971,-2.4294647816496622,2.909030468294274,45.771920176868726,2.9708331028570742,4577146.2457666956,
39,8119.904840049915,3.3142351369756104e-06,8119.9048433641501,99478,71024,-1,-0.050764550001441505,0.13924317197899394,0.13056035687685841,1,-27.767434650358773,-2.4802293316511008,2.9612988938449543,46.981529562623244,2.9735775048786008,4698105.9747327622,
40,8115.0097445428792,3.3848198109291429e-06,8115.0097479276992,99478,71024,-1,-0.050761153729025489,0.14080846996440383,0.13245488663528773,1,-27.87159071595017,-2.530990485380133,3.0134971033195779,48.219556040347356,2.980427536765669,4821907.3844786957,
41,8110.4392569858901,3.4427355095921595e-06,8110.4392604286259,99478,71024,-1,-0.045675123395600009,0.14226104685279056,0.13419413026971605,1,-27.965410200826771,-2.5766656087757309,3.0605504608149618,49.286519312482554,2.9868753914577759,4928602.6447289428,
42,8106.1661407523625,3.5075710010323395e-06,8106.1661442599334,99478,71024,-1,-0.04719511811912469,0.14361584084689952,0.13579690725869384,1,-28.050901567993858,-2.6238607268948568,3.1090675888601758,50.446943503063686,2.99294551843718,5044643.9033628656,
43,8102.1735041904267,3.5587096701941383e-06,8102.1735077491367,99478,71024,-1,-0.041506526807413534,0.14481356590668387,0.13720636855624174,1,-28.129496600587018,-2.6653672537022688,3.1518407039132414,51.409367989100467,2.9986599972436641,5140885.3895420572,
44,8098.4317757823719,3.6180799184217647e-06,8098.4317794004519,99478,71024,-1,-0.043614774533286799,0.14607010379427149,0.13864794430280958,1,-28.202264956560764,-2.7089820282355577,3.196669731273599,52.488350169938627,3.0040391008743863,5248782.5286436928,
45,8094.92390997047,3.6616085081236556e-06,8094.9239136320784,99478,71024,-1,-0.03734305175650781,0.14733405579772013,0.14011459058181436,1,-28.270008782899236,-2.7463250799920664,3.2351766008560405,53.343548151633101,3.0091016096247079,5334301.471615158,
46,8091.629498854687,3.7167250640433145e-06,8091.6295025714116,99478,71024,-1,-0.040716419197651746,0.14839556740797985,0.14136758955663806,1,-28.333377400765269,-2.7870414991897206,3.2770104082621603,54.359453872690153,3.0138648003415294,5435891.0278151426,
47,8088.5347485534658,3.7549171953599086e-06,8088.5347523083828,99478,71024,-1,-0.033851803263945462,0.14958698612956853,0.14275752305356965,1,-28.392893118662599,-2.820893302453666,3.3119346003374783,55.127388506593455,3.0183443476577816,5512683.7232708391,
48,8085.6216598647206,3.8050770726753305e-06,8085.6216636697973,99478,71024,-1,-0.037715033451338753,0.15064711086535038,0.14403758414248974,1,-28.448991394151776,-2.858608335905001,3.3506788512976935,56.071823054560475,3.0225547431133633,5607126.233632993,
49,8082.8819323226007,3.8384661150093391e-06,8082.8819361610667,99478,71024,-1,-0.030832287383382506,0.15159486847141646,0.14511922046370393,1,-28.502061385815406,-2.8894406232883778,3.382500799069498,56.761424419584657,3.0265096760861949,5676085.6805340461,
50,8080.3000256256655,3.8844749955985531e-06,8080.3000295101401,99478,71024,-1,-0.034824103859739851,0.15270796930519104,0.14641095924954534,1,-28.558570268030905,-2.9242647271481252,3.4182764760741748,57.634722317915404,3.0302223571653544,5763414.5970692225,
51,8077.8671568226946,3.9141042178202031e-06,8077.8671607367987,99478,71024,-1,-0.028369854459569521,0.15375498234437929,0.1476302811857915,1,-28.615187814925168,-2.9526345816076915,3.4475620665652298,58.268041309334926,3.0337047642793293,5826745.8628921835,
52,8075.572480415427,3.9554067073711547e-06,8075.572484370834,99478,71024,-1,-0.032076184900592948,0.15468794490024054,0.14870285167199965,1,-28.668737060055026,-2.984710766508285,3.4805198744117272,59.067341674363099,3.0369679149499591,5906675.100094636,
53,8073.4070923549771,3.9813362833174001e-06,8073.4070963363138,99478,71024,-1,-0.025886580410641249,0.1555876169572907,0.1497287290627056,1,-28.71954242629193,-3.0105973469189244,3.5072564497443639,59.639710387613363,3.0400222186852335,5963911.3990509482,
54,8071.3617356958666,4.0193506752782553e-06,8071.3617397152175,99478,71024,-1,-0.029882412442351524,0.156472671246279,0.1507534500111109,1,-28.767883374029839,-3.0404797593612791,3.5379589917995991,60.384061657898194,3.0428782497404416,6038345.7817281615,
55,8069.4277994494669,4.0409609178448014e-06,8069.4278034904282,99478,71024,-1,-0.023466182176018032,0.15742890104188886,0.15187483955398434,1,-28.81401251323576,-3.0639459415372947,3.5622169644875012,60.887106081600599,3.0455459764597173,6088649.7210539784,
56,8067.6023366640438,4.0753676804039911e-06,8067.6023407394114,99478,71024,-1,-0.027695767758791314,0.15837176402919684,0.15298482120104942,1,-28.858125140594218,-3.0916417092960775,3.590676955442559,61.5712470376914,3.0480346181241171,6157063.1325221024,
57,8065.8777532470631,4.0938204211858949e-06,8065.8777573408834,99478,71024,-1,-0.021508219225143087,0.15919836183723915,0.15395070386556456,1,-28.900385240882972,-3.1131499285212287,3.6129216554421162,62.019820485292485,3.0503527377068256,6201920.0287087634,
58,8064.2466568571353,4.1254564139927666e-06,8064.2466609825915,99478,71024,-1,-0.025984193104731813,0.16006385391574754,0.15495802765730951,1,-28.940935266503924,-3.1391341216259643,3.6396162595350092,62.659525158495548,3.0525083535219335,6265889.8563243961,
59,8062.7022634698878,4.142031098556932e-06,8062.7022676119186,99478,71024,-1,-0.01985996911558862,0.16080450542867342,0.15581219140732261,1,-28.979900694512907,-3.1589940907415479,3.6601624057519664,63.069127109516245,3.054508856411247,6306849.6418245146,
60,8061.2381589292627,4.1726272379472718e-06,8061.2381631018898,99478,71024,-1,-0.024743544803543856,0.16153399907393198,0.15666812982425174,1,-29.017394109556204,-3.1837376355450888,3.6855687834767954,63.685827597535209,3.0563612173831478,6368519.0739259236,
61,8059.8515697638741,4.1869895578952249e-06,8059.8515739508639,99478,71024,-1,-0.018363518504093186,0.16227427344164788,0.15751044543521481,1,-29.053518783014763,-3.2021011540491879,3.7045734517932911,64.055822281841628,3.0580720469091629,6405518.1723618805,
62,8058.5371229208458,4.2141834731248009e-06,8058.5371271350296,99478,71024,-1,-0.022739014332761567,0.16300819023737123,0.15834326699934376,1,-29.088369460907028,-3.2248401683819488,3.7279312204826804,64.614357915357189,3.0596476509911295,6461371.1771778036,
63,8057.2873158690272,4.2287071285502642e-06,8057.2873200977347,99478,71024,-1,-0.017641045404923523,0.1636916239114429,0.15915729322491187,1,-29.122040226903938,-3.2424812137868728,3.7461696924562169,64.981555425053443,3.0610940813471164,6498090.5609499188,
64,8056.1039426925654,4.2533279577192234e-06,8056.1039469458938,99478,71024,-1,-0.021225184494056443,0.16438044660950588,0.15994314795404133,1,-29.154630080938297,-3.2637063982809362,3.767973433724972,65.497421276713382,3.0633679026178031,6549676.6302500619,
65,8054.9791266346738,4.2664308666314439e-06,8054.9791309011043,99478,71024,-1,-0.01643072063567131,0.16513233201419442,0.16080065855565923,1,-29.186207319630117,-3.280137118916592,3.7849656847694568,65.837813229768685,3.0670492717450819,6583715.4851636384,
66,8053.9112536371704,4.2888875914730731e-06,8053.9112579260582,99478,71024,-1,-0.019765322562192589,0.1658156231979713,0.16162206722677933,1,-29.216830052157775,-3.2999024414787907,3.805273848624728,66.31676245618732,3.0706106318259887,6631609.928856276,
