Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,17948.4,0,17948.4,99478,71024,0,0,0,0,0,0,0,0,0,0,0,
1,17945.055315341007,0.91512162312545398,17945.970436964133,99478,71024,-0.00041980907550863102,-3.3616643556719686e-05,3.9703301936183862e-05,3.6607415974549096e-09,0.00037054040262218504,-0.00041980907550863102,-3.3616643556719686e-05,3.9703301936183862e-05,3.6607415974549096e-09,0.00037054040262218504,0.00036607049900389351,
2,17942.846759669574,0.93538334943776891,17943.782143019012,99478,71024,-0.00029782648181587892,-4.7007858048366638e-05,4.8309437280037647e-05,3.0792486886182716e-09,0.00031372425274562947,-0.00062359539989266543,-8.0624501605086385e-05,8.4284033090487241e-05,1.1519100920431122e-08,0.00062739324448228366,0.0011518985729421919,
3,17940.640264666963,0.96884631032208079,17941.609110977286,99478,71024,-0.00029766110370836,-4.6991689958850135e-05,4.8293478845130349e-05,3.0771762686748687e-09,0.00031380416591915086,-0.00089349070833954776,-0.00012761619156393628,0.00013210985443467134,2.5529404893041288e-08,0.00094119741040143458,0.0025529149598992359,
4,17938.435550020688,1.0158658189264818,17939.451415839612,99478,71024,-0.00029749589489767121,-4.6973772783856613e-05,4.8275782914254194e-05,3.0749146335096684e-09,0.00031388411442980543,-0.0011909866032372191,-0.00017458996434779298,0.00018024641326348515,4.568546802529012e-08,0.00125508152483124,0.0045685011170609868,
5,17936.232612319451,1.0764309133954391,17937.309043232846,99478,71024,-0.00029733085139967152,-4.6955856977145741e-05,4.8258100609876602e-05,3.07265788940889e-09,0.00031396409307194204,-0.0014883174546368905,-0.00022154582132493902,0.00022844091024277731,7.1980526709287115e-08,0.001569045617903182,0.0071979806904020026,
6,17934.031450120368,1.1505305084680248,17935.181980628837,99478,71024,-0.00029716597326581154,-4.6937984855226893e-05,4.8240435607368053e-05,3.0704026437592479e-09,0.00031306058458475012,-0.001785483427902702,-0.00026848380618016567,0.0002766449860881103,1.0440781534058465e-07,0.0018821062024879322,0.010440677126243124,
7,17931.832060623114,1.2381534837292283,17933.070214106843,99478,71024,-0.00029700126010224982,-4.6920073995944427e-05,4.8222767668964529e-05,3.0681515020969236e-09,0.00031412387515108596,-0.002082484688004952,-0.00031540388017610996,0.00032484453280627856,1.4296059162326048e-07,0.002196230077639018,0.014295916201734425,
8,17929.634443779116,1.339288804773503,17930.973732583891,99478,71024,-0.00029683671165286758,-4.6902183352941227e-05,4.8205107791630842e-05,3.0658985541908687e-09,0.00031420394469348087,-0.0023793213996578196,-0.00036230606352905133,0.00037303141173506397,1.8763208153100633e-07,0.0025104340223324989,0.018763020521019101,
9,17927.438596013766,1.4539253571427713,17928.892521370908,99478,71024,-0.00029667232776189314,-4.6884314531879553e-05,4.818746739393242e-05,3.063651495837546e-09,0.00031428404391652917,-0.0026759937274197128,-0.00040919037806093014,0.00042120368385920791,2.3841557210699523e-07,0.0028247180662490279,0.023841318795127416,
10,17925.244517050542,1.5820522142896016,17926.826569264831,99478,71024,-0.00029650810807321776,-4.6866443169434386e-05,4.8169825560737115e-05,3.0614031856985034e-09,0.00031436417336230322,-0.0029725018354929307,-0.00045605682123036527,0.00046936095046241043,2.9530430170496619e-07,0.0031390822396113313,0.029530134866194914,
11,17923.052205815238,1.7236580371291812,17924.775863852366,99478,71024,-0.0002963440524889685,-4.6848608659087672e-05,4.8152195716652956e-05,3.0591560072633948e-09,0.00031444433304975009,-0.0032688458879818992,-0.00050290542988945368,0.00051750252116566453,3.5829152883271227e-07,0.0034535265726610815,0.035828794591742395,
12,17920.861660213257,1.8787321252466291,17922.740392338503,99478,71024,-0.00029618016061647081,-4.6830769151767238e-05,4.8134570026768717e-05,3.0569107649790313e-09,0.00031452452299897697,-0.0035650260485983699,-0.00054973619904121981,0.000565628295137967,4.2737052562443861e-07,0.0037680510956600586,0.042736625191918239,
