Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,17948.4,0,17948.4,99478,71024,0,0,0,0,0,0,0,0,0,0,0,
1,12445.559615669998,5.5860601340805598,12451.145675804079,99478,71024,-0.84548972031111091,-0.07878258627915459,0.19224273368586525,0.060305556181608551,1,-0.84548972031111091,-0.07878258627915459,0.19224273368586525,0.060305556181608551,1,6030.4953126046739,
2,11107.117837362739,11.26509509360347,11118.382932456343,99478,71024,-1,-0.0070491883867452535,0.094249240378644114,0.015291093574570555,1,-1.8454897203111109,-0.085831774665899863,0.26954031419724994,0.12161484279658308,2,12161.362664815511,
3,10399.053908500926,16.861568712931437,10415.915477213857,99478,71024,-1,-0.0075009962552414263,0.068602135853898391,0.009285517137297479,0.27602193558159016,-2.7518075572403609,-0.093332770921141325,0.32530570278334614,0.18203282007724134,2.2380973690367347,18203.099974904057,
4,9947.8483312761746,22.89278703822858,9970.7411183144031,99478,71024,-1,-0.013032368076552985,0.056901401772902531,0.0078762189190498613,0.59905743927825983,-3.7518075572403609,-0.10636513899769437,0.37229079826009331,0.24714418064794519,2.3360411996531414,24714.170920613869,
5,9631.48934804907,29.166164188971461,9660.6555122380414,99478,71024,-1,-0.015476362008597947,0.049937864892171731,0.0071919384277969308,1,-4.3091385936537865,-0.12184150100629253,0.41331950286089336,0.31486982074702191,2.3857643384204539,31486.667204881443,
6,9396.1582536421465,35.548583452190641,9431.706837094338,99478,71024,-1,-0.016349425910688761,0.044952351521722451,0.0065904578692748223,1,-5.0186427808321188,-0.13819092691698107,0.44980519967255023,0.38377264925479243,2.4141683335724573,38376.881152829985,
7,9214.2446136034323,41.661215893004638,9255.9058294964361,99478,71024,-1,-0.015962013697172019,0.040913782290227373,0.0059478886660014199,1,-4.3323290265887664,-0.15415294061415311,0.48221643481831278,0.44976293404031564,2.4319938770629173,44975.843641097526,
8,9069.367419655362,47.621368512417455,9116.9887881677787,99478,71024,-1,-0.015489340005840201,0.037241404304762575,0.0051681440374428669,1,-5.0186427808321188,-0.1696422806199932,0.51148068889257436,0.514107088956958,2.4441161334225106,51410.194788606845,
9,8951.7491621653808,52.888334682710898,9004.6374968480923,99478,71024,-1,-0.014075170722524758,0.033815656128410504,0.0043388918158504246,1,-4.522706197295145,-0.18371745134251793,0.53732833413503556,0.57096779519092944,2.4529411920619295,57096.20855129775,
10,8854.1305478145441,57.932827846505845,8912.0633756610496,99478,71024,-1,-0.013418177402067369,0.030875898833582931,0.0036821923393350704,1,-5.0186427808321188,-0.19713562874458501,0.56097478205380136,0.62542674453896785,2.4597451712186609,62542.049027152243,
11,8772.1888304782824,62.536292866030394,8834.725123344313,99478,71024,-1,-0.012391532626924865,0.028318972535445932,0.0032061493894278339,1,-4.8420323997633261,-0.20952716137151015,0.58233880673273686,0.67512447633946815,2.4651330531574871,67511.77250947048,
12,8702.4732482985419,66.884863684793487,8769.3581119833361,99478,71024,-1,-0.011657443380710418,0.026002093027353713,0.0027800724349756794,1,-5.0186427808321188,-0.2211846047522206,0.60194791871074893,0.72207044103123186,2.4694214351640214,72206.322032682161,
13,8642.7115151414127,70.844508890966765,8713.5560240323794,99478,71024,-1,-0.01073617660122708,0.023897439955113956,0.0024002722833711887,1,-4.8420323997633261,-0.23192078135344724,0.61980100579247643,0.7648176726593463,2.4727278495512257,76481.002448261977,
14,8590.9741676371486,74.507804126626269,8665.4819717637747,99478,71024,-1,-0.0099772812336571884,0.022009388903930747,0.002085267996844995,1,-5.0186427808321188,-0.24189806258710508,0.63619360016678683,0.80436559218424764,2.4751603729005915,80435.754852832586,
