Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,17948.4,0,17948.4,99478,71024,0,0,0,0,0,0,0,0,0,0,0,
1,12440.977436457502,5.7031470194668232e-15,12440.977436457502,99478,71024,-0.87885058655946391,-0.078062630926014454,0.19362943535981672,0.061569593727805169,1,-0.87885058655946391,-0.078062630926014454,0.19362943535981672,0.061569593727805169,1,6156.8978031867891,
2,11100.996349083141,1.1546666751832795e-14,11100.996349083141,99478,71024,-1,-0.0074977511758582364,0.095354888966260196,0.015873364222739821,1,-1.878850586559464,-0.085560382101872709,0.27199677118776422,0.12465461233842857,2,12465.336579230519,
3,10391.586453392567,1.7535077823507383e-14,10391.586453392567,99478,71024,-1,-0.0088298523554022883,0.070377112123311589,0.010474598321565257,0.31326543586808153,-2.878850586559464,-0.094390234457274916,0.32950138266380535,0.18930383766956255,2.2419844080777898,18930.194463118583,
4,9938.8550506405682,2.4685840669947231e-14,9938.8550506405682,99478,71024,-1,-0.016005018713631275,0.060271917503613368,0.010662096014051386,0.31476015089745635,-3.878850586559464,-0.1103952531709058,0.37984669434390811,0.2665014904385325,2.3406879695313685,26649.882542362811,
5,9620.4740684693097,3.3960434858311429e-14,9620.4740684693097,99478,71024,-1,-0.02169462685075204,0.056113118164132059,0.012841634281124614,0.22486024683620418,-4.878850586559464,-0.132089880021658,0.42746689151807693,0.36662743743213383,2.4115884853353129,36662.377115775947,
6,9382.7234860016652,4.642552229906838e-14,9382.7234860016652,99478,71024,-1,-0.026828425332005738,0.055043168430399192,0.016180544921794705,0.22064281977104297,-5.878850586559464,-0.15891830535366386,0.47484299623418119,0.501197064848248,2.5219223417316612,50119.205287759949,
7,9197.9698899370633,6.3256545816041174e-14,9197.9698899370633,99478,71024,-1,-0.031893223868194286,0.055833887677862439,0.020386902141023688,0.19267872896544963,-6.878850586559464,-0.19081152922185859,0.52362646877495489,0.68290012746016515,2.6088440827931199,68289.329845889049,
8,9050.3175795795923,8.5591646351284682e-14,9050.3175795795923,99478,71024,-1,-0.036875357564196097,0.05766974519151797,0.02497378673030759,0.16574712825036403,-7.878850586559464,-0.22768688678605442,0.57475017379699167,0.92402367926949125,2.6788706791197283,92401.443903269857,
9,8929.6881265005359,1.1446895743725454e-13,8929.6881265005359,99478,71024,-1,-0.041749410312857123,0.060102763684169835,0.029604925169600595,0.19891743676708973,-8.878850586559464,-0.26943629709891126,0.62877292288403652,1.2357751220160704,2.7361655373211189,123576.27642648503,
10,8829.3418562329498,1.5098296870607428e-13,8829.3418562329498,99478,71024,-1,-0.046652880451118393,0.063106911468346294,0.034541940297866613,1,-9.878850586559464,-0.31608917755002991,0.68617069998045555,1.6299702622640768,2.7835573702328826,162995.39625614541,
11,8744.711079456154,1.9626773657828342e-13,8744.711079456154,99478,71024,-1,-0.051586963376667308,0.066433453320580649,0.039588078732046048,1,-10.878850586559464,-0.3676761409266962,0.74726351724342321,2.1188520586534949,2.8230578042268952,211883.08701329085,
12,8672.5647485132286,2.5126547721241179e-13,8672.5647485132286,99478,71024,-1,-0.056318853223678376,0.069865157883000462,0.044548597726942488,1,-11.878850586559464,-0.42399499415037478,0.81206175468037411,2.7125924155533303,2.8561501415653527,271256.52896291745,
13,8610.4898566412121,3.1685611110102019e-13,8610.4898566412121,99478,71024,-1,-0.060829951208321353,0.073352508783138926,0.049362922509905351,1,-12.878850586559464,-0.48482494535869658,0.88053256655319823,3.4206907105975293,2.883957306508822,342065.65036904236,
14,8556.615548991309,3.9409077553310325e-13,8556.615548991309,99478,71024,-1,-0.065393970650216973,0.076946844166243783,0.054234844235572351,1,-13.878850586559464,-0.55021891600891448,0.95285914011565276,4.254494730475531,2.9073484931941751,425445.2185528226,
15,8509.4983338064412,4.8384871815878959e-13,8509.4983338064412,99478,71024,-1,-0.069722405370076151,0.080427054857251407,0.058847442297916157,1,-14.878850586559464,-0.61994132137899061,1.0289103774588713,5.2234965890009812,2.9270090000467501,522344.43540350912,
