Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,17948.4,0,17948.4,99478,71024,0,0,0,0,0,0,0,0,0,0,0,
1,12440.977436457502,7.701361352577446e-15,12440.977436457502,99478,71024,-0.87885058655946402,-0.078062630926015092,0.19362943535981691,0.061569593727805155,1,-0.87885058655946402,-0.078062630926015092,0.19362943535981691,0.061569593727805155,1,6156.8978031867873,
2,11100.996349083141,1.6398021094008158e-14,11100.996349083141,99478,71024,-1,-0.0074977511758583335,0.095354888966260279,0.015873364222739869,1,-1.878850586559464,-0.0855603821018735,0.27199677118776439,0.12465461233842866,2,12465.336579230527,
3,10391.586453392571,2.3904518417873624e-14,10391.586453392571,99478,71024,-1,-0.0088298523554022866,0.070377112123311616,0.01047459832156526,0.31326543586802874,-2.878850586559464,-0.09439023445727579,0.32950138266380546,0.1893038376695626,2.2419844080777893,18930.194463118591,
4,9938.8550506405682,3.0391799494397211e-14,9938.8550506405682,99478,71024,-1,-0.016005018713631292,0.060271917503613388,0.010662096014051386,0.31476015089745624,-3.878850586559464,-0.11039525317090662,0.37984669434390811,0.2665014904385325,2.3406879695313676,26649.882542362811,
5,9620.4740684693097,3.6030990931155658e-14,9620.4740684693097,99478,71024,-1,-0.021694626850752057,0.056113118164132059,0.012841634281124614,0.22486024683620398,-4.878850586559464,-0.13208988002165897,0.42746689151807721,0.36662743743213394,2.411588485334764,36662.377115775962,
6,9382.7234860016652,4.0975860745911114e-14,9382.7234860016652,99478,71024,-1,-0.026828425332005766,0.055043168430399206,0.016180544921794701,0.22064281977104316,-5.878850586559464,-0.15891830535366486,0.4748429962341808,0.50119706484824811,2.5219223417310657,50119.205287759964,
7,9197.9698899370596,4.5348931887408351e-14,9197.9698899370596,99478,71024,-1,-0.031893223868194265,0.05583388767786239,0.020386902141023698,0.19267872896544974,-6.878850586559464,-0.1908115292218594,0.52362646877495522,0.68290012746016548,2.6088440827924795,68289.329845889093,
8,9050.3175795795851,4.9247659754310764e-14,9050.3175795795851,99478,71024,-1,-0.036875357564196153,0.05766974519151799,0.024973786730307607,0.16574712825036397,-7.878850586559464,-0.22768688678605536,0.57475017379699167,0.92402367926949169,2.6788706791190444,92401.443903269901,
9,8929.6881265005286,5.2751408005386949e-14,8929.6881265005286,99478,71024,-1,-0.041749410312857171,0.060102763684169891,0.029604925169600622,0.19891743676708953,-8.878850586559464,-0.26943629709891226,0.62877292288403663,1.2357751220160702,2.7361655373203932,123576.276426485,
10,8829.3418562329389,5.5922890375781295e-14,8829.3418562329389,99478,71024,-1,-0.046652880451118914,0.06310691146834678,0.034541940297866731,1,-9.878850586559464,-0.31608917755003135,0.68617069998045643,1.6299702622640835,2.783557370232117,162995.39625614608,
11,8744.7110794561449,5.8811453201955108e-14,8744.7110794561449,99478,71024,-1,-0.051586963376667627,0.066433453320580566,0.039588078732045819,1,-10.878850586559464,-0.36767614092669826,0.7472635172434241,2.1188520586535051,2.823057804226091,211883.08701329186,
12,8672.564748513214,6.1456084241749172e-14,8672.564748513214,99478,71024,-1,-0.056318853223678682,0.069865157883000711,0.044548597726942689,1,-11.878850586559464,-0.423994994150377,0.81206175468037511,2.7125924155533401,2.8561501415645116,271256.52896291844,
13,8610.4898566411903,6.388861427497783e-14,8610.4898566411903,99478,71024,-1,-0.060829951208321867,0.073352508783139439,0.049362922509905788,1,-12.878850586559464,-0.48482494535869902,0.88053256655319945,3.4206907105975435,2.8839573065079458,342065.65036904375,
14,8556.6155489912908,6.6136602644325838e-14,8556.6155489912908,99478,71024,-1,-0.065393970650218666,0.076946844166245545,0.054234844235574689,1,-13.878850586559464,-0.55021891600891892,0.95285914011565598,4.2544947304755558,2.9073484931932656,425445.2185528251,
15,8509.4983338064194,6.8221818947841318e-14,8509.4983338064194,99478,71024,-1,-0.069722405370075818,0.080427054857251892,0.058847442297916663,1,-14.878850586559464,-0.61994132137899438,1.0289103774588737,5.2234965890010079,2.9270090000458091,522344.4354035118,
16,8468.037364022066,7.0163033591239401e-14,8468.037364022066,99478,71024,-1,-0.073748038878192312,0.083810623575403656,0.063224519895792933,1,-15.878850586559464,-0.6936893602571863,1.1084679721171911,6.3338503826161912,2.9434882600470305,633378.70441123645,
17,8431.3465334252051,7.1977322109669137e-14,8431.3465334252051,99478,71024,-1,-0.077759735326078827,0.087165786722818273,0.067528302783883207,1,-16.878850586559466,-0.77144909558326469,1.19158563037926,7.5960002408900538,2.9572335624333621,759592.42808876454,
18,8398.7069285077596,7.3677487840157298e-14,8398.7069285077596,99478,71024,-1,-0.08151945222551836,0.090357416812688635,0.071524092118926699,1,-17.878850586559466,-0.85296854780878284,1.2780576992890611,9.0163552185355442,2.9686142361802768,901626.50549833593,
19,8369.5289409694306,7.5273952721471799e-14,8369.5289409694306,99478,71024,-1,-0.085307730872060714,0.093622180517185585,0.075561561296920779,1,-18.878850586559466,-0.93827627868084451,1.3679628060338325,10.604773280118243,2.9779391264314938,1060466.7232385441,
