Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,17948.4,0,17948.4,99478,71024,0,0,0,0,0,0,0,0,0,0,0,
1,17626.038671265102,158.08173817687134,17784.120409441974,99478,71024,-0.041255385553842679,-0.0032784600913485233,0.0038693532074264582,3.4540243081686918e-05,0.033760150858670387,-0.041255385553842679,-0.0032784600913485233,0.0038693532074264582,3.4540243081686918e-05,0.033760150858670387,3.4539897679256102,
2,17625.100214466285,158.95094647794477,17784.051160944229,99478,71024,-0.00077619902322426733,3.082957643956016e-05,5.2605764410763537e-05,8.2107133278291627e-09,0.002106697987898636,-0.041841013768458446,-0.0032476305149089545,0.0038653432546469583,3.4730162880940812e-05,0.035866848846569023,3.4729815579312002,
3,17625.021463784327,159.0286557203159,17784.050119504642,99478,71024,-4.3678135906624588e-05,6.0445993281126925e-08,1.2926821825541811e-06,1.233372665331471e-11,0.00013549016833217116,-0.041861663927169807,-0.0032475700689156813,0.0038659209322131527,3.4747157348221208e-05,0.036002339014901193,3.4746809876647724,
4,17625.01875588499,159.03131967639061,17784.050075561379,99478,71024,-2.7292688141579437e-06,7.1462647994003759e-09,5.1786098446633944e-08,2.8163264998613507e-14,9.0581173594856299e-06,-0.041862243280346025,-0.0032475629226508757,0.0038659393522427711,3.4747737472809536e-05,0.036011397132260675,3.4747389995434808,
5,17625.018635494464,159.03143807195852,17784.050073566421,99478,71024,-1.6931401090090704e-07,2.3645512700373277e-10,2.2656637547457409e-09,7.7833982959559509e-17,6.1810439900142718e-07,-0.041862260479789165,-0.0032475626861957533,0.0038659402158011699,3.4747763182288048e-05,0.036012015236659679,3.4747415704656226,
6,17625.018629863276,159.03144360729942,17784.050073470575,99478,71024,-1.0489824980672221e-08,1.0382498763162084e-11,1.0803898403615249e-10,2.4484051288832604e-19,4.2704041520156798e-08,-0.041862260986507888,-0.0032475626758132533,0.0038659402571236796,3.4747764380772319e-05,0.036012057940701198,3.4747416903128512,
7,17625.018629584727,159.03144388215219,17784.050073466879,99478,71024,-6.5126663768234093e-10,4.7841183797807205e-13,5.4510253530380472e-12,8.4817666768312096e-22,2.9758128635536968e-09,-0.041862261001437542,-0.0032475626753348374,0.0038659402592177766,3.474776444012135e-05,0.036012060916514065,3.4747416962476949,
8,17625.01862957007,159.03144389642304,17784.050073466493,99478,71024,-4.0616691830271018e-11,2.3454271511277371e-14,2.8755936970733698e-13,3.1649052477043812e-24,2.0868166366519759e-10,-0.041862261001874353,-0.0032475626753113865,0.0038659402593282221,3.4747764443194988e-05,0.036012061125195727,3.4747416965550557,
9,17625.018629569346,159.03144389719213,17784.050073466537,99478,71024,-2.924505781938912e-12,1.2034379938473482e-15,1.5737013540114633e-14,1.251864282979084e-26,1.4703953520931695e-11,-0.04186226100188687,-0.0032475626753101809,0.0038659402593342598,3.4747764443360234e-05,0.03601206113989968,3.4747416965715798,
10,17625.018629569302,159.03144389723474,17784.050073466537,99478,71024,-2.1371909898053216e-13,6.3766705733194048e-17,9.0938028517850635e-16,5.1860317645081221e-29,1.0398972371607562e-12,-0.041862261001887252,-0.003247562675310118,0.0038659402593345937,3.4747764443369396e-05,0.036012061140939577,3.474741696572496,
