Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,17948.4,0,17948.4,99478,71024,0,0,0,0,0,0,0,0,0,0,0,
1,17948.108788391739,0.16969246333208868,17948.278480855071,99478,71024,-4.2010617379002643e-05,-3.3629254076147244e-06,3.9717215779133728e-06,3.6639035520448601e-11,3.7069368207775393e-05,-4.2010617379002643e-05,-3.3629254076147244e-06,3.9717215779133728e-06,3.6639035520448601e-11,3.7069368207775393e-05,3.6638669130093397e-06,
2,17948.108787856218,0.16969298573467234,17948.278480841953,99478,71024,-7.8085347616197071e-10,3.2610605644478599e-11,5.4180162913242032e-11,7.6144302349161754e-21,8.3219433067687699e-10,-4.2011115288161242e-05,-3.3628927970090849e-06,3.9717134586492778e-06,3.6639148313370229e-11,3.7069981412860241e-05,3.6638781921887095e-06,
3,17948.108787856152,0.16969298581144671,17948.278480841964,99478,71024,-4.8783929250618151e-14,4.5826818930225865e-17,1.3659624479521468e-15,1.1871996004493075e-29,5.5137992218587489e-14,-4.2011115306997743e-05,-3.3628927969632536e-06,3.9717134592095935e-06,3.6639148329946851e-11,3.7069981452636088e-05,3.6638781938463551e-06,
4,17948.108787856148,0.16969298581144618,17948.27848084196,99478,71024,-2.1956594596115086e-16,2.7196648080857544e-20,1.9148342558459188e-17,2.1224431658258819e-33,2.2196834626831391e-16,-4.2011115306998285e-05,-3.3628927969632215e-06,3.9717134592096248e-06,3.6639148329947342e-11,3.70699814526702e-05,3.6638781938464042e-06,
5,17948.108787856152,0.16969298581145198,17948.278480841964,99478,71024,-2.1938747514826464e-16,-1.2000649353170687e-20,1.9019822038777767e-17,2.103309057157965e-33,2.2081587331153007e-16,-4.2011115306998285e-05,-3.3628927969632375e-06,3.9717134592096104e-06,3.6639148329947956e-11,3.7069981452704311e-05,3.6638781938464656e-06,
6,17948.108787856152,0.16969298581144956,17948.278480841964,99478,71024,-2.1962302234139671e-16,9.9606965577309713e-20,1.9172469952861387e-17,2.1371703817002718e-33,2.2096457966680193e-16,-4.2011115306998285e-05,-3.3628927969631393e-06,3.9717134592097104e-06,3.6639148329947349e-11,3.7069981452738423e-05,3.6638781938464051e-06,
7,17948.108787856148,0.16969298581144701,17948.27848084196,99478,71024,-2.1951324446791356e-16,-6.1112522279383683e-20,1.8999104648496235e-17,2.0987215256537112e-33,2.1894334995745427e-16,-4.2011115306998279e-05,-3.3628927969631994e-06,3.9717134592096426e-06,3.6639148329947258e-11,3.706998145255051e-05,3.6638781938463957e-06,
8,17948.108787856148,0.16969298581145117,17948.27848084196,99478,71024,-2.2118387179731679e-16,9.9597602122501735e-20,1.8949465046840307e-17,2.0876511656991566e-33,2.1880466060194771e-16,-4.2011115306998279e-05,-3.362892796963102e-06,3.9717134592097425e-06,3.6639148329947717e-11,3.7069981452584622e-05,3.6638781938464419e-06,
9,17948.108787856152,0.16969298581144657,17948.278480841964,99478,71024,-2.2098902082734915e-16,-2.5306321379480809e-19,1.9138660085268893e-17,2.1296783697077027e-33,2.2083578823797689e-16,-4.2011115306998279e-05,-3.3628927969633523e-06,3.9717134592094935e-06,3.6639148329947194e-11,3.7069981452618734e-05,3.6638781938463894e-06,
10,17948.108787856148,0.16969298581144954,17948.27848084196,99478,71024,-2.1945813242555052e-16,1.6879604019346306e-19,1.9135553544493338e-17,2.1289743690517386e-33,2.2002343304903501e-16,-4.2011115306998285e-05,-3.3628927969631829e-06,3.9717134592096629e-06,3.6639148329947724e-11,3.7069981452652846e-05,3.6638781938464423e-06,
