Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,17948.4,0,17948.4,99478,71024,0,0,0,0,0,0,0,0,0,0,0,
1,12807.242472888331,96.506575455263459,12903.749048343594,99478,71024,-0.63554431555063406,-0.093291067881559595,0.14409088819695781,0.031217898329902752,1,-0.63554431555063406,-0.093291067881559595,0.14409088819695781,0.031217898329902752,1,3121.7586150919451,
2,11610.542194685859,245.9850896433405,11856.527284329199,99478,71024,-0.51163673998726045,-0.019532960786719254,0.065051885445931198,0.007031088317517982,0.28672492206039252,-1.1471810555378945,-0.11282402866827876,0.19971167965149572,0.063678154670660708,1.2867249220603925,6367.7517889114006,
3,11025.524801637383,383.38360046816535,11408.908402105548,99478,71024,-0.47289821117409248,-0.0057085517976786029,0.039493379998315925,0.002588934915643258,0.16666399901015647,-1.3817003064501456,-0.11853258046595744,0.23076231090724411,0.086746188993411577,1.43080040467394,8674.532153152164,
4,10677.938182099535,495.62728731760546,11173.565469417141,99478,71024,-0.25948715996246186,-0.0033149691117794842,0.02641115885931249,0.0011732433733634489,0.11340588651442327,-1.5580921409049535,-0.12184754957773691,0.2510879126151212,0.10329228728062956,1.5166714657674925,10329.125435775675,
5,10451.819088102466,584.09693803387358,11035.916026136339,99478,71024,-0.21935203022499403,-0.0026183513933425327,0.018679552424732109,0.00060490579181024116,0.087729765103058563,-1.5269335292540833,-0.12446590097107979,0.26531825413450394,0.11533633105779562,1.5718817503893612,11533.517769448505,
6,10295.683008380449,653.57351343841617,10949.256521818865,99478,71024,-0.17896950864312272,-0.0022285253141298574,0.013808061908663917,0.00034276976285698335,0.068674292749007965,-1.5185636677712389,-0.12669442628520972,0.27572996515060083,0.12428452894745264,1.6088553165935084,12428.328610216317,
7,10183.107408078626,708.57101006738515,10891.678418146012,99478,71024,-0.12645168252227798,-0.0019216328534182787,0.010574261636069662,0.00020866592150403537,0.057344865407271337,-1.509377632014721,-0.12861605913862786,0.28360046375638204,0.13108015349956897,1.6342031515427173,13107.884269803399,
8,10099.200038194667,752.64448610920999,10851.844524303877,99478,71024,-0.098622035155900886,-0.0016580017888224981,0.0083262171199580126,0.00013418473003679379,0.04910381094331296,-1.503013739662507,-0.13027406092745045,0.28970957852548473,0.13635267102464335,1.6518179939375512,13635.13074979331,
9,10034.997590279774,788.41946239303024,10823.417052672805,99478,71024,-0.087467353220645833,-0.0014290212407450462,0.0067015667859108225,8.9971863723824094e-05,0.04468232418790756,-1.4983630469045641,-0.13170308216819501,0.29456491297923548,0.14052254680566156,1.6641507214013225,14052.114158019351,
10,9984.8200709376815,817.80693303532757,10802.62700397301,99478,71024,-0.07500819677489276,-0.0012314434930030451,0.0054870094253325384,6.2314764056481238e-05,0.040800370475893119,-1.4949622162046006,-0.13293452566119815,0.29849435492368698,0.14387500958504479,1.6728142455483181,14387.357083494893,
