Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,17948.4,0,17948.4,99478,71024,0,0,0,0,0,0,0,0,0,0,0,
1,12811.084908737024,179.04553462150139,12990.130443358526,99478,71024,-0.63553712450452526,-0.093499560237454094,0.14361110658147641,0.031071667619505462,1,-0.63553712450452526,-0.093499560237454094,0.14361110658147641,0.031071667619505462,1,3107.1356902829266,
2,11670.033949073635,343.40315156116998,12013.437100634805,99478,71024,-0.47187562866225485,-0.028334806890387674,0.064404765980708101,0.006845345940545461,0.29540209987373944,-1.1010635019906254,-0.12183436712784186,0.19391354914329775,0.060643283435095126,1.2631079952210675,6064.2677002260771,
3,11119.691638344202,474.21412232824298,11593.905760672445,99478,71024,-0.42543156833060469,-0.009815954191700723,0.03832056993233042,0.0024456034465091484,0.169823707454102,-1.3211284555881968,-0.13165032131954235,0.22210787920762171,0.081070533161782782,1.3934320299018046,8106.9722456451163,
4,10792.789191308972,575.20206948293253,11367.991260791903,99478,71024,-0.28118353885438729,-0.0050650987090580636,0.02553883451637037,0.0011271841340805167,0.11136794616658352,-1.4382506332732952,-0.1367154200286006,0.24055688906325334,0.095789342716243994,1.4687573340931381,9578.8384822816824,
5,10579.348211263909,652.38314915814897,11231.731360422058,99478,71024,-0.23996431206998628,-0.0034550699680045219,0.01843711659597028,0.00061119493561582474,0.086774719199548614,-1.6035078272027492,-0.14017048999660486,0.25371144852182737,0.1068327282062584,1.5152156258582599,10683.165987897633,
6,10431.245795978422,711.75642818294591,11143.002224161368,99478,71024,-0.24341775621981723,-0.0026720757556715912,0.014025249655513076,0.00036617260089582816,0.077176069190559263,-1.7756905921368085,-0.14284256575227686,0.2636183963427341,0.1153737153977288,1.5447046598531311,11537.256166057481,
7,10323.895935700961,758.0319305281364,11081.927866229096,99478,71024,-0.24247936936676628,-0.0021695730025256413,0.01104418010740099,0.00023558589767558194,0.068998026849739408,-1.9283702498375794,-0.14501213875480268,0.27133666259751926,0.12214351794336636,1.5635683054674254,12214.229650818694,
8,10243.456545135552,794.65352405209035,11038.110069187642,99478,71024,-0.23209931064670114,-0.0018009532716623667,0.0089178391978162394,0.00015996749520361795,0.061999513454520719,-2.1341974135883444,-0.14681309202646436,0.27749967220633692,0.12762543146323263,1.5755354451266381,12762.4155208918,
9,10181.594628351648,824.05777937553341,11005.652407727181,99478,71024,-0.21330052443814243,-0.0015151021451540677,0.0073427145346630657,0.00011326067493424232,0.055971455534436554,-2.3474979380264869,-0.14832819417161885,0.28252187976598897,0.13214673221025355,1.5900723338947598,13214.541074293145,
10,10133.017977736947,847.97371093925176,10980.991688676198,99478,71024,-0.20336293547246986,-0.001287488100131467,0.0061422432312606924,8.2898308501809796e-05,0.050746529640157072,-2.5381174994513644,-0.14961568227175004,0.28668561819317334,0.13593438913073805,1.6125515594486628,13593.302978684675,
11,10094.216410041705,867.64593770626254,10961.862347747967,99478,71024,-0.19118743557570522,-0.0011034482933503702,0.0052053675097289854,6.234706804436557e-05,0.046188815363089018,-2.7064294721290807,-0.1507191305651005,0.29017917978099206,0.1391500547192534,1.6310425571379532,13914.866321870621,
12,10062.778433173988,883.9862928903849,10946.764726064372,99478,71024,-0.17513257427738979,-0.00095273947618070183,0.0044593847217645486,4.7971959482255209e-05,0.042185813318384141,-2.8549542577679095,-0.15167187004128135,0.29313801742000672,0.14191169324506087,1.6464337125302961,14191.027412812842,
13,10036.997222889129,897.67540689491454,10934.672629784043,99478,71024,-0.15812381319765423,-0.00082827117431046938,0.003856245017517676,3.7637030906311085e-05,0.038649937622999515,-2.9867227594939263,-0.15250014121559158,0.29567120822083282,0.14430742246895392,1.6593763190139081,14430.597939472924,
14,10015.634917465735,909.22955748161996,10924.864474947355,99478,71024,-0.14206012129380768,-0.00072431802287289439,0.0033611978836767188,3.001585301342946e-05,0.035509315062277606,-3.10452667374578,-0.15322445923846503,0.29785829797958091,0.14640389817448754,1.6703573243902805,14640.243413550579,
15,9997.7747421783642,919.04642302928153,10916.821165207646,99478,71024,-0.13200740390437254,-0.00063672257324885533,0.002949728892106511,2.4266994126073895e-05,0.032705575582285228,-3.2107083269981138,-0.15386118181171346,0.29975864028598403,0.14825229746570684,1.6797470140583111,14825.081494273218,
16,9982.7246598247802,927.43584285786824,10910.160502682649,99478,71024,-0.12799058192586141,-0.0005624610496377853,0.0026041106032556717,1.9862381360279761e-05,0.030191514250081663,-3.3071634025025891,-0.15442364286135166,0.30141887578430226,0.14989289839186623,1.6878308430678721,14989.139946288231,
17,9969.9540528225698,934.64235110943775,10904.596403932008,99478,71024,-0.12252025689019026,-0.00049908608876531957,0.0023110430382746105,1.6433568634746728e-05,0.027927978364475407,-3.3954088990810667,-0.15492272895011652,0.30287764833531983,0.15135773051138229,1.6948318236326911,15135.621693407718,
18,9959.050366893116,940.86136166400013,10899.911728557116,99478,71024,-0.11608750552348154,-0.00044454065700449025,0.00206054090293302,1.3725785735510952e-05,0.026246997162059017,-3.4766601814991516,-0.15536726960712138,0.30416627493451143,0.15267247419328844,1.700926498943405,15267.094746854651,
19,9949.6888196770778,946.25047567798879,10895.939295355067,99478,71024,-0.10918850333054946,-0.00039745470535539979,0.0018448258473488716,1.1564918080483427e-05,0.025039068107253228,-3.5518989379179366,-0.15576472431247659,0.30530833790318856,0.15385823013346214,1.7062561138522552,15385.66915511608,
20,9941.6109366931214,950.93796367674372,10892.548900369866,99478,71024,-0.10222996566395567,-0.00035656797972892734,0.0016577183313098061,9.8214075863318352e-06,0.023912550714770248,-3.6219241748147746,-0.15612129229220539,0.30632411262220688,0.15493234359328115,1.7109341105754055,15493.079426984521,
21,9934.6089694594102,955.02900457982958,10889.63797403924,99478,71024,-0.095496053902328792,-0.00032093667804006617,0.0014946513528472172,8.4026312017104097e-06,0.022860040062134327,-3.6873912005347189,-0.15644222897024568,0.30723108366084428,0.15590926019028534,1.7150532608793478,15590.770109768344,
22,9928.5144399251149,958.61037664769015,10887.124816572805,99478,71024,-0.089155989794876947,-0.00028980600476349752,0.0013518968369120674,7.2400334721761536e-06,0.021874881004316189,-3.7488428747368894,-0.15673203497500884,0.30804409590279125,0.15680117322706422,1.7186901488713593,15679.960521533194,
23,9923.1895700803943,961.75442915966153,10884.943999240057,99478,71024,-0.084544042656039944,-0.00026245871828094078,0.0012263214127330748,6.2795085072167136e-06,0.020951144783805782,-3.8067329463045549,-0.15699449369329008,0.30877442314929487,0.15761837425966616,1.7219085128239442,15761.679807592356,
