Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,17948.4,0,17948.4,99478,71024,0,0,0,0,0,0,0,0,0,0,0,
1,12811.084908737021,179.04553462150125,12990.130443358521,99478,71024,-0.6355371245045256,-0.093499560237454593,0.14361110658147672,0.031071667619505562,1,-0.6355371245045256,-0.093499560237454593,0.14361110658147672,0.031071667619505562,1,3107.1356902829366,
2,11670.03394919148,343.40315156116992,12013.43710075265,99478,71024,-0.47187562866225491,-0.028334806893132648,0.064404765977093423,0.0068453459399104169,0.29540209987373944,-1.1010635019906259,-0.1218343671305873,0.19391354914104481,0.060643283434133333,1.2631079952210671,6064.2677001298989,
3,11119.691638445467,474.21412233104127,11593.905760776508,99478,71024,-0.42543156833060491,-0.0098159541876650207,0.038320569929635041,0.0024456034462156597,0.169823707454102,-1.3211284555881975,-0.13165032131825211,0.2221078792010652,0.081070533158225863,1.3934320299018166,8106.9722452894284,
4,10792.789191402249,575.20206949564101,11367.99126089789,99478,71024,-0.28118353884943359,-0.0050650987083939534,0.025538834516202303,0.0011271841341124135,0.11136794615817024,-1.4382506332654561,-0.13671542002664605,0.24055688905573061,0.095789342712731401,1.4687573340936424,9578.8384819304265,
5,10579.348211401746,652.38314917470802,11231.731360576454,99478,71024,-0.23996431205761917,-0.0034550698635125417,0.018437116668045012,0.00061119493512970643,0.086774719192450264,-1.6035078284243949,-0.14017048989015882,0.2537114483961877,0.10683272817814438,1.5152156258596983,10683.16598508626,
6,10431.24579598663,711.75642829474077,11143.00222428137,99478,71024,-0.24341776216391142,-0.0026720758919806758,0.014025249668592293,0.00036617260341253554,0.0771760691847512,-1.7756905935702314,-0.14284256578213925,0.26361839630421735,0.11537371544065242,1.5447046598552927,11537.256170349801,
7,10323.895936054607,758.03193055679139,11081.927866611399,99478,71024,-0.24247936934509798,-0.0021695730103847019,0.011044180097339642,0.00023558589771240017,0.068998026808751278,-1.92837025121646,-0.14501213879252409,0.27133666255778327,0.1221435179778958,1.5635683053833453,12214.229654271601,
8,10243.456545183883,794.65352401932023,11038.110069203203,99478,71024,-0.23209931033686018,-0.0018009531161047934,0.0089178390549166219,0.00015996749516463882,0.061999513411578479,-2.1341974192204405,-0.14681309190862943,0.27749967202479864,0.12762543143028998,1.575535445490081,12762.415517597568,
9,10181.594628505405,824.05777929297983,11005.652407798385,99478,71024,-0.21330052397327978,-0.0015151023359321592,0.007342714582129462,0.00011326067768695212,0.05597145549758361,-2.3474979431937202,-0.14832819424456134,0.28252187970314535,0.13214673228129445,1.5900723339501943,13214.541081397163,
10,10133.017977784517,847.97371075532669,10980.991688539843,99478,71024,-0.20336293546995801,-0.0012874881057073284,0.0061422432333045791,8.2898309050433931e-05,0.050746529642472442,-2.5381175041086053,-0.1496156823502684,0.28668561816615018,0.13593438921897039,1.6125515595430719,13593.302987507819,
11,10094.216409978117,867.64593750786491,10961.862347485981,99478,71024,-0.19118743561826218,-0.0011034481330036818,0.0052053675526854328,6.2347068260869306e-05,0.046188815337539879,-2.7064294763286485,-0.15071913048327221,0.29017917961445039,0.13915005478871162,1.6310425572498006,13914.866328816373,
12,10062.778432951271,883.98629302846905,10946.76472597974,99478,71024,-0.17513257419655792,-0.00095274009154005179,0.004459385153364275,4.7971961763870338e-05,0.04218581328681658,-2.8549542615275763,-0.15167187057481188,0.29313801779690429,0.14191169368715434,1.6464337126825206,14191.027457021746,
13,10036.997223786295,897.6754058449045,10934.672629631199,99478,71024,-0.15812381308762091,-0.00082827069266897544,0.0038562448939191735,3.7637028088738548e-05,0.03864993760024224,-2.9867227628321227,-0.15250014126748132,0.29567120825266041,0.14430742250952611,1.6593763192572943,14430.597943530101,
14,10015.634918310034,909.22955645264517,10924.864474762679,99478,71024,-0.14206012126048653,-0.00072431798774961218,0.0033611978607637968,3.0015852822325945e-05,0.035509314772381374,-3.1045266767549466,-0.15322445925523109,0.29785829798558455,0.14640389819030569,1.6703573249016355,14640.24341513238,
15,9997.7747432254037,919.04642207550023,10916.821165300904,99478,71024,-0.13200740407736988,-0.00063672210103709757,0.0029497293492372644,2.4266994662891017e-05,0.032705575570406091,-3.2107083296779826,-0.15386118135626795,0.29975863981823664,0.14825229700711939,1.6797470147905593,14825.081448414932,
16,9982.7246594117132,927.43584307337971,10910.160502485092,99478,71024,-0.12799058206210101,-0.00056246217195524346,0.0026041099291793791,1.9862383494418415e-05,0.030191514448380932,-3.3071634049282519,-0.15442364352822316,0.30141887634156134,0.14989289911673478,1.6878308439821978,14989.140018774362,
17,9969.9540539897298,934.64234996059929,10904.596403950329,99478,71024,-0.12252025705668274,-0.00049908554056839877,0.0023110429396421225,1.6433565272337172e-05,0.027927978662117933,-3.3954089015824191,-0.15492272906879134,0.30287764848043808,0.15135773064286775,1.6948317576257963,15135.621706556132,
18,9959.0503683072548,940.8613603559977,10899.911728663252,99478,71024,-0.11608750555607815,-0.0004445404940906171,0.0020605407937976314,1.3725784587234277e-05,0.026246997265992077,-3.4766601838950333,-0.15536726956288219,0.30416627492307041,0.15267247418268057,1.7009264917063063,15267.094745793875,
19,9949.6888207041884,946.25047475194197,10895.93929545613,99478,71024,-0.10918850334830937,-0.00039745479294029545,0.0018448258512021988,1.1564917812956542e-05,0.025039067979584165,-3.5518989400580945,-0.15576472435582214,0.30530833797711449,0.15385823017924466,1.7062561074997247,15385.669159694287,
20,9941.6109376434997,950.93796279146068,10892.54890043496,99478,71024,-0.10222996551519944,-0.00035656804817144403,0.0016577183690886625,9.8214073189430646e-06,0.023912550581497726,-3.6219241768517438,-0.15612129240399406,0.30632411275354876,0.15493234363953035,1.7109341050990363,15493.079431609394,
21,9934.6089706213752,955.02900350853417,10889.63797412991,99478,71024,-0.095496053930289787,-0.00032093670250452289,0.0014946512811503741,8.4026305692324886e-06,0.022860039974473771,-3.6873912040821466,-0.15644222910649822,0.30723108383254988,0.15590926018865575,1.7150532562007776,15590.770109605386,
22,9928.514441288502,958.61037538293806,10887.124816671439,99478,71024,-0.089155989831168986,-0.0002898058259042646,0.0013518967772391272,7.2400326528658383e-06,0.021874880951076647,-3.7488428781109944,-0.15673203493240245,0.30804409596167437,0.15680117308350178,1.7186901449268226,15679.960507177095,
23,9923.1895712711757,961.75442805108491,10884.94399932226,99478,71024,-0.084544041614327048,-0.00026245857701079079,0.0012263212832877544,6.2795079811576716e-06,0.020951144753362672,-3.806732949473393,-0.15699449350941347,0.30877442307304387,0.15761837406389842,1.7219085095432236,15761.679788015777,
24,9918.520889538253,964.52177833960707,10883.04266787786,99478,71024,-0.080218103676676908,-0.00023831577534819804,0.0011153675869671122,5.4714556209481547e-06,0.020083557026089147,-3.8614440864999406,-0.15723280928476177,0.30943171931312496,0.15836939138901551,1.7247618132536615,15836.780769510162,
25,9914.4143256330317,966.96327269474739,10881.377598327779,99478,71024,-0.076253216209827182,-0.00021697412346569783,0.0010169302634132715,4.7947767484577224e-06,0.019267410248629033,-3.913301591260995,-0.15744978340822721,0.31002513509349833,0.15906169230815229,1.727295300956593,15906.010169122921,
26,9910.7914178779774,969.12197216383606,10879.913390041813,99478,71024,-0.075900360581064502,-0.00019803543626747855,0.00092931670255815945,4.2245826352401304e-06,0.018498494092044265,-3.9625842403229363,-0.15764781884449511,0.31056226765243977,0.15970173861532172,1.7295475305067345,15970.014159793556,
27,9907.5863425801181,971.03450823215258,10878.620850812271,99478,71024,-0.075194570510028216,-0.0001811933243984634,0.00085110022816376266,3.7404376626271693e-06,0.01777372915820781,-4.0095325628151679,-0.15782901216889317,0.31104988841338665,0.16029512422961839,1.7315515465538285,16029.35212783761,
28,9904.7435907737563,972.73209430048598,10877.475685074241,99478,71024,-0.074152064991334254,-0.00016621278886218296,0.00078107725623205524,3.3275076109779514e-06,0.016448766391246088,-4.0543555938479345,-0.15799522495775536,0.31149436130986269,0.16084673203690453,1.7333358438322941,16084.512356958416,
29,9902.2161131222038,974.24150885440258,10876.457621976606,99478,71024,-0.072804280189650614,-0.00015284635968489574,0.00071816610835007957,2.9733092237760767e-06,0.015548391721430826,-4.0972359569204677,-0.15814807131744021,0.31190003454985599,0.16136082281055097,1.734925171044746,16135.920920232287,
30,9899.9638666468509,975.58583139462701,10875.549698041477,99478,71024,-0.071192851685141723,-0.00014086499103222562,0.00066147680973195741,2.6677530147039679e-06,0.014447553031700056,-4.1383338901285187,-0.15828893630847252,0.31227036519108609,0.16184109995631787,1.7363411461748004,16183.94815453183,
31,9897.9526169383389,976.78497596013904,10874.737592898478,99478,71024,-0.069366662136426865,-0.00013008677448664142,0.0006102718808283597,2.4025954618009701e-06,0.013393090131127916,-4.1777908224333009,-0.15841902308295883,0.31260916640632108,0.16229078618916282,1.7376027310444555,16228.916328130092,
32,9896.1530062361471,977.8561173377384,10874.009123573886,99478,71024,-0.067377472777312458,-0.00012039362810339797,0.0005639278101128353,2.1717860772184429e-06,0.012398438047163594,-4.2157321345918213,-0.15853941671106234,0.31291980532436592,0.16271276451762984,1.7387265784425014,16271.113738998467,
33,9894.5397384829957,978.81418935548288,10873.353927838478,99478,71024,-0.065275895033167025,-0.00011165375958044865,0.00052190164234468565,1.9698847242903202e-06,0.011463152241551013,-4.2522694817730322,-0.15865107047064314,0.31320508849425943,0.16310957531658443,1.7397274085008019,16310.794422083127,
