Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,17948.4,0,17948.4,99478,71024,0,0,0,0,0,0,0,0,0,0,0,
1,12811.084908737028,301.21107113490837,13112.295979871937,99478,71024,-0.63553712450452504,-0.093499560237453733,0.14361110658147619,0.031071667619505378,1,-0.63553712450452504,-0.093499560237453733,0.14361110658147619,0.031071667619505378,1,3107.1356902829184,
2,11681.20578663595,545.68553235303079,12226.891318988981,99478,71024,-0.47455182413831476,-0.0027434207937868729,0.056411942323426001,0.0053041103511772452,0.25957869636116609,-1.0703202235759059,-0.096242981031240682,0.18454372288751414,0.054867568206411886,1.2595786963611662,5486.7019530729822,
3,11145.374839004318,712.30730548717736,11857.682144491495,99478,71024,-0.44416809540989977,0.00058846097812792866,0.032361087634254077,0.0018463594060966308,0.14615684245447227,-1.3425411781435517,-0.095654520053112785,0.20697846897446459,0.070431784263140021,1.3864683600833574,7043.1079945297388,
4,10834.497310668179,833.00288385546821,11667.500194523647,99478,71024,-0.26645160262102052,-0.00072581319524079192,0.021171125565744315,0.00083209968207886061,0.09942393334649291,-1.4732491273115715,-0.096380333248353503,0.22182320767061417,0.081458276223476414,1.4596755562652211,8145.7461640714182,
5,10635.083773739672,922.09028137450048,11557.174055114172,99478,71024,-0.21759407570527739,-0.0010386503501233206,0.014977348985989338,0.00043194814319707082,0.073019851073000672,-1.430395314371558,-0.097418983598476963,0.2322633546382209,0.089443957934774748,1.5049527761717474,8944.3063495195402,
6,10498.525147122422,989.41171666921889,11487.936863791641,99478,71024,-0.16141231368019773,-0.0010382199045418079,0.011125900919148739,0.00024626334409530003,0.056403802358249829,-1.416252351382765,-0.098457203503018551,0.23994436763404456,0.095377300754291655,1.533899547945788,9537.6346981284114,
7,10400.57997349279,1041.4286226328913,11442.008596125681,99478,71024,-0.11412534638204887,-0.00094429335203925584,0.0085483742741160919,0.00015043467451167412,0.046267773240439736,-1.4005644609127557,-0.099401496855057961,0.24579358149260833,0.099891695005311906,1.5526753778915545,9989.0696088361856,
8,10327.84041866052,1082.4400022592074,11410.280420919727,99478,71024,-0.092146948144870747,-0.00083148826039152021,0.0067361183143042598,9.6782264466227925e-05,0.039482236459941804,-1.3892273039289618,-0.1002329851154494,0.25036676160902593,0.10340136192579163,1.564882305829157,10340.032791217238,
9,10272.342633816008,1115.3336250609652,11387.676258876972,99478,71024,-0.082436627415656605,-0.00072308283902997451,0.0054132964052864248,6.4773242082273808e-05,0.034668195186504124,-1.3806567616628671,-0.10095606795447933,0.25401997731470621,0.10618020845953653,1.5727620035004601,10617.914665745193,
10,10229.080466622221,1142.09817926499,11371.178645887212,99478,71024,-0.07002468240200875,-0.00062617069961973454,0.0044203088405667303,4.4717309661988277e-05,0.030627092061529502,-1.3742580220416434,-0.1015822386540991,0.25698031658670439,0.10841425079815128,1.5777645421948345,10841.316665564331,
11,10194.761213275044,1164.1401670882105,11358.901380363255,99478,71024,-0.05621844173622062,-0.00054195199470161734,0.0036576372674027194,3.1655797535791505e-05,0.027196852760409604,-1.3693974339154853,-0.10212419064880064,0.25941112338069405,0.11023341665592751,1.5808499157619718,11023.231432176095,
12,10167.137711235362,1182.4796877987842,11349.617399034147,99478,71024,-0.045854359973032638,-0.00046960045878617867,0.0030601630865330245,2.2879321920782253e-05,0.024257263564526597,-1.3656222451544033,-0.10259379110758708,0.26143091817125413,0.11173088335282536,1.5826622923880502,11172.976604399182,
13,10144.628963208206,1197.8731626338938,11342.5021258421,99478,71024,-0.040358181216236626,-0.00040769716356820683,0.0025842751614918234,1.6827387569604858e-05,0.021717714534449647,-1.3626207276912892,-0.10300148827115518,0.26312326429190525,0.11297503248424087,1.5836375001873655,11297.390273391604,
14,10126.093984034451,1210.8923894212517,11336.986373455702,99478,71024,-0.034853196253066335,-0.00035476393780910508,0.0021999920896767322,1.2562005332117402e-05,0.019508613095656987,-1.3601840512438217,-0.10335625220896426,0.26455130952271638,0.11401705951136483,1.5840702648653211,11401.591934076972,
15,10110.691385243592,1221.9769022427295,11332.668287486322,99478,71024,-0.031757839570781418,-0.0003094492244782911,0.0018861216897753021,9.4990262216784846e-06,0.017575566418813752,-1.3581714139109757,-0.10366570143344249,0.26576448461216368,0.11489595944574328,1.584160953690942,11489.481048614882,
16,10097.789121115966,1231.46954114196,11329.258662257926,99478,71024,-0.028794263824575839,-0.00027058050887321795,0.0016270929381527769,7.2636382537369466e-06,0.015875381956045889,-1.3564854918037283,-0.10393628194231562,0.26680101402991308,0.115641882654416,1.5840445163819588,11564.072623558945,
17,10086.904722496705,1239.6411845697035,11326.545907066409,99478,71024,-0.02577369199082041,-0.0002371603066554975,0.001411447441599614,5.6090996074986264e-06,0.014373256168191776,-1.3550569148075335,-0.10417344224897139,0.26769149275437831,0.11627844950645687,1.5838109832032281,11627.728672196181,
18,10077.664673723692,1246.7083166304953,11324.372990354186,99478,71024,-0.022794429813209924,-0.00020834993876251342,0.0012304342053966579,4.3692714357612807e-06,0.013040785248569456,-1.3538347437540628,-0.10438179218773369,0.26845976042206759,0.11682438107819668,1.5835195167518625,11682.321283438589,
19,10069.776205447268,1252.8457088062044,11322.621914253472,99478,71024,-0.019937822589518737,-0.00018344723053347048,0.0010772368555891081,3.4300442372952867e-06,0.011854538215635882,-1.3527806117643342,-0.10456523941826749,0.26912560712557065,0.11729466952360411,1.5832080672419324,11729.349657690887,
20,10063.007279916008,1258.1957506061776,11321.203030522185,99478,71024,-0.017265683565169561,-0.00016186649142116872,0.00094683026756650515,2.7116220574950915e-06,0.010795012485965913,-1.3518649355230683,-0.10472710590968845,0.26970486234104946,0.11770143217786933,1.5829001477526592,11770.025516354755,
21,10057.172165675713,1262.8754009340819,11320.047566609795,99478,71024,-0.016207148081202136,-0.00014311551942591198,0.00083521240402999631,2.1573154280904239e-06,0.0098458450356069625,-1.3510647143909162,-0.10487022142911454,0.27021013986719955,0.11805454448552886,1.5826095315748949,11805.3363940084,
22,10052.120857999042,1266.9814469054572,11319.1023049045,99478,71024,-0.015378605073073615,-0.00012678265535042015,0.00073914640645372353,1.7262781939725174e-06,0.0089932172565262355,-1.3503615109946876,-0.10499700408446468,0.27065214432473139,0.11836211554736019,1.5823435189566,11836.093192620472,
23,10047.731222770641,1270.59451880495,11318.325741575591,99478,71024,-0.014552301991122216,-0.00011252176390483159,0.00065609611561961469,1.3887048386906646e-06,0.008225388045165179,-1.3497406094007791,-0.10510952584836963,0.27104027220694765,0.11863084949816692,1.5821051996923612,11862.966318967194,
