Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,17948.4,0,17948.4,99478,71024,0,0,0,0,0,0,0,0,0,0,0,
1,12811.084908737024,301.21107113490967,13112.295979871935,99478,71024,-0.6355371245045256,-0.093499560237454607,0.14361110658147669,0.031071667619505534,1,-0.6355371245045256,-0.093499560237454607,0.14361110658147669,0.031071667619505534,1,3107.1356902829339,
2,11681.205786635957,545.68553235303284,12226.89131898899,99478,71024,-0.47455182413831465,-0.0027434207937869154,0.056411942323426056,0.0053041103511772556,0.25957869636116565,-1.0703202235759068,-0.096242981031241653,0.1845437228875145,0.054867568206412108,1.2595786963611657,5486.701953073004,
3,11145.374839004322,712.30730548717804,11857.6821444915,99478,71024,-0.44416809540989982,0.0005884609781279511,0.032361087634254097,0.0018463594060966321,0.14615684245447247,-1.3425411781435521,-0.095654520053113659,0.20697846897446501,0.070431784263140271,1.3864683600833567,7043.1079945297643,
4,10834.497310668179,833.00288385546924,11667.500194523649,99478,71024,-0.26645160262102047,-0.00072581319524078107,0.021171125565744318,0.00083209968207886115,0.099423933346492979,-1.4732491273115722,-0.096380333248354419,0.22182320767061448,0.081458276223476622,1.4596755562652204,8145.7461640714391,
5,10635.083773739672,922.0902813745015,11557.174055114174,99478,71024,-0.21759407570527753,-0.0010386503501233154,0.014977348985989356,0.0004319481431970712,0.073019851073000727,-1.4303953143715593,-0.097418983598477879,0.23226335463822112,0.089443957934775012,1.5049527761717467,8944.3063495195656,
6,10498.525147122418,989.41171666922014,11487.936863791638,99478,71024,-0.16141231368019779,-0.0010382199045418025,0.011125900919148744,0.00024626334409530025,0.05640380235824987,-1.4162523513827656,-0.09845720350301948,0.23994436763404478,0.09537730075429196,1.5338995479457873,9537.6346981284423,
7,10400.57997349279,1041.4286226328936,11442.008596125683,99478,71024,-0.11412534638204891,-0.00094429335203925551,0.0085483742741160936,0.00015043467451167418,0.046267773240439763,-1.4005644609127565,-0.099401496855058863,0.2457935814926086,0.099891695005312225,1.5526753778915536,9989.0696088362165,
8,10327.84041866052,1082.4400022592097,11410.280420919729,99478,71024,-0.092146948144870774,-0.00083148826039151761,0.0067361183143042555,9.6782264466227952e-05,0.039482236459941825,-1.3892273039289629,-0.1002329851154503,0.25036676160902621,0.10340136192579193,1.5648823058291561,10340.032791217267,
9,10272.342633816008,1115.3336250609664,11387.676258876974,99478,71024,-0.082436627415656646,-0.00072308283902997256,0.0054132964052864291,6.4773242082273848e-05,0.034668195186504165,-1.380656761662868,-0.10095606795448028,0.2540199773147066,0.10618020845953682,1.5727620035004595,10617.914665745222,
10,10229.080466622218,1142.0981792649941,11371.178645887212,99478,71024,-0.070024682402008723,-0.00062617069961973368,0.0044203088405667321,4.4717309661988352e-05,0.03062709206152954,-1.3742580220416445,-0.10158223865410002,0.25698031658670478,0.10841425079815158,1.5777645421948339,10841.31666556436,
11,10194.761213275036,1164.1401670882124,11358.901380363248,99478,71024,-0.056218441736220683,-0.00054195199470161756,0.0036576372674027181,3.1655797535791546e-05,0.027196852760409621,-1.3693974339154866,-0.10212419064880156,0.25941112338069416,0.11023341665592776,1.5808499157619711,11023.231432176121,
12,10167.137711235358,1182.4796877987837,11349.617399034141,99478,71024,-0.045854359973032638,-0.00046960045878617846,0.0030601630865330263,2.2879321920782256e-05,0.024257263564526614,-1.365622245154404,-0.10259379110758783,0.2614309181712543,0.11173088335282566,1.5826622923880496,11172.976604399213,
13,10144.628963208206,1197.8731626338954,11342.502125842102,99478,71024,-0.040358181216236612,-0.00040769716356820612,0.0025842751614918247,1.6827387569604909e-05,0.02171771453444964,-1.3626207276912901,-0.10300148827115606,0.26312326429190575,0.11297503248424125,1.5836375001873648,11297.39027339164,
14,10126.093984034444,1210.8923894212521,11336.986373455697,99478,71024,-0.034853196253066404,-0.00035476393780910562,0.0021999920896767344,1.2562005332117424e-05,0.019508613095657015,-1.3601840512438226,-0.10335625220896505,0.26455130952271677,0.11401705951136512,1.5840702648653204,11401.591934077001,
15,10110.691385243588,1221.9769022427315,11332.66828748632,99478,71024,-0.031757839570781474,-0.00030944922447829088,0.0018861216897753021,9.4990262216785049e-06,0.017575566418813766,-1.3581714139109766,-0.10366570143344336,0.26576448461216384,0.11489595944574352,1.5841609536909413,11489.481048614905,
16,10097.789121115966,1231.4695411419636,11329.258662257929,99478,71024,-0.028794263824575853,-0.00027058050887321741,0.0016270929381527798,7.2636382537369517e-06,0.015875381956045907,-1.356485491803729,-0.10393628194231654,0.26680101402991346,0.11564188265441626,1.5840445163819581,11564.072623558972,
17,10086.904722496705,1239.6411845697075,11326.545907066413,99478,71024,-0.025773691990820458,-0.00023716030665549832,0.0014114474415996153,5.6090996074986375e-06,0.014373256168191788,-1.3550569148075347,-0.10417344224897228,0.26769149275437859,0.11627844950645709,1.5838109832032272,11627.728672196203,
18,10077.66467372369,1246.7083166304976,11324.372990354188,99478,71024,-0.02279442981320997,-0.0002083499387625131,0.0012304342053966592,4.3692714357612883e-06,0.013040785248569496,-1.3538347437540634,-0.10438179218773452,0.26845976042206787,0.11682438107819691,1.5835195167518616,11682.321283438612,
19,10069.776205447262,1252.8457088062066,11322.621914253468,99478,71024,-0.019937822589518685,-0.00018344723053347005,0.0010772368555891094,3.430044237295291e-06,0.01185453821563592,-1.3527806117643348,-0.10456523941826844,0.26912560712557099,0.11729466952360443,1.5832080672419315,11729.349657690918,
20,10063.007279916004,1258.1957506061797,11321.203030522183,99478,71024,-0.017265683565169634,-0.00016186649142116958,0.0009468302675665071,2.7116220574950949e-06,0.010795012485965922,-1.3518649355230694,-0.10472710590968934,0.26970486234104979,0.11770143217786966,1.5829001477526583,11770.025516354788,
21,10057.172165675713,1262.8754009340839,11320.047566609797,99478,71024,-0.016207148081202168,-0.0001431155194259119,0.00083521240402999544,2.1573154280904268e-06,0.009845845035606985,-1.3510647143909171,-0.10487022142911538,0.27021013986719988,0.11805454448552916,1.5826095315748943,11805.336394008431,
