Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,840.483,0,840.483,19997,454,0,0,0,0,0,0,0,0,0,0,0,
1,408.87555055772526,0.12038467647094632,408.99593523419622,19997,454,-0.78960559896130633,-0.021542955344764945,0.29651868904116968,0.14235459478778259,1,-0.78960559896130633,-0.021542955344764945,0.29651868904116968,0.14235459478778259,1,2846.9495411608641,
2,333.35101131121183,0.26876237879606363,333.61977369000789,19997,454,-1,-0.044434788068198602,0.12049629444779639,0.027566404369931245,1,-1.7896055989613062,-0.065977743412963391,0.40180446152669957,0.26025993634167971,2,5204.9384668972525,
3,301.94019948620507,0.43657061047087131,302.37677009667595,19997,454,-1,-0.027096083183991326,0.077106332803973915,0.014298738615414917,0.54727003201742463,-2.7896055989613062,-0.093073826596954651,0.46129516781049196,0.35154229804797171,2.5472700320174244,7030.4944186613866,
4,282.36920979947678,0.61566054073088317,282.98487034020764,19997,454,-1,-0.024574676873421061,0.062208297075596254,0.010604609894716649,0.39826305917057014,-3.6087541690277711,-0.11764850347037588,0.50601314105359119,0.43527308880066362,2.7920255832592398,8705.0265029244711,
5,268.32281226750592,0.77406815980533694,269.09688042731125,19997,454,-1,-0.021620713868238429,0.054629781497983636,0.0090037769628607527,1,-3.5396717023115625,-0.13926921733861469,0.54212796454577028,0.5046742993655291,2.9435491513932908,10092.981313011216,
6,257.44240180199245,0.95732145951389802,258.39972326150632,19997,454,-1,-0.022437453397869411,0.049342933018431456,0.0077519041957517165,0.86696308827119495,-3.8011981321802515,-0.16170667073648437,0.57586512982280857,0.58130172799077462,3.0478834547285927,11625.453258087502,
7,248.67959221783903,1.1255920738790008,249.80518429171804,19997,454,-1,-0.020235539459820467,0.045486501263172406,0.0069344210389847023,1,-4.0850131425897942,-0.18194221019630397,0.60548070997261838,0.64920207302548405,3.1238793469010813,12983.392258436656,
8,241.38534908214078,1.3113565953532971,242.69670567749407,19997,454,-1,-0.020956017879024381,0.042338291422587014,0.0062468555159428136,1,-3.7823712590744587,-0.20289822807532837,0.63455316101632619,0.7238147262918504,3.1812130155616831,14475.570711110717,
9,235.21469823599116,1.4839999254788774,236.69869816147005,19997,454,-0.90413291943683394,-0.019185040164683722,0.039534013963995085,0.0054792511619122268,1,-3.9323546356662553,-0.22208326824001198,0.66099479271939732,0.79151827273643993,3.2255223594197822,15829.573936456061,
10,229.88992109063773,1.6569009753802517,231.54682206601797,19997,454,-1,-0.019091937482519663,0.036912453707814576,0.0047003017072820199,0.75280276140193869,-3.8417371550202022,-0.24117520572253168,0.68664236815719237,0.86011960547505406,3.2603752401973813,17201.531989895608,
11,225.24651402335522,1.8185426390158739,227.06505666237109,19997,454,-0.70492363197489039,-0.017680496116763103,0.034598716113538326,0.0041295047156680916,1,-3.8950419752736805,-0.25885570183929502,0.71038660656488173,0.92331437063546662,3.2881643232584143,18465.364098338698,
12,221.14222946856572,1.9789219305208676,223.12115139908659,19997,454,-0.97043677955778374,-0.017573306087021623,0.032537821203224203,0.0036136763850633871,0.74313301119122555,-3.725588731492854,-0.27642900792631686,0.73354352175262783,0.98688233297935324,3.3105650440527241,19736.659777254084,
13,217.49229597836231,2.1281091983667753,219.62040517672909,19997,454,-0.67892132654347859,-0.016363263053383741,0.030761201118635062,0.0032029716106215037,1,-3.8415565660583,-0.29279227097970029,0.75510190682828915,1.0455711677170094,3.3287886006945611,20910.377783172473,
14,214.21024442327669,2.2793199347513746,216.48956435802808,19997,454,-0.93041468627246915,-0.016386296859930094,0.0291408467449858,0.0028695979167595383,0.63979546098787521,-3.6439520782888732,-0.30917856783963071,0.77634773241761801,1.1056297108418833,3.3437338712197771,22111.488587126823,
15,211.25422784330996,2.4190603798051922,213.67328822311515,19997,454,-0.56512148916376947,-0.015227142544765272,0.027550317488976551,0.0025613941223996514,0.89150078638385444,-3.7925391703301985,-0.32440571038439575,0.79615034960070352,1.1609540181304794,3.3560803536525334,23217.919408591457,
16,208.56738798407295,2.5568252291105011,211.12421321318345,19997,454,-0.82202182583116135,-0.015019714504844631,0.026077900470445239,0.0022747741933231325,0.5148316511654043,-3.6395126147583596,-0.33942542488924027,0.81549501923749357,1.2161096427807359,3.3663514810164941,24320.976745971937,
17,206.12242753544317,2.6826981490972042,208.80512568454037,19997,454,-0.5322080696339021,-0.013945787671487887,0.024689610427312891,0.0020270353523698602,0.78210091962691008,-3.7523639331184739,-0.35337121256072784,0.83350374918633297,1.2665671846705953,3.3749550125846715,25330.077126227236,
18,203.87804529735135,2.8067378637774376,206.68478316112879,19997,454,-0.80244076964217392,-0.013745513574511559,0.023492233498603073,0.0018385746332191116,0.39283120604690008,-3.6390812117428188,-0.36711672613523932,0.85106214840453365,1.3168034658143486,3.3822115460497848,26334.752512821156,
19,201.81753454703912,2.9205282542251312,204.73806280126425,19997,454,-0.47136703254004758,-0.012829373859103339,0.022334549699601351,0.0016229922729655765,0.83081564181010525,-3.7215220811933234,-0.37994609999434303,0.86752746939645042,1.3629809122565615,3.3883746559995718,27258.255264218973,
20,199.91133160176699,3.0302719016576138,202.9416035034246,19997,454,-0.8290308004255692,-0.012524733316253783,0.021260056168798898,0.0014577047089198974,0.27925892672869751,-3.6413405517651523,-0.39247083331059718,0.8834850511249287,1.408097587338965,3.3936471550800409,28160.543649191961,
21,198.14608355014261,3.1321381093515259,201.27822165949414,19997,454,-0.40650368774342288,-0.011793121216401425,0.020304862785126717,0.0013181806881295481,0.83468379356398559,-3.6984719276213776,-0.40426395452699726,0.89852416605504359,1.4500411531519599,3.3981921079884483,28999.373021886047,
22,196.50111234000005,3.2307852522293845,199.73189759222944,19997,454,-0.81922559477158508,-0.011530790987700797,0.019416383351922105,0.0012005157537958151,0.23887700163516296,-3.6444476661755845,-0.41579474551470014,0.91313984940819659,1.4911196247841136,3.402141394112614,29820.901376057489,
23,194.9676880767619,3.3229732551791069,198.29066133194101,19997,454,-0.38852138958256399,-0.010928928567324752,0.01863887392679307,0.0011051252920810572,0.81042816776786575,-3.6806500369421835,-0.42672367408202289,0.92700669780839595,1.529588215029833,3.4056019674891913,30590.234712381629,
24,193.53016239662824,3.4128946153060205,196.94305701193426,19997,454,-0.78810234226579678,-0.010720293696898605,0.017915223422274907,0.0010154350686922306,0.2821982836070025,-3.6472254974111622,-0.43744396777892341,0.94051395408764393,1.5674824174718904,3.4086608544625636,31348.080867020337,
25,192.18304408820987,3.4970526350742213,195.68009672328409,19997,454,-0.44328197541765718,-0.010196944428748383,0.017236474687477108,0.0009351186124581509,0.77130885622326739,-3.6674871798189628,-0.44764091220767011,0.95336303867381111,1.6031011026745192,3.4113888389565927,32060.41895238771,
26,190.91404872296286,3.5791312807814579,194.49318000374433,19997,454,-0.74586345213269467,-0.010008001440906468,0.016622593587691088,0.00087200894081455459,0.31185783298182918,-3.649515127997875,-0.45764891364857752,0.96592110911521956,1.6381877506999194,3.413843685608307,32762.116826247689,
27,189.71901227221795,3.656828070868364,193.37584034308631,19997,454,-0.35434904939759787,-0.0095897229014931997,0.016060448131470992,0.00081377940872512258,0.72390400166546565,-3.6587608237006211,-0.46723863655006964,0.97796347436657882,1.671520184163358,3.4160726765413045,33428.732163082997,
28,188.58869829871455,3.7329070809579634,192.32160537967252,19997,454,-0.69784084530111834,-0.0094186709699288843,0.015530161391350186,0.00075981112639978961,0.32039699989560344,-3.6511277907620472,-0.4766573075199978,0.98972431179358689,1.7044261713813447,3.4181146402693225,34086.819001455515,
29,187.52024242095942,3.8051262950920393,191.32536871605146,19997,454,-0.3154495383804754,-0.00904262837919197,0.015016057915296008,0.00070422579950227802,0.67171156151980826,-3.6535769696847922,-0.48569993589919142,1.0010102680220643,1.7357737621824614,3.4200015235972829,34713.739469887048,
30,186.50634833123124,3.8754987896805346,190.38184712091177,19997,454,-0.64744409932754432,-0.0088570031006571914,0.014522394358431898,0.00065796607687041483,0.3098940388233451,-3.6521026855813652,-0.49455693899985004,1.0120388910482838,1.766577202276288,3.4217596851508341,35329.777468323482,
31,185.54449619236001,3.9426731928163314,189.48716938517634,19997,454,-0.30185961755399232,-0.0085339508730872433,0.01406674654445526,0.00061725639834592238,0.61836112242765229,-3.6524484908156554,-0.50309088987293626,1.0226827018965374,1.7960746508063821,3.4234109167904205,35919.696941476832,
32,184.6289941799624,4.008277014351826,188.63727119431422,19997,454,-0.59776908095625159,-0.0083621876535254266,0.013630781884332123,0.00057956206739108766,0.28747014555230094,-3.6526973435215688,-0.5114530775264613,1.0330932609207608,1.8250909716631702,3.4249732367355081,36499.994342291742,
33,183.75801929199523,4.0710085616419596,187.82902785363717,19997,454,-0.27781423538846317,-0.008070523661507293,0.013214295741521677,0.0005414627965135328,0.56988491349175818,-3.6530120947208289,-0.51952360118797059,1.0431267689243893,1.852939745237097,3.4264614955477493,37056.941964996702,
