Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,840.483,0,840.483,19997,454,0,0,0,0,0,0,0,0,0,0,0,
1,408.63010281717948,1.2160832121453432e-10,408.63010281730106,19997,454,-0.79924536806723478,-0.021109548778592859,0.29756756098620291,0.14350225886318255,1,-0.79924536806723478,-0.021109548778592859,0.29756756098620291,0.14350225886318255,1,2869.9016750047876,
2,333.12536657239542,2.7456012588034498e-10,333.12536657266998,19997,454,-1,-0.045593211370942646,0.12163950765109352,0.028650153839231744,1,-1.7992453680672349,-0.066702760149535398,0.40364489617986266,0.26329059887476886,2,5265.5486868965027,
3,301.69073068483874,4.6085820142883291e-10,301.69073068529963,19997,454,-1,-0.029515592689622193,0.079711975923377434,0.016936141497186606,0.54852126287608194,-2.7992453680672349,-0.096218352839157598,0.46552248010517078,0.3627281885130208,2.5485212628760818,7254.2010420719025,
4,282.05367231732811,7.113910714229963e-10,282.0536723180395,19997,454,-1,-0.031156531921819802,0.068826321242650174,0.017672649757059945,0.24474475549248612,-3.7992453680672349,-0.12737488476097755,0.51695136589271451,0.47860907006832204,2.793266018368568,9571.7027922963716,
5,267.90235592257898,1.057273873177479e-09,267.90235592363626,19997,454,-1,-0.035273625896766893,0.065794024076432311,0.020843941830847711,0.20598332142202094,-4.7992453680672345,-0.16264851065774447,0.56694354130543945,0.63133925710033822,2.9447281209496095,12626.153802749664,
6,256.93808569172899,1.5292572409394988e-09,256.93808569325824,19997,454,-1,-0.039782632364711114,0.065836511325333996,0.024841343443028043,0.18207835854704305,-5.7992453680672345,-0.2024311430224548,0.61833395529682844,0.83571671456252994,3.049000721647563,16713.498574536035,
7,248.06467742625117,2.15941574762311e-09,248.06467742841059,19997,454,-1,-0.044703414323730047,0.067592257698483191,0.029455247623418918,0.17514060685986518,-6.7992453680672345,-0.24713455734618539,0.67275780930147366,1.1058988101383629,3.1249400611590428,22116.870303957119,
8,240.67377804319901,2.9803608164066833e-09,240.67377804617936,19997,454,-1,-0.049960346875812758,0.070439063829460496,0.034533229635529218,0.18675753659106004,-7.7992453680672345,-0.29709490422199858,0.73122551763248111,1.4556835613017847,3.1822218143666783,29112.215542474391,
9,234.39113106395322,4.02541983990024e-09,234.39113106797865,19997,454,-1,-0.055544599379405799,0.074094148132700391,0.039985183054279616,0.17852276138510811,-8.7992453680672345,-0.35263950360140417,0.79449256630647314,1.8990716013739326,3.2264828195962219,37979.532955877279,
10,228.9632449376688,5.3332044126775036e-09,228.963244943002,19997,454,-1,-0.0615807212809504,0.078550415657530306,0.046180427154100978,0.16513795124339545,-9.7992453680672345,-0.41422022488235438,0.86312631256860106,2.4525236848267213,3.2612898930752445,49048.0211728496,
11,224.21438689800621,6.9343185058603092e-09,224.21438690494054,19997,454,-1,-0.067437537871091788,0.083057812582895421,0.052072941116804994,0.22781805759478263,-10.799245368067234,-0.48165776275344507,0.93713297602056189,3.1283869988235167,3.2890353385919573,62564.611589471511,
12,220.01427282364952,8.8552086392572069e-09,220.01427283250473,19997,454,-1,-0.073220800218274984,0.087664207866602187,0.057654626759260197,0.22859088077838066,-11.799245368067234,-0.55487856297172156,1.0164211738424016,3.9386491686181415,3.3113937698514366,78769.044723194209,
13,216.26342047051597,1.1131276337928707e-08,216.26342048164724,19997,454,-1,-0.079434212036994092,0.092850043689334208,0.063898453168570443,0.19906778469863476,-12.799245368067234,-0.63431277500871486,1.1015697112695986,4.8986638928980195,3.3295769772029811,97968.379194067486,
14,212.89216907879998,1.3794497088815412e-08,212.89216909259449,19997,454,-1,-0.085675626539337468,0.098189420985569237,0.070239684435266583,0.16211427138691137,-13.799245368067234,-0.71998840154805233,1.192625262902244,6.0224725170956832,3.3444830640105159,120443.42786939658,
15,209.84494571154809,1.6878609140599415e-08,209.84494572842669,19997,454,-1,-0.092074017385646467,0.1037822242901998,0.076893639565443025,0.1360160605518862,-14.799245368067234,-0.81206241893369802,1.2897958498807223,7.3253782309056179,3.3567915430505328,146500.23923988146,
16,207.07799879509199,2.0409822922802997e-08,207.07799881550181,19997,454,-1,-0.098199774987168878,0.10918586420231062,0.083072686499583825,0.14088829591598492,-15.799245368067234,-0.91026219392087071,1.3928230132870145,8.8193732022392552,3.3670259185177889,176378.64467158288,
17,204.55090268108475,2.4418498505221924e-08,204.55090270550326,19997,454,-1,-0.10451517390006315,0.11484329745918069,0.08958221671513375,0.1377820443052265,-16.799245368067233,-1.0147773678209298,1.5019096189543948,10.5193989215646,3.3755942111883668,210377.45903237042,
18,202.23467523935668,2.8932110637465107e-08,202.23467526828878,19997,454,-1,-0.11077123725349561,0.12050968310917548,0.096136512606507865,0.12821788780084314,-17.799245368067233,-1.1255486050744297,1.6169968219208264,12.438975934743166,3.3828164890101653,248767.07971892858,
19,200.10401733984699,3.3976630604567399e-08,200.10401737382361,19997,454,-1,-0.11683685521942502,0.1260341096026377,0.10254815028775213,0.11799073850046754,-18.799245368067233,-1.242385460293848,1.7379523182961298,14.591024276262216,3.3889463128696011,291805.89450096805,
