Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,840.483,0,840.483,19997,454,0,0,0,0,0,0,0,0,0,0,0,
1,543.08163262119001,20.551155926672607,563.63278854786267,19997,454,-0.55385404985543174,-0.0743639675062647,0.12938367906712378,0.028877316372538219,0.34030895521518129,-0.55385404985543174,-0.0743639675062647,0.12938367906712378,0.028877316372538219,0.34030895521518129,577.51745013439188,
2,470.46137087487091,47.685797143136973,518.14716801800785,19997,454,-0.40560851905328654,-0.038199879376785137,0.07102315110406951,0.00914186502525869,0.16025012994963261,-0.95276528854964382,-0.1125638468830501,0.19942232939910495,0.069382070976727703,0.49690709720973036,1387.5720374635773,
3,446.78895828147159,67.171175576507068,513.96013385797869,19997,454,-0.29930664047721173,-0.016734983020323013,0.037268668274690483,0.0025680187837309383,0.097283091347060785,-1.2039138182471985,-0.12929882990337296,0.23587426234767386,0.096934378537887181,0.57888660517747559,1938.5906363792058,
4,436.71052262431033,78.754207986891487,515.46473061120184,19997,454,-0.17474887827592883,-0.0063385346527922567,0.019505413576891752,0.00069646472865280177,0.065149306944215502,-1.3594503631228863,-0.13563736455616546,0.25462636397550314,0.11220696437953213,0.62261267768943995,2244.0270806262633,
5,431.67604356585366,85.080687180116001,516.75673074596966,19997,454,-0.084695274143509219,-0.0019085153397970312,0.010529784243261654,0.00020138511987100719,0.049028742751874764,-1.4269509328798087,-0.13754587989596179,0.26446492611680117,0.12013237231654859,0.64648155976820654,2402.5273139586552,
6,428.94383825983545,88.455141231916983,517.39897949175247,19997,454,-0.045944209031905998,-0.00022054008832186751,0.0059437870487044249,6.7012815158400824e-05,0.039284976864261398,-1.4483534363417045,-0.13776641998428429,0.26981756564212594,0.1242441691155893,0.65968619783519455,2484.7591381426705,
7,427.38898567151278,90.276955465901963,517.66594113741473,19997,454,-0.022984034703365623,0.00032530369722383898,0.0035021204746462681,2.6142905238048985e-05,0.034419777004801803,-1.4522700587466408,-0.13744111628706024,0.27285748054996206,0.12644948289545202,0.66705308357945881,2528.8632084261449,
8,426.47522717472742,91.287560033977783,517.76278720870516,19997,454,-0.01371140968777609,0.00043457570641995382,0.0021374979901687308,1.1612060923402099e-05,0.029164210571951541,-1.4512695197351406,-0.13700654058064027,0.27465835305695008,0.12768854012134023,0.67118759738420475,2553.6431138866833,
9,425.92475103404666,91.865315300847541,517.79006633489416,19997,454,-0.0090256201244825734,0.00039602770944211196,0.0013428255485084585,5.6562147787603444e-06,0.02548181738730463,-1.4495403440157255,-0.13661051287119835,0.27576844340709,0.1284188085844532,0.67351918911987985,2568.2477528804798,
10,425.5861685605505,92.205013934859309,517.79118249540977,19997,454,-0.0071350478603035171,0.00032041768934279702,0.00086421348944279788,2.9402194988383636e-06,0.02332187244765575,-1.4481605742749406,-0.13629009518185572,0.27647536525459976,0.12886830948313005,0.67483983744272047,2577.2373213531177,
