Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,892.935,0,892.935,19999,431,0,0,0,0,0,0,0,0,0,0,0,
1,443.46349607002969,1.3947668442493177e-13,443.46349607002981,19999,431,-0.79141874124002398,-0.015160910085100772,0.27954883214615373,0.12862777117407057,1,-0.79141874124002398,-0.015160910085100772,0.27954883214615373,0.12862777117407057,1,2572.4267957102375,
2,367.92938799335172,3.0405329225918879e-13,367.92938799335201,19999,431,-1,-0.031756557518677488,0.10816694397860696,0.022675013122095987,1,-1.791418741240024,-0.046917467603778261,0.37436395758685986,0.22849320454655106,2,4569.6355977264748,
3,335.696519983808,5.0394813521669729e-13,335.69651998380851,19999,431,-1,-0.022026099487286812,0.070699349471030723,0.014382296679850389,0.33351749239289158,-2.7914187412400242,-0.068943567091065028,0.42801640567413707,0.31028899625416695,2.3335174923928914,6205.4696360870848,
4,315.22430160373142,7.8212126222306113e-13,315.22430160373221,19999,431,-1,-0.026041330330113827,0.06220099835047968,0.016186552820822334,0.21204668637906338,-3.7914187412400242,-0.094984897421179118,0.47378068261560652,0.41037826808767358,2.4953097792682559,8207.1549834853831,
5,300.38975554326271,1.1665316590251667e-12,300.3897555432639,19999,431,-1,-0.030106017847632224,0.059205083830033506,0.018751913101927215,0.16480660520541965,-4.7914187412400242,-0.12509091526881122,0.51817529058618661,0.5434399581187157,2.5884947692292983,10868.255722416196,
6,288.87178210709038,1.6868489717983207e-12,288.87178210709209,19999,431,-1,-0.034083556182764478,0.058786842980596804,0.022086692883667294,0.17888832936206223,-5.7914187412400242,-0.15917447145157584,0.56349236960828386,0.72134948775684693,2.6682895183934869,14426.268405649182,
7,279.53429881546691,2.3698477011272884e-12,279.5342988154693,19999,431,-1,-0.037961971872030292,0.059609118298849149,0.025542467092266909,0.17964539941471314,-6.7914187412400242,-0.19713644332360553,0.6107740744296597,0.95411209049593304,2.7404716929700284,19081.287697828164,
8,271.74079306412921,3.2477171108731189e-12,271.74079306413245,19999,431,-1,-0.042112547428088211,0.061456079516330961,0.029588533258854268,0.1599360851705354,-7.7914187412400242,-0.23924899075169356,0.66095040378864056,1.2531667800900712,2.7991886703023323,25062.082435021333,
9,265.09642781167491,4.3467324696092476e-12,265.09642781167923,19999,431,-1,-0.046142094734188913,0.06365867153646565,0.033555399143970335,0.13721097916322128,-8.7914187412400242,-0.28539108548588199,0.71441542597100283,1.6279471175103113,2.8475943272059943,32557.314403088716,
10,259.33815624881566,5.6877538213746831e-12,259.33815624882135,19999,431,-1,-0.049913438313941932,0.06594964440229549,0.03707743085598645,0.18664754734896788,-9.7914187412400242,-0.33530452379982389,0.77102626676484531,2.0859288769026283,2.8881298821392085,41716.49160917566,
11,254.28086707843556,7.2979595146301107e-12,254.28086707844287,19999,431,-1,-0.05393012836195623,0.068852308687311958,0.041048564875794356,1,-10.791418741240024,-0.38923465216178216,0.8311499873381305,2.6362946199610771,2.9225004786977342,52723.256104601584,
12,249.7935390438401,9.211831574282889e-12,249.79353904384931,19999,431,-1,-0.058136323484325202,0.072005385761486698,0.045198177037742891,1,-11.791418741240024,-0.44737097564610578,0.89509670862982449,3.2899301951800521,2.9519422066210779,65795.313973405864,
13,245.77670080400907,1.1454688106771019e-11,245.77670080402052,19999,431,-1,-0.062351255822307168,0.075248400381320482,0.049162505578530656,0.57332987181875539,-12.791418741240024,-0.50972223146841478,0.96291422052158893,4.055590645545716,2.9773757788282258,81107.757320268778,
14,242.15298402416977,1.4052786691912769e-11,242.15298402418381,19999,431,-1,-0.066695515119486529,0.078751785776703678,0.053270247691203663,0.33359454021434309,-13.791418741240024,-0.57641774658790201,1.0347799458956357,4.9426707942725558,2.9995044875284336,98848.473214656842,
15,238.86070247131352,1.7037013359139567e-11,238.86070247133054,19999,431,-1,-0.071371966340754739,0.082708888619485943,0.057996183419849801,0.22508882219562723,-14.791418741240024,-0.64778971292865861,1.1110943244330249,5.9623830705693273,3.0188780204814871,119241.69902831598,
16,235.85443205409251,2.0440588211736675e-11,235.85443205411295,19999,431,-1,-0.076077251550004693,0.08687255085162611,0.062861519560029305,1,-15.791418741240024,-0.72386696447866017,1.1919054027388727,7.1255709833543985,3.0522774206311203,142504.29409610463,
17,233.09748730801721,2.4294314737212391e-11,233.09748730804151,19999,431,-1,-0.080766326684956077,0.090988226629948543,0.067646019321798645,1,-16.791418741240022,-0.80463329116361437,1.2771941026413463,8.4430104635218886,3.0936231017490003,168851.76625997425,
18,230.55765393916226,2.8620357784389887e-11,230.55765393919089,19999,431,-1,-0.085255284897608363,0.094949475543504733,0.07200116933399138,1,-17.791418741240022,-0.88988857606122462,1.3667181993414275,9.9226241960966259,3.1322625001532125,198442.56129773642,
