Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,840.483,0,840.483,19997,454,0,0,0,0,0,0,0,0,0,0,0,
1,840.04774543708663,0.050582432186401773,840.09832786927302,19997,454,-0.00066444581325092737,-7.5222591785046103e-05,0.00011660790989101498,2.6257238859819467e-08,0.00034144093592864316,-0.00066444581325092737,-7.5222591785046103e-05,0.00011660790989101498,2.6257238859819467e-08,0.00034144093592864316,0.00052511851995752949,
2,839.69678624702397,0.11216320787886037,839.80894945490286,19997,454,-0.00044784694811788786,-8.0861785776355723e-05,0.00010654975349321961,1.9476676794677112e-08,0.00016167521961287645,-0.0011011294899857414,-0.0001560843775614023,0.0002192327262374087,8.8090495286068436e-08,0.00048239191304895901,0.0017617218152260826,
3,839.39043526062937,0.17150353280669614,839.56193879343607,19997,454,-0.00038454629288764652,-8.4903056611026099e-05,0.00010232847644995138,1.681392408190086e-08,9.7232730183344459e-05,-0.0014591718525286635,-0.00024098743417242833,0.00031587486306270312,1.7759039107309876e-07,0.00056959147423250086,0.0035516302310709021,
4,839.1133989830912,0.22758765934729905,839.34098664243845,19997,454,-0.00034831284871268296,-8.7937995661460338e-05,0.00010052799379369462,1.5269511534000579e-08,8.5540599946376051e-05,-0.0017732061927126183,-0.00032892542983388928,0.00041026576993082758,2.9130776984472959e-07,0.00062560059142583813,0.0058258640891247467,
5,838.85768962479005,0.28041572894520012,839.13810535373523,19997,454,-0.00031673437164580798,-9.0282426756040161e-05,9.9657463425670083e-05,1.424411752972221e-08,8.0111163312342998e-05,-0.0020567260628495416,-0.00041920785658992757,0.00050383386795328203,4.2725037246261053e-07,0.00065897575769087468,0.0085445801988797473,
6,838.6184471525944,0.33010449077027176,838.94855164336468,19997,454,-0.00029102465280688821,-9.2140463529206292e-05,9.9286142169608007e-05,1.3515130883871976e-08,7.1686752226967474e-05,-0.0023167761597368457,-0.00051134832011913791,0.00059748689018350931,5.8415897193706343e-07,0.00067641523367109038,0.011682595279769331,
7,838.39242578297581,0.37677242246885523,838.7691982054447,19997,454,-0.00026884954498094344,-9.3644938647760822e-05,9.9181608763180312e-05,1.2975390752437377e-08,6.0378812734941172e-05,-0.0025677960049502353,-0.00060499325876689697,0.00069114411642916013,7.6121268690825763e-07,0.00068169136952024166,0.015223492525478244,
8,838.17731307475401,0.4205407160045731,838.59785379075856,19997,454,-0.00024978775081115881,-9.4884946811220282e-05,9.9179405056437888e-05,1.2564489867621692e-08,4.8120347884166976e-05,-0.0028060125374726641,-0.0006998782055781151,0.00078464685352627609,9.5787579139116186e-07,0.00067711242005475455,0.019156557952031847,
9,837.97138178456271,0.46154208581336481,838.43292387037604,19997,454,-0.0002333675605098009,-9.5921738592782982e-05,9.917352504759822e-05,1.2244752931095362e-08,4.5456751795056913e-05,-0.0030290089066443097,-0.00079579994417089677,0.00087818713819943638,1.1738036197539686e-06,0.00068404231930446779,0.023474898591459618,
10,837.77329456769598,0.49992155046730641,838.2732161181633,19997,454,-0.00022005974125962265,-9.6799024850418618e-05,9.9148874950927119e-05,1.199139555609662e-08,4.2106169988076342e-05,-0.0032388551000139655,-0.00089259896902131749,0.000971910166306877,1.4087822959255709e-06,0.00069553018763293911,0.028174237136215492,
11,837.58198783203102,0.53583294660750214,838.11782077863847,19997,454,-0.00020824569344312017,-9.754849311116576e-05,9.9128471647032143e-05,1.1787371633475155e-08,3.7919967482655995e-05,-0.003437255961421339,-0.00099014746213248357,0.0010659940111283823,1.6626866630711438e-06,0.00070143291956207307,0.033252070574759804,
12,837.39659734704423,0.56943374801945168,837.96603109506373,19997,454,-0.00019764700046206649,-9.8193907435869759e-05,9.9165526247797323e-05,1.1620750795974185e-08,3.3164307505624808e-05,-0.0036256413879727262,-0.0010883413695683564,0.0011604276480313683,1.9354527663994047e-06,0.00070502558418755734,0.038707119875221699,
13,837.21640961617072,0.60088042115641804,837.8172900373271,19997,454,-0.00018830477403070171,-9.875321621330752e-05,9.9293210196732551e-05,1.1482921907648311e-08,2.8041205984629837e-05,-0.0038052276935282691,-0.0011870945857816615,0.0012552990286668186,2.2270574469727312e-06,0.00070225749481229571,0.04453892188200765,
14,837.04082709583395,0.63032442730177729,837.67115152313568,19997,454,-0.00018001999908235955,-9.9240720797177497e-05,9.951285414545912e-05,1.1367723650354918e-08,2.2693252320856101e-05,-0.0039770573654172641,-0.0012863353065788389,0.001350555232611372,2.5375071598122289e-06,0.00069350654030881308,0.050747605689084763,
15,836.86934471666996,0.65790993349138294,837.52725465016135,19997,454,-0.0001725546256810269,-9.9667381078747232e-05,9.977986816275613e-05,1.1270476291159088e-08,1.7249858501192929e-05,-0.004142035398482645,-0.0013860026876575851,0.001445915118895259,2.8668265910144269e-06,0.0006791319761526969,0.057333664993697527,
16,836.70153253010994,0.68377160335294351,837.38530413346291,19997,454,-0.00016597885686340022,-0.00010004185675986454,0.00010007262714525527,1.1187636011041692e-08,1.1786968240425979e-05,-0.0043009478502986243,-0.0014860445444174518,0.0015412277698418819,3.2150520448470698e-06,0.00065947405526226802,0.064297825844896545,
17,836.53702029151918,0.70803481780371202,837.24505510932295,19997,454,-0.00016011410123475256,-0.00010037157129845749,0.00010037780096103065,1.1116602195514727e-08,6.3687269624261506e-06,-0.0044544798891711888,-0.0015864161157159063,0.0016364840293562081,3.5822294872504504e-06,0.000634854246451946,0.071641007515521757,
18,836.37548841418675,0.73081477069945522,837.1063031848862,19997,454,-0.00015497757792184698,-0.00010066236065482814,0.0001006624650769636,1.1055273757770759e-08,1.0440647213424149e-06,-0.004603231238301515,-0.0016870784763707335,0.0017317054265936658,3.9684093455123019e-06,0.00060602139229174476,0.07936421850090053,
19,836.21665896599757,0.7522172150126587,836.96887618101027,19997,454,-0.00015033049425818425,-0.00010091910721025759,0.00010091910721025759,1.1002009814496487e-08,-4.1514035444956472e-06,-0.0047477280968071175,-0.0017879975835809951,0.0018270690606638101,4.3736450681061615e-06,0.00058365944813913945,0.087468527717055128,
20,836.06028926428621,0.77233866309850985,836.83262792738469,19997,454,-0.00014617054386006827,-0.00010114593689297238,0.00010114593689297238,1.0955507807661857e-08,-9.1937477872786844e-06,-0.0048884301831646068,-0.0018891435204739632,0.0019226025586217719,4.7979918866322297e-06,0.00055672896448073447,0.095955039740757961,
21,835.90616623759661,0.79126754516728781,836.69743378276394,19997,454,-0.00014244835329533913,-0.00010134620988694366,0.00010134620988694366,1.0914678219286666e-08,-1.4057188266065689e-05,-0.0050257434721734488,-0.0019904897303609074,0.0020184849297764772,5.2415046626752834e-06,0.00052547182175415258,0.104824851748843,
22,835.75410187138982,0.80908458379300829,836.56318645518286,19997,454,-0.00013910489948207476,-0.00010152298700223464,0.00010152298700223464,1.0878673839667959e-08,-1.874577879522892e-05,-0.005160024423132778,-0.002092012717363144,0.0021147988892389132,5.704238595908696e-06,0.00049012154136567803,0.11407906767957801,
23,835.60393023348911,0.82586315021451895,836.42979338370367,19997,454,-0.00013610071598157486,-0.00010167873818124191,0.00010167873818124191,1.0846759356201239e-08,-2.3241033082520671e-05,-0.0052915877147385777,-0.0021936914555443893,0.0022116698940066325,6.1862475559400261e-06,0.0004543575381003482,0.12371876487124459,
24,835.4555039208401,0.84167066018625292,836.29717458102641,19997,454,-0.00013343009780690724,-0.00010181552740195998,0.00010181552740195998,1.0818296890136053e-08,-2.7540966279545413e-05,-0.0054207096304742866,-0.0022955069829463399,0.0023091897398830794,6.6875831703559079e-06,0.00042461811183568978,0.13374497582394781,
25,835.30869134316663,0.85656894623617719,836.1652602894028,19997,454,-0.00013096803171454123,-0.0001019353310256729,0.0001019353310256729,1.0792794970681794e-08,-3.1644904101804013e-05,-0.0055476347995204889,-0.0023974423139720242,0.0024073887209156786,7.2082958578841218e-06,0.0003908868425876249,0.14415870886182455,
26,835.16337516270232,0.87061448314384005,836.03398964584619,19997,454,-0.00012881657892522468,-0.00010203978219408677,0.00010203978219408677,1.0769809986449738e-08,-3.5554519140698439e-05,-0.0056725775653350061,-0.0024994820961661036,0.0025062581516171506,7.7484338172230309e-06,0.00035335409631973458,0.15496092791064339,
27,835.01945034946539,0.88385928785107237,835.90330963731651,19997,454,-0.00012682722566436722,-0.00010213020273138859,0.00010213020273138859,1.0748937847974761e-08,-3.927311556581768e-05,-0.0057957300428522988,-0.0026016122988974867,0.0026058552225254367,8.3080419468213207e-06,0.00031220638176859833,0.16615253089447959,
28,834.87682207939997,0.89635147676161742,835.77317355616162,19997,454,-0.00012525765200937608,-0.00010220798435169886,0.00010220798435169886,1.0729885078101823e-08,-4.2805099665312496e-05,-0.0059172599476294907,-0.0027038202832491928,0.0027061867401094769,8.8871636315254909e-06,0.00026762663544624193,0.17773438546687828,
29,834.73540515376476,0.90813544139143565,835.6435405951562,19997,454,-0.00012381059107036675,-0.00010227415791244833,0.00010227415791244833,1.0712347594540901e-08,-4.6156219760596375e-05,-0.0060373178343958427,-0.0028060944411616375,0.0028073383714447933,9.4858385618372644e-06,0.00021979174531600333,0.18970728539818346,
30,834.59512222049534,0.91925241836308247,835.51437463885838,19997,454,-0.00012246109611586777,-0.00010232979593734354,0.00010232979593734354,1.0696103096556897e-08,-4.9332255993808001e-05,-0.0061560359288487946,-0.0029084242370989847,0.0029089662075633426,1.0104104537169103e-05,0.00016887233335067893,0.20207198663884487,
31,834.45590340729882,0.92974070528420394,835.38564411258301,19997,454,-0.00012120369113086169,-0.00010237566222358578,0.00010237566222358578,1.0680912711631208e-08,-5.2339660860601148e-05,-0.0062735315057792099,-0.0030107998993225671,0.0030109980657139061,1.0741995369809024e-05,0.00011503278705308744,0.21482916540081068,
32,834.31768500220596,0.93963614974411136,835.25732115195012,19997,454,-0.00012003135648259918,-0.00010241252473384315,0.00010241252473384315,1.0666588490341242e-08,-5.5185252008800222e-05,-0.006389910092111763,-0.0031132124240564121,0.0031132660679882842,1.1399541756449054e-05,5.8430934174778021e-05,0.22797943558722464,
33,834.18040896454386,0.94897189678126148,835.1293808613251,19997,454,-0.00011893758641965031,-0.00010244134672947401,0.00010244134672947401,1.0653027396189238e-08,-5.7875801017297885e-05,-0.0065052643634478016,-0.0032156537707858867,0.0032156537707858867,1.2076773437316547e-05,-7.823138498396653e-07,0.2415233919728936,
34,834.04402233725591,0.95777923642008345,835.00180157367595,19997,454,-0.0001179100614894498,-0.00010246251821179518,0.00010246251821179518,1.0640036275004762e-08,-6.0418206510357219e-05,-0.0066196786108667837,-0.0033181162889976694,0.0033181162889976694,1.2773715036738857e-05,-6.2462471417171358e-05,0.2554615270197404,
35,833.90847658493976,0.96608728802757815,834.87456387296731,19997,454,-0.00011695245128430507,-0.00010247680062435137,0.00010247680062435137,1.0627536337913822e-08,-6.2819271819144866e-05,-0.0067332284145053978,-0.0034205930896220355,0.0034205930896220355,1.3490389683888207e-05,-0.00012647202270350702,0.26979430328808024,
36,833.77372718239144,0.97392354671417647,834.74765072910566,19997,454,-0.00011605270696509717,-0.00010248459338518348,0.00010248459338518348,1.0615395790482132e-08,-6.5085747788596728e-05,-0.0068459800243228482,-0.0035230776830072314,0.0035230776830072314,1.4226816492214379e-05,-0.0001926800173903324,0.28452210302779535,
37,833.63973342931308,0.98131368270136643,834.62104711201448,19997,454,-0.00011521230711710159,-0.00010248637987197445,0.00010248637987197445,1.0603528471799476e-08,-6.7224166752388189e-05,-0.0069579935020061164,-0.0036255640628791905,0.0036255640628791905,1.4983011636467115e-05,-0.00026096185496579568,0.29964524971770584,
38,833.50645748478769,0.98828205392790891,834.49473953871563,19997,454,-0.00011442126966832196,-0.000102482669400685,0.000102482669400685,1.0591873021686956e-08,-6.9240962387724222e-05,-0.0070693228531740317,-0.0037280467322798839,0.0037280467322798839,1.575898908790992e-05,-0.00033119920665942309,0.31516402276911049,
39,833.37386486251216,0.99485137731456752,834.36871623982677,19997,454,-0.0001136758273887082,-0.00010247378629367402,0.00010247378629367402,1.0580348524471225e-08,-7.1142226359867229e-05,-0.0071800165773154741,-0.0038305205185735422,0.0038305205185735422,1.6554759084457608e-05,-0.00040327976221594285,0.33107862693006773,
40,833.24192364646979,1.0010430371866095,834.24296668365639,19997,454,-0.00011297403333558778,-0.00010246012207919467,0.00010246012207919467,1.0568904017402207e-08,-7.2933814724678023e-05,-0.0072901195396913579,-0.0039329806406527565,0.0039329806406527565,1.7370329258879054e-05,-0.00047708500537934159,0.34738921484832219,
41,833.11060381616971,1.0068777045749708,834.11748152074472,19997,454,-0.00011231257682395308,-0.00010244199850055854,0.00010244199850055854,1.0557491340328404e-08,-7.4621502970300774e-05,-0.0073996708741301863,-0.0040354226391532922,0.0040354226391532922,1.8205704922021775e-05,-0.00055241093938896888,0.36409589273551346,
42,832.97987804925106,1.0123744435921422,833.99225249284325,19997,454,-0.00011169465459418786,-0.00010241971603937808,0.00010241971603937808,1.054606873339899e-08,-7.6211363261087246e-05,-0.0075087073000975734,-0.0041378423551926826,0.0041378423551926826,1.9060888345595165e-05,-0.00062928389523990696,0.38119870602355771,
43,832.8497207508783,1.0175514356281175,833.8672721865064,19997,454,-0.0001112863398328303,-0.00010239360654011966,0.00010239360654011966,1.0534612422442001e-08,-7.7707446133758523e-05,-0.0076172615883307489,-0.0042402359617328073,0.0042402359617328073,1.9935879593411611e-05,-0.00070761306966710407,0.39869765598863882,
44,832.72010816705938,1.0224258284692516,833.74253399552867,19997,454,-0.000110941732476939,-0.00010236393054351989,0.00010236393054351989,1.0523094934071898e-08,-7.9115369097404405e-05,-0.007725362887692256,-0.0043425998922763404,0.0043425998922763404,2.0830676258286171e-05,-0.00078684888434748742,0.41659269448946512,
45,832.59101819401803,1.0270138782602944,833.61803207227831,19997,454,-0.00011059910046314398,-0.00010233091262495082,0.00010233091262495082,1.0511488614002283e-08,-8.0439741868010796e-05,-0.0078330381684007452,-0.0044449308049012938,0.0044449308049012938,2.1745273362966933e-05,-0.00086728862621549821,0.43488372198597569,
46,832.46243041229241,1.0313309165254507,833.49376132881787,19997,454,-0.0001102595214326348,-0.00010229468222985153,0.00010229468222985153,1.0499756836181181e-08,-8.1685206134959093e-05,-0.0079403128328906485,-0.0045472254871311195,0.0045472254871311195,2.2679662896346811e-05,-0.00094897383235045731,0.45357057826403985,
47,832.33432549578743,1.0353916049137328,833.36971710070111,19997,454,-0.00010992396299475907,-0.00010225556476284249,0.00010225556476284249,1.048790820746614e-08,-8.2856103733321433e-05,-0.0080472096654933094,-0.0046494810518939592,0.0046494810518939592,2.3633835449056949e-05,-0.0010318299360837788,0.47265307514568994,
48,832.20668565694473,1.0392096788188065,833.24589533576352,19997,454,-0.00010959309583605892,-0.00010221364605116311,0.00010221364605116311,1.0475910197945019e-08,-8.3956530797662233e-05,-0.0081537487179548038,-0.0047516946979451182,0.0047516946979451182,2.4607778486948387e-05,-0.001115786466881441,0.49213096196048078,
49,832.07949429788937,1.0427979258822035,833.12229222377152,19997,454,-0.00010926737530983247,-0.00010216928837009719,0.00010216928837009719,1.0463791675753659e-08,-8.4990345990496532e-05,-0.0082599496393666108,-0.0048538639863152256,0.0048538639863152256,2.5601479317151875e-05,-0.0012007768128719375,0.51200398486372034,
50,831.95273555476842,1.0461689476508089,832.99890450241924,19997,454,-0.00010894735335956608,-0.00010212250525128045,0.00010212250525128045,1.0451514953831898e-08,-8.5961215747672155e-05,-0.0083658296772965331,-0.0049559864915665192,0.0049559864915665192,2.6614921792018221e-05,-0.0012867380286196097,0.53227182091857239,
51,831.82639492726685,1.0493343949246823,832.87572932219155,19997,454,-0.00010863337826078828,-0.00010207339486517065,0.00010207339486517065,1.0439064413000562e-08,-8.6872616483591678e-05,-0.0084714048465456201,-0.0050580598864316886,0.0050580598864316886,2.7648087157731939e-05,-0.0013736106451032013,0.55293409506748104,
52,831.70045873914182,1.0523052431894777,832.75276398233132,19997,454,-0.00010832588590175486,-0.00010202224465058788,0.00010202224465058788,1.0426467332771528e-08,-8.7727860775313761e-05,-0.0085766900399007733,-0.0051600821310822829,0.0051600821310822829,2.8700956397934505e-05,-0.001461338505878515,0.57399042700229219,
53,831.57491406783402,1.0550921539512415,832.63000622178527,19997,454,-0.00010802476625075403,-0.00010196903803036144,0.00010196903803036144,1.0413691621310084e-08,-8.8530079978240266e-05,-0.0086816986567051016,-0.005262051169112626,0.005262051169112626,2.9773507295229242e-05,-0.0015498685858567553,0.59544037239728964,
54,831.44974894421352,1.0577050129614418,832.50745395717502,19997,454,-0.00010773027917920357,-0.00010191397098905271,0.00010191397098905271,1.0400752365271191e-08,-8.9282215102763878e-05,-0.0087864431789309843,-0.0053639651401016595,0.0053639651401016595,3.086571656506838e-05,-0.0016391508009595192,0.61728346558480252,
55,831.32495187837571,1.0601532033366712,832.38510508171237,19997,454,-0.00010744250922673809,-0.00010185734870626093,0.00010185734870626093,1.0387689815594701e-08,-8.9987056422425316e-05,-0.0088909357813633169,-0.0054658224888079338,0.0054658224888079338,3.1977561585825371e-05,-0.0017291378573819445,0.63951925415492161,
56,831.20051221331391,1.0624458004765558,832.26295801379047,19997,454,-0.00010716150505803372,-0.00010179897657416793,0.00010179897657416793,1.0374444247350527e-08,-9.0647223674432208e-05,-0.0089951875690367881,-0.0055676214653820966,0.0055676214653820966,3.3109014988704184e-05,-0.0018197850810563767,0.66214719075909501,
57,831.07641988499358,1.0645911910706254,832.14101107606416,19997,454,-0.00010688724637003396,-0.00010173916240308911,0.00010173916240308911,1.0361060268117634e-08,-9.1264680714750368e-05,-0.009099207923037457,-0.0056693606277851997,0.0056693606277851997,3.4260049988651572e-05,-0.001911049761771127,0.68516673972304276,
58,830.95266561317794,1.0665972753315214,832.0192628885095,19997,454,-0.00010667562375515895,-0.00010167795311411208,0.00010167795311411208,1.0347532894522484e-08,-9.1842709958670946e-05,-0.0092030066025870823,-0.0057710385808993079,0.0057710385808993079,3.543063841187304e-05,-0.0020028924717297981,0.70857733759904895,
59,830.82924051999726,1.0684716586056393,831.89771217860289,19997,454,-0.00010656478489414487,-0.00010161540532893567,0.00010161540532893567,1.033385811621757e-08,-9.2383458559358982e-05,-0.0093065924067279367,-0.0058726539862282608,0.0058726539862282608,3.6620749873917442e-05,-0.0020952759302891571,0.73237837672847494,
60,830.7061363720818,1.0702214781664243,831.77635785024825,19997,454,-0.00010644556025702739,-0.00010155154338150889,0.00010155154338150889,1.0320030018766862e-08,-9.2888967305923697e-05,-0.0094099733445350102,-0.0059742055296097777,0.0059742055296097777,3.7830352717081246e-05,-0.002188164897595081,0.7565692239889078,
61,830.58334537151381,1.0718534286858665,831.65519880019963,19997,454,-0.00010631900366732558,-0.00010148656444365407,0.00010148656444365407,1.0306076153973562e-08,-9.3362792899418125e-05,-0.009513156719431615,-0.0060756920940533976,0.0060756920940533976,3.905941481129315e-05,-0.002281527690494499,0.78114923681105175,
62,830.46085995444105,1.0733740329505113,831.53423398739153,19997,454,-0.00010618603125241587,-0.00010142049964946823,0.00010142049964946823,1.029199480669882e-08,-9.3803008393061849e-05,-0.0096161496155917625,-0.0061771125937028805,0.0061771125937028805,4.0307903488113526e-05,-0.0023753306988875608,0.80611776185878237,
63,830.33867323243521,1.0747893999943008,831.41346263242951,19997,454,-0.00010604757365993554,-0.00010135335181811607,0.00010135335181811607,1.0277776513397531e-08,-9.4213571192952272e-05,-0.009718958339060774,-0.0062784659455209944,0.0062784659455209944,4.157578349199518e-05,-0.0024695442700805132,0.83147409405641159,
64,830.21677860223963,1.0761052781246212,831.29288388036423,19997,454,-0.00010590447569192248,-0.00010128524746607747,0.00010128524746607747,1.026344002560066e-08,-9.4596190889216611e-05,-0.0098215893767236665,-0.006379751192987072,0.006379751192987072,4.2863019861390262e-05,-0.0025641404609697297,0.85721753420794389,
65,830.09516982843911,1.0773271356161451,831.17249696405531,19997,454,-0.00010575745030991735,-0.00010121624792902447,0.00010121624792902447,1.024899035930431e-08,-9.4952427225974902e-05,-0.0099240480973383262,-0.0064809674409160899,0.0064809674409160899,4.4169576427792302e-05,-0.0026590928881957045,0.8833473589794183,
66,829.97384107123594,1.0784600586707438,831.05230112990671,19997,454,-0.00010560714258673098,-0.00010114642206069706,0.00010114642206069706,1.0234435990610727e-08,-9.5283694477769389e-05,-0.0100263401691687,-0.0065821138629767947,0.0065821138629767947,4.5495416719200695e-05,-0.0027543765826734739,0.9098628389672947,
67,829.85278671049423,1.0795090781212748,830.93229578861553,19997,454,-0.00010545414060050233,-0.00010107578055962844,0.00010107578055962844,1.0219772990001857e-08,-9.5591503042708861e-05,-0.010128470473069168,-0.0066831896435364307,0.0066831896435364307,4.6840502589383169e-05,-0.0028499680857161829,0.936763211285074,
68,829.73200160201282,1.0804785987050878,830.81248020071791,19997,454,-0.00010529898099462908,-0.00010100441990730307,0.00010100441990730307,1.0205016929426469e-08,-9.5877081017974817e-05,-0.010230443665993804,-0.0067841940634437306,0.0067841940634437306,4.8204796303319604e-05,-0.0029458451667341576,0.96404772127008875,
69,829.61148069760702,1.0813731727830249,830.69285387039008,19997,454,-0.00010514215079272515,-0.00010093239777695959,0.00010093239777695959,1.0190173995338486e-08,-9.6141710235914473e-05,-0.010332263962072182,-0.0068851264612206911,0.0068851264612206911,4.9588258561407264e-05,-0.0030419868769700721,0.99171558296958384,
70,829.4912193552027,1.0821967976952291,830.57341615289795,19997,454,-0.00010498406842206201,-0.00010085970210847885,0.00010085970210847885,1.0175239291598994e-08,-9.6386654536745559e-05,-0.01043393584684368,-0.0069859861633291562,0.0069859861633291562,5.0990850194209615e-05,-0.0031383735315068176,1.0197660130339981,
71,829.37121314972978,1.0829535433890036,830.45416669311874,19997,454,-0.00010482509850094091,-0.00010078633958196028,0.00010078633958196028,1.0160209756621451e-08,-9.6613011856772445e-05,-0.0105354628457513,-0.0070867725029111284,0.0070867725029111284,5.2412529492591536e-05,-0.0032349865433635898,1.0481981773223381,
72,829.2514578514581,1.0836469302096223,830.33510478166772,19997,454,-0.0001046656717964567,-0.00010071252481919053,0.00010071252481919053,1.0145126591353186e-08,-9.6821818343109233e-05,-0.010636848182049718,-0.0071874850277303046,0.0071874850277303046,5.3853257938634028e-05,-0.0033318083617066992,1.0770113055147419,
73,829.13194964255194,1.0842805953108599,830.21623023786276,19997,454,-0.00010450608058339211,-0.00010063800839836026,0.00010063800839836026,1.0129936039169768e-08,-9.7012491255425769e-05,-0.010738096293374353,-0.007288123036128677,0.007288123036128677,5.5312991127337511e-05,-0.003428822430988015,1.106204509555623,
74,829.01268453329203,1.0848576527190308,830.09754218601108,19997,454,-0.00010434660334887198,-0.00010056327153630618,0.00010056327153630618,1.0114733742290897e-08,-9.7186477623133238e-05,-0.010839209188646731,-0.0073886863076649614,0.0073886863076649614,5.6791692112898343e-05,-0.0035260131485285789,1.135777050565854,
75,828.89365914828545,1.0853814679155098,829.9790406162009,19997,454,-0.00010418748447729624,-0.00010048777101986742,0.00010048777101986742,1.0099406999478793e-08,-9.7345889202145723e-05,-0.010940190903706411,-0.0074891740786848177,0.0074891740786848177,5.8289313627717211e-05,-0.0036233657562012322,1.1657279832407166,
76,828.77487000101792,1.0858547423761744,829.86072474339414,19997,454,-0.00010402893465031156,-0.00010041208850554985,0.00010041208850554985,1.0084072137470682e-08,-9.7491574424101742e-05,-0.011041043539806181,-0.0075895861671904158,0.0075895861671904158,5.98058174722437e-05,-0.0037208663472274158,1.1960565436274018,
77,828.65631390115254,1.0862805942634557,829.74259449541603,19997,454,-0.0001038711441952239,-0.00010033577984629666,0.00010033577984629666,1.0068637339200267e-08,-9.7624301808895623e-05,-0.011141770611459559,-0.0076899219470366815,0.0076899219470366815,6.1341156680501033e-05,-0.0038185018117743341,1.22676179245334,
78,828.53798792258135,1.0866611393521139,829.6246490619335,19997,454,-0.00010371427140395187,-0.00010025938774127976,0.00010025938774127976,1.0053211109592144e-08,-9.774481550206081e-05,-0.011242372944672599,-0.0077901813347780301,0.0077901813347780301,6.2895293342770078e-05,-0.003916259790904866,1.2578429715620587,
79,828.41988903922402,1.086999511122144,829.50688855034616,19997,454,-0.0001035584757725281,-0.00010018229890275984,0.00010018229890275984,1.0037667880409614e-08,-9.7853817183555538e-05,-0.011342854744961687,-0.0078903636336807442,0.0078903636336807442,6.4468177602033063e-05,-0.0040141286315906848,1.2892990838630591,
80,828.30201452788287,1.0872974330339862,829.38931196091687,19997,454,-0.00010340387637465558,-0.00010010530045178071,0.00010010530045178071,1.0022165625696353e-08,-9.7951966139793315e-05,-0.011443217811309145,-0.007990468934132508,0.007990468934132508,6.6059773202105422e-05,-0.0041120973467801535,1.3211294042689063,
81,828.18436169616007,1.0875578014965128,829.27191949765654,19997,454,-0.00010325059098319996,-0.00010002762129517245,0.00010002762129517245,1.0006547768439863e-08,-9.8039868632028652e-05,-0.011543463909311673,-0.0080904965554276977,0.0080904965554276977,6.7670029192130342e-05,-0.0042101555772690097,1.3533329138134147,
82,828.06692816161558,1.0877821087016799,829.15471027031731,19997,454,-0.0001030985000000896,-9.9950011330936735e-05,9.9950011330936735e-05,9.9909644070543966e-09,-9.8117377600608668e-05,-0.011643595252674272,-0.0081904465667586145,0.0081904465667586145,6.9298907701738615e-05,-0.0043082935662442931,1.3859088551270706,
83,827.94971150936567,1.0879729103485414,829.0376844197142,19997,454,-0.00010294801512596948,-9.9871801070758602e-05,9.9871801070758602e-05,9.9752801128594093e-09,-9.8185829775424081e-05,-0.011743613614752605,-0.0082903183678293777,0.0082903183678293777,7.0946357869239689e-05,-0.0044065021336601425,1.4188562110269245,
84,827.83270960455252,1.0881315556977769,828.92084116025035,19997,454,-0.00010279910230119752,-9.9793653192579518e-05,9.9793653192579518e-05,9.9596272663083296e-09,-9.8245749421964324e-05,-0.011843520572480134,-0.0083901120210219809,0.0083901120210219809,7.2612340833517851e-05,-0.0045047726048653147,1.4521742043295236,
85,827.7159201861366,1.0882603599763379,828.80418054611289,19997,454,-0.00010265180069152215,-9.9715011973603996e-05,9.9715011973603996e-05,9.9438935886005384e-09,-9.8297616413703132e-05,-0.011943317969754026,-0.0084898270329955752,0.0084898270329955752,7.4296806194086473e-05,-0.0046030967957502713,1.4858618270755353,
86,827.59934136874108,1.0883604465351202,828.68770181527623,19997,454,-0.00010250614427258625,-9.9636431417020495e-05,9.9636431417020495e-05,9.9281898897559626e-09,-9.8341901059372013e-05,-0.012043007691410552,-0.0085894634644125833,0.0085894634644125833,7.5999714272049115e-05,-0.0047014669898442557,1.5199182857267102,
87,827.48297112053683,1.088433874463381,828.57140499500019,19997,454,-0.00010236215967973034,-9.9557449782060279e-05,9.9557449782060279e-05,9.9124228812733395e-09,-9.8379005489780222e-05,-0.01214259076456255,-0.0086890209141946458,0.0086890209141946458,7.7721015667895878e-05,-0.0047998758977946879,1.5543425923422496,
88,827.36680767735879,1.0884817987442774,828.45528947610308,19997,454,-0.00010221986294296146,-9.9478414985861103e-05,9.9478414985861103e-05,9.8966620781359247e-09,-9.8409448081150227e-05,-0.012242068675735157,-0.0087884993291805352,0.0087884993291805352,7.9460667746699868e-05,-0.0048983166824167011,1.5891338942662507,
