Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,892.935,0,892.935,19999,431,0,0,0,0,0,0,0,0,0,0,0,
1,805.16000103223826,10.135229552559867,815.29523058479811,19999,431,-0.098860283456010722,-0.014845414426275978,0.023365998185548659,0.00098613290232434981,0.067123871086270978,-0.098860283456010722,-0.014845414426275978,0.023365998185548659,0.00098613290232434981,0.067123871086270978,19.721671913584672,
2,757.38854102442099,10.200698959539023,767.58923998396006,19999,431,-0.065810130960263752,-0.013170951575336031,0.018293318143074746,0.00056304687951465023,0.027692017926685668,-0.15817212863870703,-0.028016366001612142,0.039811322659840956,0.0028375587461842242,0.091454761726379397,56.748337364938301,
3,722.70169145193029,9.293749360101959,731.99544081203226,19999,431,-0.057856255438293987,-0.010863558667626292,0.016060609177362194,0.00042210752787065373,0.027758950796903048,-0.2129549609746044,-0.038879924669238446,0.055247054148245406,0.0053204838809015418,0.10972759782895666,106.40435713414993,
4,696.07782313256541,8.5462926958111787,704.6241158283766,19999,431,-0.050629041935723623,-0.0089996139228267977,0.014245748651554559,0.00032526993521027483,0.027639990852161317,-0.26089507855597405,-0.04787953859206507,0.069185164233318566,0.008188348560641932,0.12647003756374042,163.758782864278,
5,675.06787396270818,7.97072635328575,683.0386003159939,19999,431,-0.044742530004018156,-0.0075042180690770965,0.012770800744472637,0.00025680168298882741,0.0273824640158646,-0.30343148548852106,-0.055383756661142293,0.081762798549187901,0.011272706544882841,0.14421290367624739,225.44285819111192,
6,658.12727016039696,7.5221704218260266,665.64944058222295,19999,431,-0.039922569947091813,-0.0062895644706461281,0.011560169443038665,0.00020698053241116629,0.027074320561753035,-0.34152624569699847,-0.061673321131788361,0.093179022084790925,0.014465789780025726,0.17126045101598783,289.3013298107345,
7,644.21667831331581,7.1667413854281685,651.38341969874398,19999,431,-0.035918303584287312,-0.0052919778155524006,0.010550137866157373,0.00016981099026749488,0.0267553068089494,-0.37590779689712578,-0.066965298947340879,0.10359700485288106,0.017698265797451741,0.19801575782493724,353.94761768323735,
8,632.61294440569998,6.8810623367371155,639.49400674243714,19999,431,-0.032546882326165087,-0.0044651396544650801,0.0097006198796319946,0.00014147530963174056,0.026427792479054333,-0.40714571707907637,-0.071430438601805951,0.11315507945441987,0.020925200113421145,0.22444355030399157,418.48307706830951,
9,622.7996883262623,6.6487463078315638,629.44843463409381,19999,431,-0.029674996512688567,-0.0037745853316379493,0.0089713918545664077,0.00011946324536649811,0.026073896682418544,-0.43569322668573079,-0.075205023933443846,0.1219629516965627,0.024117449746835991,0.2505174469864101,482.32487748697298,
10,614.39987340814844,6.4580100666479172,620.85788347479638,19999,431,-0.027203567580381432,-0.0031941373595000982,0.0083326285194531419,0.0001020775987296379,0.025700996880516434,-0.46191614779753515,-0.078399161292943886,0.13011960263789446,0.027256280559347028,0.27621844386692651,545.09835490638125,
11,607.13273900746151,6.3001779614415252,613.43291696890299,19999,431,-0.025057574104473429,-0.0027035603439872552,0.0077755085696643959,8.8142616219829081e-05,0.025315281954627521,-0.48611350618410465,-0.081102721636931233,0.13770376087383701,0.030329922746617922,0.30153372582155402,606.56812500961178,
12,600.78551562520954,6.1687282261607796,606.95424385137028,19999,431,-0.023193036792346772,-0.0022869763541572183,0.007285449986623155,7.682606597008199e-05,0.024921930199202923,-0.50853250064239308,-0.083389697991088349,0.14478197553874084,0.033331320867565857,0.32645565602075693,666.59308603044963,
13,595.19439726869098,6.058668603408325,601.25306587209934,19999,431,-0.021898034278293527,-0.0019317660117924567,0.0068464668434987481,6.7527422067136062e-05,0.024525235416738244,-0.52937956798883634,-0.085321464002880723,0.15141413720215852,0.036256637639794566,0.35098089143749517,725.09649615825151,
14,590.23146620322666,5.9661168472073189,596.19758305043399,19999,431,-0.0207383065343958,-0.0016277889487497168,0.0064520236422496765,5.9805758577440982e-05,0.024128708239812044,-0.54882868948118624,-0.086949252951630432,0.15764936080002728,0.039104243359621225,0.37510959967730723,782.04576294906485,
15,585.79553447117917,5.8880121695846626,591.68354664076378,19999,431,-0.019694476099012013,-0.0013668193267660539,0.006099098062827546,5.3332180283430793e-05,0.023735163903774271,-0.56702771489279746,-0.088316072278396815,0.16353020187268905,0.041874023984355066,0.39884476358108151,837.43860566311696,
16,581.80561617557521,5.8219125488050265,587.62752872438023,19999,431,-0.018750604622401194,-0.0011421294612916899,0.0057798089582226314,4.7857795554828848e-05,0.02334680214830865,-0.58410323965618971,-0.089458201739688312,0.16908769343068328,0.044566901766698169,0.42219156572939015,891.29346843219673,
17,578.19620011786458,5.7658494145388914,583.96204953240351,19999,431,-0.017893474098752391,-0.00094817761405944893,0.0054923503821943933,4.319175289528026e-05,0.022965281915709766,-0.60016441068071413,-0.090406379353747499,0.17435096198007649,0.047184499780780716,0.44515684764509994,943.64281111583352,
18,574.91377543903729,5.7182216296407384,580.63199706867806,19999,431,-0.017112039482893041,-0.00078037036503596409,0.0052314896987456149,3.91859231700249e-05,0.022591791900054177,-0.61530592839705534,-0.091186749718783558,0.17935135476173922,0.049728905181610425,0.46774863954515411,994.52837472702686,
19,571.91424313312643,5.6777168780343761,577.59196001116084,19999,431,-0.016397007113135926,-0.00063487923225551059,0.0049913661173505977,3.5724049290698116e-05,0.022227117145510979,-0.62961043841609843,-0.091821628951039139,0.18411359990123496,0.052202501035068412,0.48997575669066507,1043.9978182003331,
20,569.1609632308074,5.6432523538507509,574.8042155846581,19999,431,-0.015740506628474475,-0.00050849775053532877,0.0047696632548444844,3.271394924934018e-05,0.021871701375324008,-0.64315045441352414,-0.09233012670157445,0.18866156113854046,0.054607846358349442,0.51184745806598908,1092.1023193206304,
21,566.62326413319499,5.6139295160670066,572.23719364926205,19999,431,-0.015135833227651262,-0.00039852854881999676,0.0045652466973056067,3.0081836468141235e-05,0.021525704758782301,-0.65598991727050004,-0.092728655250394684,0.1930072162182134,0.056947590345524095,0.53337316282477143,1138.8948593201364,
22,564.27529245681455,5.5889990382502059,569.86429149506478,19999,431,-0.014577243351140617,-0.00030269350467574795,0.0043780576642886019,2.7768130927248229e-05,0.021189056691756622,-0.66818546922525113,-0.093031348755070339,0.1971635162019644,0.059224411090498703,0.55456221951652807,1184.4289973988837,
23,562.09511677983107,5.56783323459935,567.66295001443041,19999,431,-0.014059791429672029,-0.00021906208485312416,0.0042039618631446183,2.5724333022671186e-05,0.020861503384164433,-0.67978750274656408,-0.093250410839923401,0.2011411726034959,0.061440972008786461,0.57542372290069255,1228.7579992037204,
24,560.06402250967642,5.54990438023016,565.61392688990657,19999,431,-0.013579198416219799,-0.00014599223402250237,0.0040414711005330572,2.3910664911872655e-05,0.020542650317988624,-0.69084102984350748,-0.093396403073946005,0.2049545846641635,0.063599891092986263,0.59596637321868118,1271.9342219686323,
25,558.16595247935277,5.5347673056695497,563.70071978502233,19999,431,-0.013131745168878432,-8.2083535203852611e-05,0.0038895013082390281,2.2294272842425655e-05,0.020231999189162936,-0.701386407135829,-0.093478486609149702,0.20863017294556141,0.065703719560742432,0.61619837240784414,1314.0086874952879,
26,556.38705952377734,5.5220453462485537,561.90910487002589,19999,431,-0.012722363765373597,-2.6138199218934761e-05,0.0037470944994918826,2.0847844156813653e-05,0.019928980000570976,-0.71145994421296921,-0.093504624808368852,0.21219293737970898,0.067754927392954106,0.63612735240841511,1355.0307929316891,
27,554.71534582125503,5.5114189878784989,560.22676480913356,19999,431,-0.012416254073353164,2.2870995449351254e-05,0.0036133947869158118,1.9548533891417624e-05,0.019632978331776654,-0.72109441691680953,-0.093481753812919205,0.21563404015895557,0.069755893944314945,0.6557603307401918,1395.0481229923546,
28,553.14037030586962,5.5026164266189665,558.64298673248857,19999,431,-0.01212548088750267,6.5827010470992649e-05,0.0034878360046830489,1.8377124551640838e-05,0.019343358121749803,-0.73031950267422951,-0.09341592680244841,0.2189562797813559,0.071708902202333821,0.67510368886194161,1434.1063351444741,
29,551.65300918629066,5.495406135432801,557.14841532172341,19999,431,-0.01184882865190965,0.00010349071395421422,0.0033709096359194148,1.7317364322213061e-05,0.019059480702010686,-0.73916215154363696,-0.093312436088494224,0.22215652253448828,0.073616135888450576,0.6941631695639523,1472.249101633123,
