Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,840.483,0,840.483,19997,454,0,0,0,0,0,0,0,0,0,0,0,
1,408.63257532625857,0.0022368318856000493,408.6348121581442,19997,454,-0.79914793407657836,-0.021114149565315335,0.29755660643502191,0.14349014137444829,1,-0.79914793407657836,-0.021114149565315335,0.29755660643502191,0.14349014137444829,1,2869.6593373475916,
2,333.12791364903467,0.0047069426640212369,333.1326205916987,19997,454,-1,-0.045577555988992983,0.12162387614324839,0.028635921839415133,1,-1.7991479340765784,-0.066691705554308339,0.40362142657056227,0.26325234577816076,2,5264.7836632174367,
3,301.69362228208081,0.0074421208451575125,301.70106440292597,19997,454,-1,-0.02948646951226163,0.079681653622402274,0.016907402466925063,0.54849279117155925,-2.7991479340765784,-0.096178175066569851,0.46546974242753153,0.36259973375285465,2.5484927911715594,7251.6320753233404,
4,282.05711213623533,0.010945134086446748,282.06805727032179,19997,454,-1,-0.031098243543037411,0.068765892016276392,0.017609875505213469,0.24474360501355188,-3.7991479340765784,-0.12727641860960753,0.51683892450432378,0.47822330852713385,2.7932363961851112,9563.987947234149,
5,267.9063979558145,0.015603168448213247,267.92200112426269,19997,454,-1,-0.035157683316349476,0.065674583800227559,0.020704072876253091,0.20535030002098181,-4.7991479340765784,-0.162434101925957,0.56671202056998138,0.63029748087010806,2.9446989274414648,12605.319319921291,
6,256.94288500919208,0.021544752029110138,256.9644297612212,19997,454,-1,-0.03888339442390356,0.065345026290211092,0.024246183696738671,1,-5.7991479340765784,-0.2013174963498604,0.61719960675908747,0.82660501905158879,3.0489721996330594,16531.273776012724,
7,248.07077909470095,0.028349856008841028,248.0991289507098,19997,454,-1,-0.040711134119841244,0.066183371949390946,0.027568369333174192,1,-6.7991479340765784,-0.24202863046970136,0.66762658366242444,1.0548609058696325,3.1249122207109417,21096.16325648678,
8,240.68227194805374,0.034664888039187595,240.71693683609291,19997,454,-1,-0.039185068900217154,0.068619023047800168,0.032105543961106049,1,-7.5040055531411269,-0.28121369936991913,0.71531232465504457,1.272417120141268,3.1821946427585344,25447.069985705217,
9,234.40162007307637,0.041669784034991456,234.44328985711135,19997,454,-1,-0.040730832978186859,0.07114790745438411,0.036256519450777805,1,-7.7116537972730308,-0.32194453234810633,0.76375675238536733,1.5151391075200249,3.2264563488146827,30301.267011292977,
10,228.97619214113777,0.048548931840013798,229.02474107297778,19997,454,-1,-0.040320335712773332,0.075220360240413786,0.041844173523739168,1,-7.7808505077097569,-0.36226486806087999,0.81112006293224059,1.7599062118372717,3.2612640441286729,35196.364330533594,
11,224.22926759456735,0.056115006975094285,224.28538260154244,19997,454,-1,-0.041856461278109353,0.079271187801004173,0.047177606705140034,1,-8.0238218125417369,-0.4041213293389887,0.85953391362614839,2.0287349857246779,3.2890100807746303,40572.670979507835,
12,220.03146825329267,0.063755304241018232,220.0952235575337,19997,454,-1,-0.041462394679699054,0.082918646026602344,0.051669838497831945,1,-8.1022678012869473,-0.44558372401868923,0.90705304873589709,2.3060430025122378,3.3113690007300183,46118.554007242245,
13,216.28362320366986,0.070761975769295243,216.35438517943916,19997,454,-1,-0.039575719708358215,0.087676823323818404,0.057289856144239246,1,-8.1005048427962407,-0.48515944372704389,0.95232904100395743,2.5611200508870775,3.3295526777179623,51219.839897690661,
14,212.91465693372064,0.078099757925188432,212.99275669164584,19997,454,-1,-0.040295636916627152,0.092457703840804581,0.06300851472025594,1,-8.1022678012869473,-0.52545508064367241,0.99798855355233562,2.8332601261056438,3.3444591713799698,56662.369261986772,
15,209.8700781888767,0.084993673428811908,209.95507186230552,19997,454,-1,-0.039223969351443434,0.097708102127303881,0.069338754450150114,1,-8.1005048427962407,-0.5646790499951162,1.0422957340553041,3.0911413431486481,3.3567680325420066,61819.735721629811,
16,207.10518683343767,0.092280089849411162,207.1974669232871,19997,454,-1,-0.039787263375797965,0.10233333681098229,0.074502751059386849,1,-8.1288567329805872,-0.60446631337091461,1.0868978707418184,3.3689105852883663,3.3670027906559348,67374.842795182034,
17,204.58069680387447,0.099045994719031236,204.67974279859351,19997,454,-1,-0.038205466216679522,0.1070223770599808,0.079827440261711888,1,-8.6557851019478402,-0.64267177958759225,1.1296624332104832,3.6285030433122065,3.3755712623586409,72566.432363200816,
18,202.26651773799435,0.10616653497233754,202.37268427296669,19997,454,-1,-0.0386364722421359,0.11189915376407038,0.085332695587210086,1,-9.6557851019478402,-0.68130825182973009,1.1726007268317424,3.9042607205101429,3.3827936626414705,78081.31014948235,
19,200.13853451284612,0.11227158671777962,200.2508060995639,19997,454,-1,-0.035549529863639608,0.11725845789817695,0.091459730073878531,1,-10.072787052891362,-0.71685778169336722,1.2122548692304238,4.144650503868097,3.3889234558831793,82888.865426858072,
20,198.17064989185988,0.11927409970447111,198.28992399156436,19997,454,-1,-0.037204993709636404,0.12167672066880404,0.096515526246787456,1,-10.345252963406811,-0.7540627754030057,1.2533430438927531,4.4159793621408499,3.3941632002755568,88315.17126345486,
