Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,840.483,0,840.483,19997,454,0,0,0,0,0,0,0,0,0,0,0,
1,839.39610778744168,0.1357367682836422,839.53184455572534,19997,454,-0.0016620649348707294,-0.00018804567661999015,0.00029106330626014045,1.637881632770263e-07,0.0008530622073907564,-0.0016620649348707294,-0.00018804567661999015,0.00029106330626014045,1.637881632770263e-07,0.0008530622073907564,0.003275599477377249,
2,838.56575232664864,0.13585754107468057,838.70160986772328,19997,454,-0.00097991944889864861,-0.00020042357625452075,0.00025965311877147317,1.2793810986460951e-07,0.0003113455686206146,-0.0025979882586860889,-0.00038846925287451181,0.00052543606297775984,5.4258010708190718e-07,0.0010751758521187033,0.010851059561531061,
3,837.73809808824672,0.13570415290831891,837.87380224115509,19997,454,-0.00097851860893642694,-0.00020020134566845748,0.00025941280738102064,1.277319021525782e-07,0.00031120099789515993,-0.0035335983005778523,-0.00058867059854296694,0.00077611856002901373,1.1765531189088387e-06,0.0012970325176467955,0.023529885825057866,
4,836.91287513023349,0.13555354351968646,837.04842867375316,19997,454,-0.00097788035443177037,-0.00019996211155057534,0.00025915982051291962,1.2752155625584641e-07,0.00031105654198089922,-0.0044686855970602034,-0.0007886327100935412,0.0010310697028237609,2.065154942898419e-06,0.0015186971373485781,0.041301033703025479,
5,836.09007552382718,0.13540616453603935,836.22548168836317,19997,454,-0.00097724005386209652,-0.00019972307390769663,0.0002589069979419971,1.2731149815972754e-07,0.00031091213978552012,-0.0054032495631020378,-0.0009883557840012346,0.0012877069262364565,3.20775537803603e-06,0.0017401698957045756,0.064151899805342569,
6,835.26969180201377,0.13526201455318795,835.40495381656694,19997,454,-0.00097659952318413694,-0.00019948424821504242,0.00025865435400281353,1.2710173206728761e-07,0.00031076779138474863,-0.0063372900402153794,-0.0011878400322162831,0.0015450836418261535,4.6037250556517398e-06,0.0019614509223765714,0.092069897387979147,
7,834.45171652212321,0.13512109125893387,834.58683761338216,19997,454,-0.00097595876949150965,-0.00019924563440404676,0.00025840188873259897,1.2689225768691635e-07,0.00031062349691297924,-0.0072708068708892785,-0.001387085666620329,0.0018028364936793445,6.2524355661334442e-06,0.0021825403469760839,0.12504245888710275,
8,833.63614226486857,0.13498339234191528,833.77112565721052,19997,454,-0.00097531779355087926,-0.00019900723239131752,0.00025814960215481386,1.2668307472653338e-07,0.00031047925650403037,-0.0082239576210708688,-0.0015860928990116411,0.0020605967797092707,8.1532594584105904e-06,0.0024879500067196796,0.16305703590875339,
9,832.82296163423348,0.13484891549370701,832.95781054972724,19997,454,-0.00097467659610763781,-0.0001987690420933117,0.00025789749429255598,1.2647418289421347e-07,0.00031033507029106845,-0.009198160586380422,-0.0017848619411049587,0.0023182336504484098,1.0305570239165593e-05,0.0027982850770107478,0.20610109921307271,
10,832.01216725743348,0.13471765840881525,832.14688491584229,19997,454,-0.00097403517790856033,-0.00019853106342633106,0.00025764556516853917,1.262655818981627e-07,0.00031019093840661029,-0.010171722021975494,-0.0019833930045312902,0.0025756961098851398,1.2708742372044705e-05,0.0031084760154173581,0.25416213869852206,
11,831.20375178483323,0.1345896187846734,831.33834140361796,19997,454,-0.00097339353970080187,-0.00019829329630655505,0.00025739381480513392,1.2605727144674329e-07,0.00031004686098252531,-0.011144641708380375,-0.0021816863008378489,0.0028329472549335467,1.5362151276868331e-05,0.0034185228763998834,0.30722766338608976,
12,830.39770788983697,0.13446479432162989,830.53217268415858,19997,454,-0.00097275168223357595,-0.00019805574065004427,0.00025714224322433881,1.2584925124847319e-07,0.00030990283815003768,-0.01211691942686822,-0.002379742041487885,0.0030899813585757094,1.8265173328842302e-05,0.003728425714549921,0.36528520140351722,
13,829.59402826888208,0.13434318272294385,829.72837145160508,19997,454,-0.00097210960625647414,-0.00019781839637268806,0.000256890850447815,1.2564152101200496e-07,0.00030975887003972834,-0.013088554959462911,-0.002577560437860582,0.0033467969967803136,2.1417185857767241e-05,0.0040381845845896495,0.42832229996948706,
14,828.79270564131002,0.13422478169478133,828.92693042300482,19997,454,-0.00097146731252069796,-0.00019758126339028482,0.00025663963649683616,1.2543408044614396e-07,0.00030961495678153724,-0.014059548088940025,-0.0027751417012508626,0.0036033821927914378,2.4817567147250282e-05,0.0043477995413711869,0.49632652537785837,
15,827.99373274932191,0.13410958894620129,828.12784233826812,19997,454,-0.00097082480177794277,-0.00019734434161842917,0.00025638860325769171,1.2522692925982624e-07,0.00030947109850476491,-0.015029898598827463,-0.0029724860428692987,0.0038597331523056496,2.8465696433914362e-05,0.0046572706398759515,0.56928546298185334,
16,827.19710235789717,0.13399760218914869,827.33109996008636,19997,454,-0.00097018207478162663,-0.00019710763097264202,0.00025613778376452971,1.2502006716216909e-07,0.00030932729533807569,-0.015999606273407182,-0.0031695936738419337,0.0041158394890583845,3.2360953906608673e-05,0.0049665979352140274,0.64718671717826681,
17,826.40280725470939,0.13388881913846479,826.53669607384791,19997,454,-0.00096953913228577104,-0.00019687113136828576,0.00025588715568442732,1.2481349386238461e-07,0.00030918354740949895,-0.016968670897715924,-0.0033664648052102145,0.0043717034344583263,3.6502720705619069e-05,0.0052757814826235264,0.73001791139167571,
18,825.61084025009563,0.13378323751184149,825.74462348760744,19997,454,-0.00096889597504578749,-0.00019663484272060459,0.00025563676392567907,1.246072090698908e-07,0.00030903985484643121,-0.017937092257546153,-0.0035630996479308211,0.00462732468109782,4.0890378921877636e-05,0.0055848213374699576,0.81776668805863084,
19,824.82119417693229,0.13368085502986501,824.95487503196216,19997,454,-0.00096825260381825198,-0.00019639876494468198,0.00025538668574517898,1.2440121249421083e-07,0.0003088962177756388,-0.018904870139447673,-0.0037594984128755098,0.0048827061723029025,4.5523311596173063e-05,0.0058937175552455966,0.91042070861186508,
20,824.03386189059211,0.13358166941596333,824.16744356000811,19997,454,-0.00096760901936034246,-0.00019616289795547316,0.00025513748283120195,1.2419550384502088e-07,0.00030875263632325909,-0.0198720043307281,-0.003955661310830973,0.0051378398603935975,5.0400902718360199e-05,0.0062024701915688561,1.0079676534644857,
21,823.24883626887276,0.13348567839642392,823.38232194726913,19997,454,-0.00096696522243062966,-0.00019592724166784067,0.0002548896535073877,1.2399008283216865e-07,0.00030860911061480345,-0.020838494619454348,-0.00415158855249883,0.0053927258465080131,5.552253722657017e-05,0.0065110793021836595,1.1103952219941768,
22,822.46611021191916,0.13339287970038594,822.59950309161957,19997,454,-0.00096632121378884949,-0.00019569179599646084,0.00025464199994340109,1.2378494916562e-07,0.00030846564077515891,-0.021804340794453442,-0.0043472803484952737,0.0056473641589535554,6.088760100641977e-05,0.0068195449429588181,1.2176911325273889,
23,821.6856766421572,0.13330327105982079,821.81897991321705,19997,454,-0.00096567699419590318,-0.00019545656085591395,0.00025439452143148514,1.2358010255551594e-07,0.00030832222692859005,-0.022769542645313872,-0.0045427369093511954,0.0059017540665994997,6.6495480890220947e-05,0.0071278671698874084,1.3298431223235287,
