Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,840.483,0,840.483,19997,454,0,0,0,0,0,0,0,0,0,0,0,
1,455.75515727513391,10.649747794794658,466.40490506992859,19997,454,-0.65408183774974804,-0.067897764967452201,0.21904164023186787,0.068326245938211808,0.83482751936906907,-0.65408183774974804,-0.067897764967452201,0.21904164023186787,0.068326245938211808,0.83482751936906907,1366.4565925182978,
2,383.66579234848422,21.850901565088378,405.51669391357257,19997,454,-0.42727587702777647,-0.022119746367759759,0.092525214535718853,0.01339048122602453,0.29508367046235662,-1.0735813678205952,-0.090017511335211686,0.30278453402248767,0.13542252215517508,1.0460656350143824,2708.3150205813467,
3,355.21050008243077,29.575231561399523,384.78573164383027,19997,454,-0.23464963271840467,-0.0039242806029118364,0.049397272171471288,0.0037405748906571474,0.20164631982097808,-1.2357395139548293,-0.093941791938123645,0.34162756414392664,0.1739574008194226,1.1676952936715856,3478.9740589876324,
4,339.27727533807291,34.941024305431618,374.21829964350451,19997,454,-0.19538618966334145,-0.0007973027678187301,0.032176587034264924,0.0015949224932238469,0.15146934061297052,-1.3130131661895459,-0.094739094705942203,0.36421844592976232,0.19778062521759204,1.2449781257967327,3955.4147237266234,
5,328.9874028755529,38.839228284431407,367.82663115998429,19997,454,-0.145418646540038,-0.00064953711109385433,0.023508095857161668,0.00086716854459187949,0.1215142026617871,-1.3222660106674784,-0.095388631817036301,0.37975662189778997,0.2146289967713722,1.2937390539328231,4292.3653064306727,
6,321.803123346723,41.775130647839582,363.5782539945626,19997,454,-0.14316414058590754,-0.00076692327426791228,0.018264776396071991,0.00053021984092463306,0.10178681310076365,-1.3337736953322303,-0.096155555091304176,0.39143483129614742,0.22752040866652626,1.3514932357830474,4550.1806529218584,
7,316.52236549882213,44.049667219814715,360.57203271863682,19997,454,-0.14796609044585685,-0.00081378540611367733,0.014708378069418809,0.00034897089969916807,0.087743153456635206,-1.3483271625687179,-0.096969340497417858,0.4006182055736473,0.23783090414271763,1.4392363892396827,4756.3802519502096,
8,312.49326127771303,45.853300572078474,358.3465618497915,19997,454,-0.15111678631872993,-0.00080044069408982774,0.012151749570493836,0.00024221453280678077,0.077152494986059639,-1.3612286232018722,-0.097769781191507726,0.40811660438113134,0.24632308865050306,1.5163888842257423,4926.2154499214112,
9,309.33085532750681,47.311100002601229,356.64195533010803,19997,454,-0.15159304861064474,-0.00075453351168310511,0.010231407186594113,0.00017485412078754864,0.068826984324202228,-1.424426408273586,-0.09852431470319073,0.41438526923573954,0.25346820482830673,1.5852158685499445,5069.1106283613062,
10,306.79292615230844,48.507731827749062,355.30065798005751,19997,454,-0.14895238128165866,-0.00069374711157732386,0.0087444591416186677,0.00013013030762325779,0.062075853270464477,-1.5733787895552447,-0.099218061814767694,0.41971433552592613,0.25957795374171677,1.6472917218204088,5191.2994968805933,
11,304.71950924032626,49.502114996311796,354.22162423663804,19997,454,-0.14342984308621159,-0.00062837919731998629,0.0075631909687744166,9.9173507472019736e-05,0.056470931873758949,-1.7168086326414562,-0.099846441012088102,0.42429981705689224,0.26486917293356127,1.7037626536941677,5297.1185894982918,
12,303.00068454276334,50.336687222250745,353.3373717650141,19997,454,-0.13582325264613576,-0.00056415252968186472,0.0066083429469660981,7.7100916378174654e-05,0.051731364879360281,-1.852631885287592,-0.10041059354176994,0.42827612011913796,0.2694990922947812,1.7554940185735279,5389.7123468033287,
13,301.55841917724695,51.042853159938637,352.60127233718561,19997,454,-0.12708563908580442,-0.00050376707718537974,0.0058226256939815178,6.0935967734789457e-05,0.047664227508079748,-1.9797175243733964,-0.10091436061895533,0.43177066886695936,0.27358495806106908,1.8031582460816078,5471.4255762633202,
14,300.33571809031872,51.64437191902168,351.98009000934042,19997,454,-0.11804690961849976,-0.00044917817140673657,0.0051682570199617492,4.8857238220503345e-05,0.044131899950384967,-2.0977644339918964,-0.10136353879036199,0.43486475776517375,0.27721700128089999,1.8472901460319928,5544.0628086167189,
15,299.28993630202064,52.159552009306246,351.44948831132689,19997,454,-0.10929242128859201,-0.00040070670786637068,0.0046178012650617871,3.9715558048035281e-05,0.041033388473019884,-2.2070568552804883,-0.10176424549822864,0.43762246931195486,0.2804668160442107,1.8883235345050127,5609.0558540681695,
16,298.38851599440449,52.602813870672492,350.99132986507698,19997,454,-0.10113340914344224,-0.00035794219434073533,0.0041494625458071664,3.2697397854975672e-05,0.03829078483449954,-2.3081902644239305,-0.10212218769256902,0.44009554002050894,0.28339229422783019,1.9266143193395122,5667.5624922623756,
17,297.60620870877102,52.985731820761067,350.59194052953211,19997,454,-0.093701499474450556,-0.00032059473574939338,0.0037468208251982926,2.7248907628877902e-05,0.035845509312297928,-2.401891763898381,-0.10244278242831859,0.4423259776588776,0.28604051276065351,1.9624598286518102,5720.5242147003091,
18,296.92319138378224,53.317656590280158,350.24084797406238,19997,454,-0.087018327834022455,-0.00028723894501434444,0.0033974590583597344,2.2938688030969285e-05,0.033651147748604483,-2.4889100917324036,-0.10273002137333262,0.44434607124761588,0.28844909737529312,1.9961109764004148,5768.6934984084874,
19,296.32363836955398,53.606274396471171,349.92991276602515,19997,454,-0.081044541512059518,-0.00025782624439211197,0.0030930163468755965,1.9485586800448843e-05,0.031670554266277962,-2.5699546332444632,-0.10298784761772484,0.44618136004671255,0.29064947257869056,2.0277815306666929,5812.6988021012321,
20,295.79480466541412,53.857917135955155,349.6527218013693,19997,454,-0.075715754435349419,-0.0002320359516677286,0.0028256600468354641,1.6680326941076747e-05,0.029873781743382882,-2.6456703876798127,-0.10321988356939277,0.44785786752698437,0.29266763806538415,2.0576553124100756,5853.0600936696173,
21,295.32631355096368,54.077819922703327,349.404133473667,19997,454,-0.070960151104878758,-0.00020951398523338634,0.0025900655912955315,1.4392847575186297e-05,0.028236460223206656,-2.7166305387846914,-0.1034293975546261,0.44939334814175225,0.29452565479356579,2.0858917726332824,5890.2185702165225,
22,294.90960896694565,54.27031176188143,349.17992072882708,19997,454,-0.069369318419850487,-0.00019004400679765356,0.0023815801499785651,1.2531980492543365e-05,0.026738332213161874,-2.7833413427100977,-0.10361944156142359,0.45080460650325777,0.29624276012188411,2.1126301048464442,5924.5589596775599,
23,294.5376096888802,54.4391007334196,348.97671042229979,19997,454,-0.071324163618278424,-0.00017291814553216381,0.0021961224821605858,1.1003422294041945e-05,0.02536246073595004,-2.8462426279516553,-0.10379235970695587,0.45210415214471783,0.29783489828854259,2.1379925655823944,5956.4001308725638,
24,294.20441373583299,54.587315120401854,348.79172885623484,19997,454,-0.073520437954603779,-0.00015783656370351584,0.0020300606936935052,9.7379765907419651e-06,0.024094588828199627,-2.9057151784182795,-0.10395019627065952,0.45330366438511988,0.29931579549738085,2.1620871544105942,5986.01659415212,
25,293.90506789212316,54.717612714319124,348.62268060644226,19997,454,-0.076004114879005102,-0.00014452006054752585,0.0018807591553161903,8.6770096217849651e-06,0.022922648408967811,-2.9620903617634404,-0.10409471633120691,0.4544112880395027,0.30069738276852753,2.1850098028195619,6013.6469579877821,
26,293.63538217557971,54.832278788477502,348.46766096405719,19997,454,-0.078828355215142157,-0.00013283976955868413,0.0017460305416351894,7.7905169470051186e-06,0.021836332406058728,-3.015658380850982,-0.10422755610076544,0.45543799730126228,0.30199000833822803,2.2068461352256206,6039.4981767562222,
27,293.39177606371385,54.93324791751553,348.32502398122938,19997,454,-0.082063561708045948,-0.00012271015355888929,0.0016244790750733261,7.055949191060246e-06,0.020826760493641926,-3.0666728360440989,-0.10435026625432446,0.45639202158994024,0.30320323676858851,2.2276728957192624,6063.7615321350013,
28,293.17119196283812,55.022210987101822,348.19340294993992,19997,454,-0.085790574025983349,-0.00011382128430084016,0.0015142235417998312,6.4401977304376143e-06,0.019886253382741758,-3.1153562928076508,-0.10446408753862567,0.45727826645132724,0.30434492122338075,2.2475591491020044,6086.5940795463912,
29,292.97099320225459,55.100605292333029,348.07159849458765,19997,454,-0.090115492309141274,-0.000106036496961269,0.0014142231997196543,5.9359151306450078e-06,0.019008142201017729,-3.161904367671438,-0.10457012403558666,0.45810577621650811,0.30542263125161595,2.2665672913030219,6108.1472024010673,
30,292.7888997192282,55.169707484973017,347.9586072042012,19997,454,-0.09517729386741243,-9.9099896713669296e-05,0.0013229281352553294,5.5274114309346957e-06,0.01818659498724564,-3.2064899200544725,-0.10466922393230026,0.45887841287465997,0.30644279812534803,2.2847538862902677,6128.5495197088349,
