Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,840.483,0,840.483,19997,454,0,0,0,0,0,0,0,0,0,0,0,
1,408.63579226202052,0.0047419242745843394,408.6405341862951,19997,454,-0.79914793407657836,-0.021128238732386437,0.2975425172679505,0.14346834744514608,1,-0.79914793407657836,-0.021128238732386437,0.2975425172679505,0.14346834744514608,1,2869.2234805554767,
2,333.13602127053667,0.012201532952769297,333.14822280348943,19997,454,-1,-0.045583627392692339,0.12161109900544281,0.028622684808065665,1,-1.7991479340765784,-0.066711866125078859,0.4035985800166359,0.26319770796010389,2,5263.6909614941178,
3,301.70484426939385,0.018797336687020622,301.72364160608089,19997,454,-1,-0.029485906535618028,0.079675375703232021,0.016904114439291892,0.54643831250165398,-2.7991479340765784,-0.096197772660696831,0.46544431280487203,0.36253011479926195,2.5464383125016541,7250.2397658704394,
4,282.07060514938303,0.025694531641547606,282.09629968102456,19997,454,-1,-0.0310976533362072,0.068759885761762701,0.017607748953740801,0.2442046940156985,-3.7991479340765784,-0.12729542599690424,0.51681046358972083,0.47813952064597498,2.7906430065173526,9562.312273398853,
5,267.92203540068738,0.03341467222540135,267.95545007291275,19997,454,-1,-0.035156493250463092,0.065667653267551848,0.020701328651443224,0.2053511719227854,-4.7991479340765784,-0.16245191924736649,0.56667975015625005,0.63019573246077099,2.9416947687231834,12603.284453482958,
6,256.96056318029395,0.042151945934943293,257.00271512622891,19997,454,-1,-0.038881887701328138,0.065337622149589408,0.02424371724670733,1,-5.7991479340765784,-0.20133380694869588,0.61716290509715666,0.82648328007427319,3.0456010698587357,16528.839118205389,
7,248.09040102956308,0.051491658933617047,248.14189268849671,19997,454,-1,-0.040709103547951576,0.066175493531537413,0.027565998921610674,1,-6.7991479340765784,-0.24204291049664706,0.66758653024514814,1.0547169105797798,3.1211990414474804,21093.283494685016,
8,240.70376206131064,0.060053643699608715,240.76381570501024,19997,454,-1,-0.039179801088567237,0.068609060038236844,0.032100456041749763,1,-7.504015300105074,-0.28122271158521517,0.71526516894630965,1.2722310860841377,3.1781588418015989,25443.349490596669,
9,234.42489879013945,0.069176755934081999,234.49407554607353,19997,454,-1,-0.040729648123020532,0.071138672358334182,0.036253792660184039,1,-7.7116560787183976,-0.32195235970823505,0.76370722935240354,1.5149544835999755,3.2221161217912022,30297.574717515912,
