Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,817.845,0,817.845,19999,419,0,0,0,0,0,0,0,0,0,0,0,
1,407.11242140399588,0.0046695129899863123,407.11709091698589,19999,419,-0.76769872178003673,-0.022320350650194356,0.28981062509745903,0.13955774306963187,1,-0.76769872178003673,-0.022320350650194356,0.28981062509745903,0.13955774306963187,1,2791.0153036495676,
2,332.53511389636088,0.011616591080694835,332.54673048744155,19999,419,-1,-0.042237660995373245,0.11900281096417599,0.02684853419392012,1,-1.7676987217800368,-0.064558011645567487,0.39389065557964797,0.25412228216915111,2,5082.1915211008527,
3,300.90534684910136,0.018084812804967976,300.92343166190631,19999,419,-1,-0.028051206900392044,0.078729907487681286,0.01625698449283907,0.35546580279947199,-2.7676987217800368,-0.092609218545960062,0.45498053537518501,0.34990030368690334,2.3554658027994719,6997.6561734343795,
4,281.15336626373852,0.02484216238697853,281.17820842612548,19999,419,-1,-0.03016304904372696,0.068173816557273087,0.017183233710682491,0.18761630522169664,-3.7676987217800368,-0.12277226758968644,0.50591903530121973,0.4618120552389095,2.5344429199942233,9235.7792927229511,
5,266.96306235934844,0.032358625619717724,266.99542098496818,19999,419,-1,-0.033895896343419434,0.064721821090141629,0.019783219277948776,0.96474143848928828,-4.7676987217800368,-0.15666816393310612,0.55504101705903908,0.60709004803699496,2.6545416294529272,12141.193870691863,
6,255.99488238937658,0.040929868624646162,256.03581225800122,19999,419,-1,-0.037709937522067048,0.064077798750267895,0.022917477702786033,1,-5.7676987217800368,-0.19437810145517292,0.60498293822305449,0.79578109783116358,2.7405093232106865,15914.826175525441,
7,247.14486274001098,0.050030094286471927,247.19489283429746,19999,419,-1,-0.039279126540201145,0.065093326201595358,0.026433013467426859,1,-6.6316653699405013,-0.23365722799537425,0.65457135711689018,1.0118117124172241,2.8053283951823094,20235.222436632066,
8,239.79275957063209,0.058404902459415875,239.8511644730915,19999,419,-1,-0.038277422782981768,0.067192674322854834,0.030490088597810036,1,-7.5568323553072076,-0.27193465077835544,0.70189963056091498,1.2191486497153823,2.8559199547251151,24381.753845657931,
9,233.55721453863089,0.066842937508630823,233.62405747613951,19999,419,-1,-0.038898285743616264,0.069966771729557314,0.034933520971622223,1,-7.9746613548050771,-0.31083293652197225,0.74883402864127768,1.4390402152030435,2.8964148971158816,28779.365263845666,
10,228.1832507522393,0.075283274071471951,228.25853402631077,19999,419,-1,-0.039973364455204219,0.073484134590545494,0.039660359289731384,1,-7.6095668813661739,-0.35080630097717619,0.79627970624040889,1.673707299715848,2.9294686288506551,33472.472287017241,
