Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,840.483,0,840.483,19997,454,0,0,0,0,0,0,0,0,0,0,0,
1,408.63010281693647,8.3135435764424935e-13,408.63010281693732,19997,454,-0.79924536807699087,-0.021109548778145099,0.29756756098728504,0.14350225886437401,1,-0.79924536807699087,-0.021109548778145099,0.29756756098728504,0.14350225886437401,1,2869.901675028616,
2,333.12536657217066,1.7198046718597006e-12,333.12536657217237,19997,454,-1,-0.045593211372090131,0.12163950765223933,0.028650153840297111,1,-1.7992453680769909,-0.066702760150235088,0.4036448961817361,0.26329059887782263,2,5265.5486869575752,
3,301.69073068459636,2.2968006966526271e-12,301.69073068459863,19997,454,-1,-0.029515592691644787,0.079711975925602738,0.016936141499317076,0.54852126287711467,-2.7992453680769911,-0.096218352841879809,0.4655224801090499,0.36272818852262567,2.5485212628771148,7254.2010422639905,
4,282.05367231703974,2.7475339483357332e-12,282.05367231704247,19997,454,-1,-0.03115653192608539,0.068826321247218269,0.017672649761905881,0.24474475549242167,-3.7992453680769911,-0.12737488476796585,0.51695136590101998,0.47860907009718112,2.7932660183695366,9571.7027928735261,
5,267.90235592223416,3.12483450525082e-12,267.90235592223729,19997,454,-1,-0.03527362590557559,0.065794024085658279,0.020843941841941219,0.20598332151591203,-4.7992453680769911,-0.16264851067354119,0.56694354132277835,0.6313392571794505,2.9447281209504772,12626.153804331831,
6,256.93808569132761,3.4541439228590222e-12,256.93808569133108,19997,454,-1,-0.039782632378205215,0.065836511339405671,0.024841343459689542,0.18207835860742957,-5.7992453680769911,-0.20243114305174598,0.61833395532795687,0.8357167147353638,3.0490007216483339,16713.498577992541,
7,248.0646774257884,3.7494700766400118e-12,248.06467742579215,19997,454,-1,-0.044703414347698638,0.067592257723141758,0.029455247655398177,0.17514060705943457,-6.7992453680769911,-0.24713455739944507,0.6727578093569061,1.1058988104999277,3.1249400611597244,22116.870311188053,
8,240.67377804268247,4.0191732993938079e-12,240.67377804268648,19997,454,-1,-0.049960346900377331,0.070439063854881606,0.034533229659981769,0.18675753680396079,-7.7992453680769911,-0.29709490429982144,0.73122551771285538,1.4556835618948554,3.1822218143672774,29112.215554335213,
9,234.39113106337825,4.2685983825096154e-12,234.39113106338252,19997,454,-1,-0.05554459942002303,0.074094148170333912,0.039985183097405737,0.17852276155813199,-8.799245368076992,-0.35263950371984565,0.79449256642798616,1.8990716023460428,3.2264828195967437,37979.532975318507,
10,228.96324493704626,4.5013037776768029e-12,228.96324493705075,19997,454,-1,-0.061580721329154098,0.078550415700648885,0.046180427210198133,0.16513794931058273,-9.799245368076992,-0.41422022504899925,0.8631263127388209,2.4525236863238646,3.2612898930756931,49048.021202790966,
11,224.2143868973553,4.7198576944680765e-12,224.21438689736001,19997,454,-1,-0.067437537919270943,0.083057812631000066,0.052072941180905406,0.22781806647156314,-10.799245368076992,-0.48165776296827018,0.93713297623944358,3.1283870009252226,3.2890353385923365,62564.611631503525,
12,220.01427282296581,4.9263216554613054e-12,220.01427282297072,19997,454,-1,-0.073220800259618482,0.08766420791251274,0.057654626812940257,0.22859091214618443,-11.799245368076992,-0.55487856322788853,1.0164211741030349,3.9386491713333807,3.3113937698517502,78769.044777496281,
13,216.26342046979434,5.122308588954506e-12,216.26342046979946,19997,454,-1,-0.079434212096666207,0.092850043754977435,0.06389845325121031,0.19906781522055489,-12.799245368076992,-0.63431277532455532,1.1015697115904355,4.8986638964857603,3.3295769772032329,97968.379265818716,
14,212.89216907805414,5.3088892344256924e-12,212.89216907805945,19997,454,-1,-0.085675626597856464,0.09818942105020749,0.070239684509557282,0.16211429540418815,-13.799245368076992,-0.71998840192241176,1.192625263282227,6.0224725216653949,3.3444830640107068,120443.42796078623,
15,209.84494571079202,5.4869495220294719e-12,209.8449457107975,19997,454,-1,-0.092074017470981248,0.10378222438116357,0.076893639686625784,0.13601606978852537,-14.799245368076992,-0.81206241939339241,1.2897958503464464,7.325378236845224,3.3567915430506639,146500.23935866763,
16,207.07799879433057,5.6572457232922464e-12,207.07799879433622,19997,454,-1,-0.098199775045639828,0.10918586426592171,0.083072686578550256,0.14088829652627852,-15.799245368076992,-0.91026219443903322,1.3928230138114754,8.8193732094648833,3.3670259185178648,176378.6448160882,
17,204.55090268032396,5.8205179565178132e-12,204.55090268032978,19997,454,-1,-0.10451517396418125,0.11484329752778002,0.089582216804144355,0.13778204499482691,-16.799245368076992,-1.0147773684032146,1.5019096195431738,10.51939893026462,3.3755942111883912,210377.45920636214,
18,202.2346752386068,5.977298511374691e-12,202.23467523861277,19997,454,-1,-0.11077123731833557,0.1205096831784364,0.096136512693365303,0.12821788842643783,-17.799245368076992,-1.12554860572155,1.6169968225747366,12.438975945049801,3.38281648901014,248767.07992505099,
19,200.10401733912752,6.1280830291911723e-12,200.10401733913366,19997,454,-1,-0.11683685528502792,0.12603410967187578,0.10254815037609204,0.11799073905553197,-18.799245368076992,-1.2423854610065772,1.7379523190157917,14.591024288333026,3.3889463128695305,291805.89474237221,
20,198.13440000152232,6.2733955196662669e-12,198.1344000015286,19997,454,-1,-0.12257346158794243,0.13130350514105096,0.10846626395616075,0.23579710577662411,-19.799245368076992,-1.3649589225945205,1.8644205258981748,16.984399416083082,3.394186084295888,339671.00392224558,
21,196.30833298897656,6.4136600638953798e-12,196.30833298898298,19997,454,-1,-0.12818023449243135,0.13654578654128677,0.1144612390941776,1,-20.799245368076992,-1.4931391570869519,1.9962937166569312,19.631855759137338,3.3986982167427464,392617.4833269876,
22,194.60808127889973,6.5492670426973914e-12,194.60808127890627,19997,454,-1,-0.13346797959302212,0.14146451625925285,0.11989807863923591,1,-21.799245368076992,-1.6266071366799753,2.1332640566079202,22.542286517838399,3.4026138251794187,450823.18807025015,
23,193.01993932132959,6.6806461825764199e-12,193.01993932133627,19997,454,-1,-0.1388279112297208,0.14652463053340231,0.12560980905070745,1,-22.799245368076992,-1.7654350479096941,2.2754635546590611,25.729023677360189,3.4060398192470336,514554.7445235264,
24,191.53376259571374,6.8081584323510429e-12,191.53376259572056,19997,454,-1,-0.14384468209564896,0.15130846718323532,0.13089385361825057,1,-23.799245368076992,-1.9092797300053432,2.4225527011853778,29.200710786638471,3.4090631285767303,583985.01502198272,
25,190.13894274529488,6.9321486634367172e-12,190.13894274530182,19997,454,-1,-0.14886773916295643,0.15602237236530819,0.13607494347075613,1,-24.799245368076992,-2.0581474691683099,2.5745138514021049,32.969816111241592,3.4117543812508373,659363.35240872065,
26,188.82584755803637,7.0529198904484523e-12,188.82584755804342,19997,454,-1,-0.15387482397665467,0.16074508670052198,0.14130169428594661,1,-25.799245368076992,-2.2120222931449551,2.7313591399796877,37.046911810981058,3.4141713388067103,740901.18930781016,
27,187.58650716077139,7.170684316450722e-12,187.58650716077855,19997,454,-1,-0.15860389315303136,0.165214442738327,0.14627153591341976,1,-26.799245368076992,-2.3706261862979896,2.8928212522107,41.439254168347148,3.4163611264599005,828743.64411277464,
28,186.41487853162269,7.2856311146681286e-12,186.41487853162997,19997,454,-1,-0.16309076043874529,0.16953159679648633,0.1509578006615227,1,-27.799245368076992,-2.5337169467367304,3.0586662320237674,46.154980786038713,3.4183621001500715,923053.46073998825,
29,185.30567644361972,7.3979169197971118e-12,185.30567644362711,19997,454,-1,-0.16735219509466048,0.17370338597929555,0.15545180628709368,1,-28.799245368076992,-2.701069141831395,3.2286608244832791,51.20163043676402,3.4202054323339204,1023981.4071048436,
30,184.25266794444289,7.5077203533045599e-12,184.25266794445039,19997,454,-1,-0.17170340070483747,0.17778692698141138,0.15969866650896017,1,-29.799245368076992,-2.8727725425362376,3.402914895998411,56.590175756420251,3.4219167221128592,1131746.9249526486,
31,183.25153583726288,7.6151730855289509e-12,183.2515358372705,19997,454,-1,-0.17585589232693394,0.18202028111109544,0.16417378716085579,1,-30.799245368076992,-3.0486284348631618,3.581237816185602,62.31843658563654,3.4235169337893123,1246306.4132761452,
32,182.29858800915744,7.7203119992847628e-12,182.29858800916517,19997,454,-1,-0.18014240711444629,0.18625935200568042,0.16861037219453051,1,-31.799245368076992,-3.2287708419776191,3.7638054880566023,68.401095942828903,3.4250237236136347,1367953.5177606351,
33,181.39101761358862,7.8231480598468209e-12,181.39101761359643,19997,454,-1,-0.18476944935408748,0.19080435968102133,0.17365139214253567,1,-32.799245368076996,-3.4135402913317017,3.9509321073172154,74.853072031900339,3.4264524755119257,1496986.5875659748,
34,180.52611712811691,7.9236641043110656e-12,180.52611712812484,19997,454,-1,-0.18904237045387853,0.19504214248527221,0.17824372304990735,1,-33.799245368076996,-3.6025826617855712,4.1422638141928054,81.678956096004171,3.4278166849064653,1633497.4429639874,
35,179.70065033303061,8.0218782569321277e-12,179.70065033303862,19997,454,-1,-0.19340120753249773,0.19919089374072937,0.18271481612432294,1,-34.799245368076996,-3.7959838693180759,4.3378689619672279,88.895221368912374,3.4291272327867888,1777815.5321568786,
36,178.91152794413753,8.1178858250193292e-12,178.91152794414566,19997,454,-1,-0.19737513264418691,0.20315190602941072,0.18681205477155249,1,-35.799245368076996,-3.9933590019622525,4.5373728129629054,96.496630329242365,3.4303928612954047,1929836.109954518,
37,178.15569060888825,8.2118776261920292e-12,178.15569060889646,19997,454,-1,-0.20187665878561378,0.2074661277508402,0.19154595977946912,1,-36.799245368076996,-4.1952356607478771,4.7413208951338657,104.50741655030723,3.4316204589784118,2090043.8235895943,
38,177.4310893306895,8.3039849471822783e-12,177.4310893306978,19997,454,-1,-0.20620108306917434,0.21164049739848506,0.19615784297816138,1,-37.799245368076996,-4.4014367438170341,4.9495329266256185,112.93597905200198,3.4328154840917744,2258606.6450609877,
39,176.7363236027185,8.3943153616390074e-12,176.73632360272688,19997,454,-1,-0.21027676871898252,0.21557781882132329,0.20045577575849718,1,-38.799245368076996,-4.6117135125360305,5.1617644943978265,121.7894881457527,3.4339822984294552,2435667.9734269083,
40,176.06926550299963,8.4829843957745902e-12,176.0692655030081,19997,454,-1,-0.21401506422469327,0.21928509888813652,0.20437095328871366,1,-39.799245368076996,-4.8257285767607119,5.377677490417355,131.06709699482062,3.4351242927314023,2621210.8727994175,
41,175.42786425306585,8.5701226679305507e-12,175.42786425307443,19997,454,-1,-0.21794833471845559,0.22308344358753804,0.20839973945434945,1,-40.799245368076996,-5.0436769114791682,5.5974532402844357,140.78530226030432,3.4362442764037762,2815565.2599038263,
