Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,892.935,0,892.935,19999,431,0,0,0,0,0,0,0,0,0,0,0,
1,892.91178279025519,0.011406833410212739,892.92318962366539,19999,431,-2.4904409918472088e-05,-3.5969960078682918e-06,5.4248861770257232e-06,5.5610030604784982e-11,1.4847699130206727e-05,-2.4904409918472088e-05,-3.5969960078682918e-06,5.4248861770257232e-06,5.5610030604784982e-11,1.4847699130206727e-05,1.1121450020650948e-06,
2,892.9117824960291,0.011407127563010957,892.92318962359207,19999,431,-9.3256978448636736e-10,-2.8718216570188676e-11,7.1075156316325651e-11,1.4813161681929973e-20,2.7380902373428778e-10,-2.4905173642564631e-05,-3.5970247260848678e-06,5.424935959305751e-06,5.5611464659175236e-11,1.4847805809479878e-05,1.1121736817188456e-06,
3,892.91178249603001,0.0114071275623544,892.92318962359241,19999,431,-2.353990381031975e-14,7.0514463434221663e-16,1.3076584902254003e-15,4.1620085000338511e-30,1.1902783276950722e-14,-2.4905173648953408e-05,-3.5970247253797188e-06,5.4249359589808842e-06,5.5611464655977821e-11,1.4847805812521956e-05,1.1121736816549005e-06,
4,892.91178249603024,0.011407127562355065,892.92318962359263,19999,431,-2.2048836817491474e-16,-2.462840977536419e-19,5.1087577589636022e-17,4.3880701040966044e-33,2.1837053235005639e-16,-2.4905173648902935e-05,-3.5970247253799657e-06,5.424935958980985e-06,5.561146465598144e-11,1.484780581245555e-05,1.1121736816549727e-06,
5,892.91178249603001,0.011407127562356671,892.92318962359241,19999,431,-2.1835905738433685e-16,4.0319137633641437e-19,5.0765722606447562e-17,4.3334245315041657e-33,2.1806872516187541e-16,-2.4905173648852462e-05,-3.5970247253795655e-06,5.4249359589811332e-06,5.5611464655981685e-11,1.4847805812611181e-05,1.1121736816549778e-06,
6,892.91178249603001,0.011407127562354949,892.92318962359241,19999,431,-2.1737921884606717e-16,-7.9730786126307182e-20,5.1297524701000022e-17,4.4133514621165978e-33,2.1644989099192213e-16,-2.4905173648913011e-05,-3.5970247253796349e-06,5.424935958980592e-06,5.5611464655974325e-11,1.4847805812544773e-05,1.1121736816548304e-06,
7,892.91178249603047,0.011407127562354088,892.92318962359286,19999,431,-2.1469679758682563e-16,1.7006903818673321e-19,5.0833110428890448e-17,4.3434735195134146e-33,2.1768637468507749e-16,-2.4905173648862538e-05,-3.5970247253794655e-06,5.4249359589806343e-06,5.5611464655975404e-11,1.4847805812478368e-05,1.112173681654852e-06,
8,892.91178249603001,0.011407127562355844,892.92318962359241,19999,431,-2.2052902188680154e-16,-5.9050608841193109e-19,5.0384278419802034e-17,4.2737585045806143e-33,2.1993442445212271e-16,-2.4905173648923087e-05,-3.5970247253800669e-06,5.4249359589810434e-06,5.5611464655980444e-11,1.484780581241196e-05,1.1121736816549528e-06,
9,892.91178249603001,0.011407127562354662,892.92318962359241,19999,431,-2.2027181387435556e-16,4.5320958813945986e-19,5.1308066138472798e-17,4.4303270813084364e-33,2.1773175068782473e-16,-2.4905173648872614e-05,-3.597024725379612e-06,5.4249359589810655e-06,5.5611464655976929e-11,1.4847805812567591e-05,1.1121736816548825e-06,
10,892.91178249603024,0.011407127562354184,892.92318962359263,19999,431,-2.2071789470456779e-16,5.08672367789904e-19,5.0644427508651906e-17,4.308976893746962e-33,2.1937293301802552e-16,-2.4905173648933164e-05,-3.5970247253791038e-06,5.4249359589810832e-06,5.5611464655979391e-11,1.4847805812501183e-05,1.1121736816549319e-06,
