Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,840.483,0,840.483,19997,454,0,0,0,0,0,0,0,0,0,0,0,
1,408.63010338586651,8.9114649418819349e-07,408.630104277013,19997,454,-0.79924535833238941,-0.021109550649540752,0.29756755848029154,0.14350225546829279,1,-0.79924535833238941,-0.021109550649540752,0.29756755848029154,0.14350225546829279,1,2869.9016071103874,
2,333.12536776643708,1.9260537831335159e-06,333.12536969249084,19997,454,-1,-0.045593211111780878,0.12163950474643666,0.028650151107158312,1,-1.7992453583323895,-0.066702761761321699,0.40364489118403646,0.26329058883230372,2,5265.5484860572424,
3,301.69073225538796,2.6937411526004201e-06,301.69073494912914,19997,454,-1,-0.029515590064668019,0.079711972389301916,0.016936138534616337,0.54852104135512258,-2.7992453583323895,-0.096218351825989853,0.46552247197299496,0.36272816819270698,2.5485210413551225,7254.2006356859465,
4,282.05367418565959,3.4281955363150996e-06,282.05367761385514,19997,454,-1,-0.031156526158617522,0.068826314642880207,0.017672643337287585,0.24474470119921687,-3.7992453583323895,-0.12737487798460778,0.51695135153529681,0.47860902299280106,2.7932657425543392,9571.7018508330275,
5,267.90235808378128,4.2301029901766635e-06,267.90236231388428,19997,454,-1,-0.03527361387099992,0.065794011133197355,0.020843927042426841,0.20598324020258912,-4.7992453583323895,-0.16264849185560704,0.56694351443254898,0.63133914144455328,2.9447278049386414,12626.151489749622,
6,256.93808813762587,5.1665589021360614e-06,256.93809330418475,19997,454,-1,-0.039782613927643366,0.065836491835271113,0.024841321590702514,0.18207826930381987,-5.7992453583323895,-0.20243110578325013,0.61833390944154099,0.83571647255502091,3.0490003702211648,16713.493734627864,
7,248.06468015327849,6.2948186719970263e-06,248.06468644809715,19997,454,-1,-0.044703381832482986,0.067592224113672536,0.029455206529916525,0.17514061531534483,-6.7992453583323895,-0.24713448761573317,0.672757730551373,1.1058983171488226,3.1249396769831095,22116.860444659302,
8,240.67378103370746,7.6670394361601205e-06,240.67378870074688,19997,454,-1,-0.049960310722754961,0.070439026431297652,0.034533195559472679,0.18675742307126789,-7.7992453583323895,-0.29709479833848729,0.73122540225615473,1.4556827441494713,3.182221399365508,29112.199200245275,
9,234.39113431869251,9.3337713010889565e-06,234.3911436524638,19997,454,-1,-0.055544538877303838,0.0740940927464315,0.039985122732289852,0.17852261870642602,-8.7992453583323886,-0.3526393372157931,0.79449238990679927,1.8990702420606123,3.226482375349855,37979.505770970187,
10,228.96324843417611,1.1352439002409756e-05,228.96325978661511,19997,454,-1,-0.061580648654017911,0.07855035330807611,0.046180349414331454,0.1651456707516987,-9.7992453583323886,-0.41421998586980951,0.86312606291603466,2.4525215737327937,3.261289420963887,49047.978953082144,
11,224.21439061160075,1.3766015844016096e-05,224.2144043776166,19997,454,-1,-0.067437454874198485,0.083057733119293459,0.052072834157679743,0.22782004293613817,-10.799245358332389,-0.48165744074400924,0.93713264268009944,3.1283839341037751,3.2890348398576199,62564.550298141396,
