Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,817.845,0,817.845,19999,419,0,0,0,0,0,0,0,0,0,0,0,
1,407.10692037160493,8.7433864245703062e-16,407.10692037160493,19999,419,-0.76787967995566342,-0.022303171325176729,0.2898344985422367,0.13959000888449413,1,-0.76787967995566342,-0.022303171325176729,0.2898344985422367,0.13959000888449413,1,2791.6605876809981,
2,332.52548760691332,1.8414840542071105e-15,332.52548760691332,19999,419,-1,-0.042250153858222776,0.11903041504184933,0.026876973016488517,1,-1.7678796799556635,-0.064553325183399596,0.39393636057933984,0.25421577849063026,2,5084.0613540341146,
3,300.89476170184531,2.592049385093247e-15,300.89476170184531,19999,419,-1,-0.028081376341434185,0.078767252175977381,0.016292188097177179,0.36967275081970563,-2.7678796799556635,-0.092634701524833635,0.45505851897197502,0.35011327846224649,2.3696727508197055,7001.9154559664676,
4,281.14187953508781,3.3068177504835985e-15,281.14187953508781,19999,419,-1,-0.030244074355190713,0.06826257790044099,0.017287398422204309,0.20436102572597559,-3.7678796799556635,-0.12287877588002506,0.50608128801048025,0.46246602524291575,2.5740337765456811,9248.858038833072,
5,266.95056697139756,4.0781985915451428e-15,266.95056697139756,19999,419,-1,-0.034084488443481345,0.064821848048044126,0.019890823049193797,0.15784972087490184,-4.767879679955664,-0.15696326432350569,0.55539612520631931,0.60894597359912184,2.7090465586799835,12178.310526008838,
6,255.98121399279859,4.9702300077405449e-15,255.98121399279859,19999,419,-1,-0.038320963158977178,0.064491575616420951,0.023408934253500106,0.16266463942576098,-5.767879679955664,-0.1952842274824827,0.60595315396009752,0.80323127362706104,2.8053438112867704,16063.822241267593,
7,247.12936823102632,6.0351867626497632e-15,247.12936823102632,19999,419,-1,-0.04294414918531738,0.06593842440272113,0.027514595679464456,0.17896181092071453,-6.767879679955664,-0.23822837666780072,0.65921285884694236,1.0577963534643802,2.8770597168346956,21154.869272934138,
8,239.77438526032353,7.3299009733784649e-15,239.77438526032353,19999,419,-1,-0.048236133092108224,0.06880333826506517,0.032615140224833167,0.17686365645800034,-7.767879679955664,-0.28646450975990784,0.71650695445102042,1.3877361432538939,2.931961989395766,27753.335128934625,
9,233.53614181366839,8.9035146580698658e-15,233.53614181366839,19999,419,-1,-0.053751440192195424,0.072371401717977846,0.037975526924965045,0.16205913943402925,-8.767879679955664,-0.3402159499521033,0.77830516067349031,1.8065367057958541,2.9747960730204368,36128.927579211289,
10,228.15961530381549,1.0806984466327632e-14,228.15961530381549,19999,419,-1,-0.059559353643353879,0.076561671331490291,0.04366581744772096,0.14097566388035651,-9.767879679955664,-0.39977530359545727,0.84534788619573942,2.3286710464032843,3.0086813215133978,46571.092257019285,
11,223.46467489619653,1.3088104601205984e-14,223.46467489619653,19999,419,-1,-0.065621481555161093,0.081345358772789103,0.049796495459762828,1,-10.767879679955664,-0.46539678515061872,0.91780616976756479,2.967914844393758,3.0357750188954808,59355.328973030766,
12,219.3252501372433,1.5808755142589661e-14,219.32525013724333,19999,419,-1,-0.072117351810886965,0.086647776640249072,0.056608750118399172,1,-11.767879679955664,-0.53751413696150352,0.99623150499367585,3.7424265602331772,3.0576209788215789,74844.788778103306,
13,215.64309511025601,1.9011028251737395e-14,215.64309511025604,19999,419,-1,-0.078261940467905064,0.091753801454893841,0.062851752942958944,1,-12.767879679955664,-0.61577607742941132,1.08036789568981,4.664484697721905,3.0753554063672635,93285.029469740373,
14,212.33811945742741,2.2737245469112527e-14,212.33811945742744,19999,419,-1,-0.084286779764104439,0.096859822508252633,0.068864298604850147,1,-13.767879679955664,-0.70006285719351646,1.1701297180220676,5.7465513842610614,3.0898340372049904,114925.28113383696,
15,209.34748756531849,2.7032327052169268e-14,209.34748756531852,19999,419,-1,-0.090359858822894046,0.10212156430252299,0.074942364289971766,1,-14.767879679955664,-0.7904227160164079,1.2656949382972253,7.0019160603842261,3.1017158427138378,140031.31929162412,
16,206.62683146394698,3.1933334967292743e-14,206.62683146394701,19999,419,-1,-0.096329798883877202,0.10742755147159049,0.080896772858740862,1,-15.767879679955664,-0.88675251490028861,1.3668866581729064,8.4415285255194323,3.1115173702436265,168822.12898186312,
17,204.1400512396707,3.7483392953876044e-14,204.14005123967073,19999,419,-1,-0.10248895767696647,0.1131340715695824,0.087419809247652303,1,-16.767879679955662,-0.98924147257725237,1.4739363054516412,10.078206367846645,3.1196443359003476,201554.04915056506,
18,201.85931092643654,4.3740564585969204e-14,201.85931092643659,19999,419,-1,-0.10864167994730356,0.11870276405462861,0.093670490803418979,1,-17.767879679955662,-1.0978831525245547,1.5868981707369592,11.929303202710631,3.1264172543266895,238574.13475100993,
19,199.75847035151639,5.0748216485092719e-14,199.75847035151645,19999,419,-1,-0.11495234853414402,0.12457528616348162,0.10031246521304205,1,-18.767879679955662,-1.2128355010586969,1.7059453810463825,14.007780481038914,3.1320900775731633,280141.60184029723,
20,197.81741900238353,5.8562312237030203e-14,197.81741900238359,19999,419,-1,-0.12132261033877734,0.13045962273932168,0.10712898494579501,1,-19.767879679955662,-1.3341581113974836,1.831151781118264,16.330382793426821,3.1368650322604275,326591.325485743,
21,196.01788520176581,6.7217953263479175e-14,196.01788520176586,19999,419,-1,-0.12731012193567504,0.13599935377454403,0.11335089166405282,1,-20.767879679955662,-1.4614682333331541,1.9621266924554186,18.907593035665887,3.1409036811637812,378132.95312028204,
22,194.34249072059413,7.6757973674045594e-14,194.34249072059421,19999,419,-1,-0.13321530490673514,0.14149230139695726,0.11955941452096722,1,-21.767879679955662,-1.5946835382398898,2.0988190398177409,21.752248962057539,3.1443356308226185,435023.22699218872,
