Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,907.605,0,907.605,19995,440,0,0,0,0,0,0,0,0,0,0,0,
1,864.38940013749095,20.887751915157345,885.27715205264826,19995,440,-0.058587050436610992,-0.0068439298447700338,0.010264426033817768,0.00020354218051296837,0.026008833333052934,-0.058587050436610992,-0.0068439298447700338,0.010264426033817768,0.00020354218051296837,0.026008833333052934,4.0706400680788546,
2,864.76627170904715,20.501695198720448,885.26796690776757,19995,440,-0.0011789143027031424,0.00018142275320795658,0.00020049362437847185,7.6169079772013629e-08,0.0012170473184572278,-0.059557890705619579,-0.006662507091562111,0.010199629318914305,0.00019976078107651141,0.027120817311200248,3.9950158607491515,
3,864.75027353771918,20.517673103379025,885.26794664109821,19995,440,-0.00012943367222038147,-1.7279060431142114e-06,5.0670445053510061e-06,6.3032816402170598e-11,7.6865126280253917e-05,-0.059677033840020668,-0.006664234997605204,0.01020336599317895,0.00019991609503851212,0.027174366183822511,3.9981219846752039,
4,864.75024222711488,20.517703690066597,885.26794591718146,19995,440,-9.9680181166677544e-06,7.3244192005396327e-08,1.9459787070082226e-07,1.2455932923774462e-13,5.5066917947178111e-06,-0.05968443649526322,-0.0066641617534132199,0.01020338207952888,0.00019991637133152373,0.027177151115927931,3.9981275102591431,
5,864.7502289459768,20.517716944310177,885.26794589028702,19995,440,-8.2973041298494639e-07,1.6892012254787636e-10,8.7044169278947126e-09,3.8216679676083974e-16,4.0328075066905795e-07,-0.059684981807333788,-0.0066641615844930929,0.010203385085850718,0.00019991649960450695,0.027177299958280669,3.9981300755905345,
6,864.75022853706366,20.517717351846418,885.26794588891005,19995,440,-6.7947930746275696e-08,6.1600743276835439e-11,4.5495416205710728e-10,1.4411650701157326e-18,3.0072386622184806e-08,-0.05968502035607931,-0.0066641615228923354,0.010203385175465084,0.00019991650352917752,0.027177308070085164,3.9981301540800209,
7,864.7502285111899,20.517717377655543,885.26794588884547,19995,440,-5.5858157275457277e-09,1.9270947236515089e-12,2.4678257857660513e-11,6.2238889621212009e-21,2.2602433785144306e-09,-0.059685023114292912,-0.0066641615209652285,0.010203385180761814,0.00019991650377824074,0.027177308516798303,3.9981301590610365,
8,864.75022850985636,20.517717378986728,885.26794588884309,19995,440,-4.5884530509977318e-10,1.2169641592406848e-13,1.4136711766003358e-12,2.9898386766652209e-23,1.7081148355044159e-10,-0.059685023311095292,-0.0066641615208435628,0.010203385181018125,0.00019991650379107568,0.027177308541568742,3.9981301593177228,
9,864.75022850977768,20.517717379065129,885.26794588884286,19995,440,-3.770191711461499e-11,6.3323928960533208e-15,8.3758268363882411e-14,1.5624320224321788e-25,1.2953696076118723e-11,-0.059685023325144193,-0.0066641615208371972,0.010203385181032257,0.0001999165037918317,0.027177308542947528,3.9981301593328422,
10,864.75022850977291,20.517717379069804,885.26794588884275,19995,440,-3.0979495872850428e-12,3.7574916357685065e-16,5.1433884528811894e-15,8.7165523461811106e-28,9.8472778762413618e-13,-0.05968502332614628,-0.0066641615208368277,0.010203385181033101,0.00019991650379187683,0.027177308543024546,3.9981301593337446,
