Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,892.935,0,892.935,19999,431,0,0,0,0,0,0,0,0,0,0,0,
1,892.47875102638579,0.22781025456409781,892.70656128094993,19999,431,-0.0004975962336939225,-7.1882443868610419e-05,0.00010842994675311154,2.2211716317890895e-08,0.00029683461313246754,-0.0004975962336939225,-7.1882443868610419e-05,0.00010842994675311154,2.2211716317890895e-08,0.00029683461313246754,0.0004442121146415,
2,892.47880733855425,0.22775388288323947,892.70656122143748,19999,431,-6.3948634088038072e-08,1.9392099172149439e-08,2.1450576061831524e-08,9.1243069122703171e-16,1.1171343271108135e-07,-0.00049752994965539916,-7.1863051769438047e-05,0.00010841897065971542,2.2206219892147865e-08,0.00029687723378690994,0.00044410219162306516,
3,892.47880731896237,0.22775390246923582,892.70656122143157,19999,431,-8.3602224311630142e-11,-2.7172459483854909e-12,5.6810996716454077e-12,7.9522533342888759e-23,6.9500434302302536e-11,-0.00049752997376892533,-7.1863054486684193e-05,0.00010841897479229317,2.220622180179595e-08,0.00029687725737786622,0.00044410222981411721,
4,892.47880731896237,0.22775390246868568,892.706561221431,19999,431,-6.145182912212637e-14,9.3840426048052047e-16,2.3811707913559397e-15,1.7262357166747009e-29,5.708992574048006e-14,-0.00049752997376753495,-7.1863054485745938e-05,0.00010841897479222086,2.2206221801742411e-08,0.000296877257393056,0.00044410222981304651,
5,892.47880731896237,0.22775390246868843,892.706561221431,19999,431,-2.1955162886240434e-16,2.5193222445791406e-19,2.8540988546277545e-17,3.1013472488096113e-33,2.193183365365543e-16,-0.00049752997376753614,-7.1863054485745654e-05,0.00010841897479222162,2.2206221801742623e-08,0.00029687725739316101,0.00044410222981305074,
6,892.47880731896237,0.22775390246868793,892.706561221431,19999,431,-2.1766826285777215e-16,-2.9755224486414637e-19,2.7409517061498427e-17,3.0330237985973396e-33,2.1391991829639699e-16,-0.00049752997376753614,-7.1863054485746128e-05,0.00010841897479222111,2.2206221801742517e-08,0.00029687725739304413,0.00044410222981304862,
7,892.47880731896237,0.22775390246868837,892.706561221431,19999,431,-2.1803151878011485e-16,-7.5558934893075381e-20,2.7518202027056778e-17,3.0574786590184534e-33,2.1874869590910551e-16,-0.00049752997376753614,-7.1863054485746006e-05,0.00010841897479222096,2.2206221801742557e-08,0.00029687725739314914,0.00044410222981304938,
8,892.47880731896237,0.22775390246868715,892.706561221431,19999,431,-2.2078379552852201e-16,-7.0839222303007598e-19,2.7212641406212272e-17,2.9896605853818333e-33,2.1598984516824691e-16,-0.00049752997376753614,-7.1863054485746806e-05,0.0001084189747922203,2.2206221801742487e-08,0.00029687725739303226,0.00044410222981304802,
9,892.47880731896237,0.22775390246868754,892.706561221431,19999,431,-2.2027309134886127e-16,8.5679023356247073e-19,2.7853848953834844e-17,3.1319523427658691e-33,2.1884510592229857e-16,-0.00049752997376753614,-7.186305448574583e-05,0.00010841897479222124,2.220622180174254e-08,0.00029687725739313721,0.00044410222981304905,
10,892.47880731896237,0.22775390246868765,892.706561221431,19999,431,-2.1944513081895584e-16,2.2417628322538614e-19,2.716265685290722e-17,2.9785247776596103e-33,2.1847521492513461e-16,-0.00049752997376753614,-7.1863054485745451e-05,0.00010841897479222162,2.2206221801742603e-08,0.00029687725739302033,0.0004441022298130503,
