Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,1379.81,0,1379.81,10542,869,0,0,0,0,0,0,0,0,0,0,0,
1,1377.4273178472658,0.17487588907056104,1377.6021937363364,10542,869,-0.0018978233599301058,-0.00033572290830572674,0.00038888160209814174,2.8995079658946468e-07,0.00070137051515847045,-0.0018978233599301058,-0.00033572290830572674,0.00038888160209814174,2.8995079658946468e-07,0.00070137051515847045,0.0030563713468495473,
2,1375.3822369551458,0.42486209728776281,1375.8070990524336,10542,869,-0.0014071084702863626,-0.00034298719379199189,0.00035503843070983548,2.2996814723870803e-07,0.00036889370000080382,-0.0032685254605058509,-0.00067871010209771679,0.00073501655780323504,1.0197873701889969e-06,0.0010702642151592743,0.010749578669162216,
3,1373.5228799835977,0.68094678937731368,1374.2038267729749,10542,869,-0.0011942851805622262,-0.0003469733146979445,0.00035010393440614268,2.0528460217543787e-07,0.00016923856237770069,-0.0044222365631235386,-0.0010256834167956658,0.0010713780987576913,2.1120633010710379e-06,0.0012376425965358946,0.022263259256589812,
4,1371.7913716638509,0.93444055067612697,1372.725812214527,10542,869,-0.0010631340431321399,-0.00034954840610828115,0.00035031752853378569,1.8986582075372226e-07,8.2556425301874109e-05,-0.0054430964286946246,-0.0013752318229039446,0.0014081077179541445,3.5300066522336012e-06,0.0012831227747708645,0.037209800121194389,
5,1370.1571624022579,1.1827369669093006,1371.3398993691671,10542,869,-0.00099299441828249466,-0.00035130149891076908,0.00035133709516138877,1.7875354266881808e-07,1.8529370260324328e-05,-0.00636598735166863,-0.0017265333218147122,0.001749070469301952,5.2490531190040845e-06,0.0012462684384670351,0.055330268927422058,
6,1368.6013226602454,1.4242260480088986,1370.0255487082543,10542,869,-0.00094857595286878865,-0.00035252828290450523,0.00035252828290450523,1.7021669271945702e-07,-2.3419967331956267e-05,-0.0072209442515957616,-0.002079061604719231,0.0020941026721238739,7.2511595456037518e-06,0.0011495580740098082,0.07643447277020915,
7,1367.1108847782602,1.6576214832204192,1368.7685062614808,10542,869,-0.00089973345651812723,-0.00035339644651692957,0.00035339644651692957,1.6343536930689311e-07,-5.6894068227791243e-05,-0.0080538813246597892,-0.0024324580512361397,0.0024420220732431189,9.5226671484699552e-06,0.0010419626674676562,0.10037843441202179,
8,1365.676330433826,1.8819362535042286,1367.5582666873302,10542,869,-0.00085255806513612133,-0.00035400804597699505,0.00035400804597699505,1.5793378222674693e-07,-8.6682162890699269e-05,-0.0088360835387675963,-0.0027864660972131412,0.0027920620768455105,1.2053130470836791e-05,0.00090795961821575882,0.12705204829309061,
9,1364.2903199582627,2.0964978298989569,1366.3868177881616,10542,869,-0.00081031090317584917,-0.00035442868223889678,0.00035442868223889678,1.533996718436904e-07,-0.0001068898733934869,-0.0095748005198997878,-0.0031408947794520459,0.0031439187464511091,1.4834523843675671e-05,0.00075000414137422165,0.15637071583618525,
