Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,1379.81,0,1379.81,10542,869,0,0,0,0,0,0,0,0,0,0,0,
1,695.27374172170096,8.4067107858312216e-17,695.27374172170096,10542,869,-0.6880448555486276,-0.17781051655816837,0.2599435219504917,0.097088531005825096,1,-0.6880448555486276,-0.17781051655816837,0.2599435219504917,0.097088531005825096,1,1023.4102053324024,
2,592.85306432749792,2.0647222324783457e-16,592.85306432749792,10542,869,-0.50980866136914005,-0.054733529930089363,0.11394271625364054,0.019753236777684969,0.51304443649201303,-1.1978535169177675,-0.2325440464882601,0.36392997813758965,0.19505186762237889,1.513044436492013,2056.0417366074957,
3,550.18838515924506,3.29985348713129e-16,550.18838515924506,10542,869,-0.44586160252853385,-0.017350901835800417,0.064556337450823911,0.0068365558019950392,0.24084825287516368,-1.5711397184761546,-0.24989494832405762,0.41440517061300591,0.25333363292840139,1.7266407565358901,2670.389824698279,
4,522.50024940641458,4.6097830451058099e-16,522.50024940641458,10542,869,-0.56055642277363393,-0.014179221629468636,0.051617392592903391,0.004937019521683822,0.17452614605218764,-2.1063343105250101,-0.26407416995352784,0.45227116019163333,0.30356191270206806,1.8507678331800275,3199.8461217924996,
5,502.25838962526194,6.0869268962186539e-16,502.25838962526194,10542,869,-0.90818962575913442,-0.015544019092150866,0.046099534384170401,0.0046799248480468699,0.13571240396041653,-2.90873705344129,-0.27961818904567948,0.48635852102650123,0.3567821704120675,1.9320384511537707,3760.8408583136033,
6,486.50164668788568,7.8529041163761609e-16,486.50164668788568,10542,869,-1,-0.017391115465371122,0.043477351360484993,0.0052209415387495578,0.12230680597280831,-3.90873705344129,-0.29700930451104857,0.51895257956066587,0.41808083087405773,1.9887177605631665,4406.9900382434425,
7,473.73386243931708,1.0099210195990347e-15,473.73386243931708,10542,869,-1,-0.019769175248074079,0.042699761879298796,0.0065982311902174802,0.10849536599718047,-4.90873705344129,-0.3167784797591236,0.55162123682891384,0.4935929534334858,2.0297849216437176,5202.9633221423737,
8,463.10864153729329,1.3080986261455593e-15,463.10864153729329,10542,869,-1,-0.02277160240971569,0.04330598659027278,0.0087741899721276891,0.095964920649244667,-5.90873705344129,-0.33955008216883886,0.58560942349506628,0.59113968180639265,2.0602949433728543,6231.2033859211851,
9,454.09239156395279,1.7182444585774506e-15,454.09239156395279,10542,869,-1,-0.026649768040098908,0.045275082226575739,0.012223469956229707,0.08519698394038959,-6.90873705344129,-0.36619985020893847,0.62220061996742337,0.72231135317329664,2.0833512413733342,7613.8839737997196,
