Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,1379.81,0,1379.81,10542,869,0,0,0,0,0,0,0,0,0,0,0,
1,695.27412838024009,8.4066702902424855e-05,695.27421244694301,10542,869,-0.68804464424633416,-0.17781055961917247,0.25994328801753297,0.097088325393015734,1,-0.68804464424633416,-0.17781055961917247,0.25994328801753297,0.097088325393015734,1,1023.4080379677789,
2,592.85345840234265,0.00020647147498949574,592.85366487381759,10542,869,-0.50980848939749612,-0.054733499717661463,0.11394263958765492,0.019753209870780539,0.51303386615971758,-1.1978531336438303,-0.2325440593368342,0.3639296950999546,0.19505154106831182,1.5130338661597176,2056.0382944010748,
3,550.18880911874487,0.00032998414502710156,550.18913910288995,10542,869,-0.44586038073008488,-0.017350871343813547,0.064556227921161571,0.006836530264225987,0.24084522592565291,-1.5711391016696357,-0.24989493068064722,0.4144048152838577,0.25333317443060221,1.7266276308511552,2670.3849916729778,
4,522.50070685813591,0.00046097643384064807,522.50116783456974,10542,869,-0.56054491518088889,-0.014179154485140854,0.05161724173228148,0.0049369872801347013,0.17452355280373588,-2.1063294053842219,-0.26407408516578867,0.45227068729765263,0.30356123817200714,1.8507527267034893,3199.8390115711272,
5,502.25888078348055,0.00060868978982443159,502.25948947327038,10542,869,-0.90817846392179635,-0.015543922380173112,0.046099345448436711,0.0046798774223706149,0.13571192003848057,-2.9087264663726842,-0.27961800754596133,0.48635789031043292,0.35678115826108964,1.9320215328801233,3760.8301892301461,
6,486.50217083774351,0.00078528605325048719,486.50295612379676,10542,869,-1,-0.01739099093381348,0.043477127054745046,0.0052208859893104111,0.12230630174734435,-3.9087264663726842,-0.29700899847977569,0.51895176129180254,0.41807934516513662,1.9886991280212689,4406.9743773857053,
7,473.73441841767686,0.0010099144691939168,473.73542833214606,10542,869,-1,-0.019769007966122062,0.042699488904853283,0.0065981497769633957,0.10849485898878797,-4.9087264663726842,-0.31677800644589732,0.55162018902325827,0.4935907614605432,2.0297646553999149,5202.9402165555857,
8,463.10922803769841,0.0013080886126520194,463.11053612631105,10542,869,-1,-0.02277137401238578,0.043305648321490781,0.0087740568788946521,0.095964416936594812,-5.9087264663726842,-0.33954938045828365,0.58560808204210146,0.59113638431110849,2.060273119273722,6231.1686270233949,
9,454.09300673248936,0.0017182294509656946,454.0947249619403,10542,869,-1,-0.026649481905656577,0.045274682179917952,0.012223296080257398,0.085196484377027107,-6.9087264663726842,-0.36619886236393834,0.62219892529273513,0.72230646324315551,2.0833279331152479,7613.8324290461023,
10,446.33011370401488,0.0022743050695321482,446.33238800908441,10542,869,-1,-0.030885279876303927,0.047940635254585237,0.015991056985047748,0.076091006273051098,-7.9087264663726842,-0.39708414224024297,0.66202413290521611,0.89718790189835695,2.1009368586013029,9457.2576739105807,
11,439.55878590725473,0.0030166117296586492,439.56180251898439,10542,869,-1,-0.035692508140298576,0.051418430196253917,0.020365995024590085,0.068383880052909601,-8.9087264663726842,-0.43277665038054303,0.70586563027532812,1.1282008741300651,2.1144749432896712,11892.365414205016,
