Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,1379.81,0,1379.81,10542,869,0,0,0,0,0,0,0,0,0,0,0,
1,1379.7600479963046,0.0035132870772525489,1379.7635612833819,10542,869,-3.8075250883959973e-05,-6.7274888481853848e-06,7.791425868738793e-06,1.1647207314298312e-10,1.4032280244170162e-05,-3.8075250883959973e-05,-6.7274888481853848e-06,7.791425868738793e-06,1.1647207314298312e-10,1.4032280244170162e-05,1.2277321230001852e-06,
2,1379.718765366001,0.0085569005149254904,1379.727322266516,10542,869,-2.8348184228597703e-05,-6.89109592848198e-06,7.1317620583531029e-06,9.2914584024701166e-11,7.3726663468193911e-06,-6.5692900588699949e-05,-1.3618584776667322e-05,1.4744283860980574e-05,4.1077315218168379e-10,2.1404946590989553e-05,4.3299597971471286e-06,
3,1379.6810242335594,0.013752960771019332,1379.6947771943303,10542,869,-2.4149044399666735e-05,-6.9880456621243797e-06,7.0504329000515434e-06,8.3396124550752351e-11,3.3791300488294677e-06,-8.9027935434950732e-05,-2.0606630438791763e-05,2.1518641743069333e-05,8.5304423352376874e-10,2.4742896082555415e-05,8.9919392655740459e-06,
4,1379.6456925722939,0.01892607970738179,1379.6646186520013,10542,869,-2.1575154164341679e-05,-7.0561367541868523e-06,7.0713589585298616e-06,7.7530087536493546e-11,1.6459432192919413e-06,-0.0001097537304896224,-2.7662767192978702e-05,2.8317491870124763e-05,1.4294616857064916e-09,2.5638832049582036e-05,1.5067955629032127e-05,
5,1379.61217704141,0.024022256436942113,1379.6361992978468,10542,869,-2.0123770820169443e-05,-7.107317598209341e-06,7.1079751190248922e-06,7.3350222380903886e-11,3.6323912838440682e-07,-0.00012855577895090392,-3.4770084791188022e-05,3.5217925875514907e-05,2.130949442385641e-09,2.4881486428839866e-05,2.2462338072187042e-05,
6,1379.5801122283578,0.029007204670885359,1379.6091194330288,10542,869,-1.9283197261690481e-05,-7.1475982159638896e-06,7.1475982159638896e-06,7.0174545842031989e-11,-4.8020136914531916e-07,-0.0001460329598435931,-4.191768300715171e-05,4.221546587020411e-05,2.9509492075972405e-09,2.2918121419381212e-05,3.1105955597282512e-05,
7,1379.5492490430943,0.033852921729961363,1379.5831019648242,10542,869,-1.8346855304459727e-05,-7.1803940653348337e-06,7.1803940653348337e-06,6.7682257372123842e-11,-1.156861042487614e-06,-0.00016310539766111324,-4.9098077072486675e-05,4.9286604380581486e-05,3.8845941924728452e-09,2.0758401181133768e-05,4.0947507382856263e-05,
8,1379.519405312664,0.038537289714385636,1379.5579426023785,10542,869,-1.7415080175026064e-05,-7.207789428080126e-06,7.207789428080126e-06,6.5688134893426203e-11,-1.7608235534322387e-06,-0.00017918759917118229,-5.6305866500566683e-05,5.6415433463129933e-05,4.9282603591613353e-09,1.8035959584931073e-05,5.1948792445919632e-05,
9,1379.4904408860323,0.043044479213168535,1379.5334853652455,10542,869,-1.6594538109271783e-05,-7.2311285077094971e-06,7.2311285077094971e-06,6.4070940518387981e-11,-2.1637418354604276e-06,-0.00019442145240790878,-6.353699500827614e-05,6.3595449176756069e-05,6.0792627859989577e-09,1.4827776738598036e-05,6.4081509027215017e-05,
10,1379.4622438982581,0.047364565709137087,1379.5096084639672,10542,869,-1.5834692966238195e-05,-7.2513202815488779e-06,7.2513202815488779e-06,6.2745558019409778e-11,-2.4435420488944291e-06,-0.00020891795582819774,-7.0788315289825281e-05,7.081326880327589e-05,7.3356317070865303e-09,1.1175070917527703e-05,7.7324893824399119e-05,
