Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,1226.59,0,1226.59,10605,813,0,0,0,0,0,0,0,0,0,0,0,
1,625.28323773049988,1.0790568985558924e-13,625.28323773049999,10605,813,-0.75076973069505915,-0.19348584579963743,0.28332056107567244,0.11420052410716908,1,-0.75076973069505915,-0.19348584579963743,0.28332056107567244,0.11420052410716908,1,1210.9823576324209,
2,528.6795518622946,2.7829845011498583e-13,528.67955186229483,10605,813,-0.65716734441564506,-0.069318557615693846,0.12805748206559231,0.026894804360180682,0.48718514624646242,-1.4054180780284098,-0.26280440341533079,0.39898240787374406,0.23799627916932864,1.4871851462464625,2523.712544311561,
3,488.31574926925282,4.6244299467664465e-13,488.31574926925327,10605,813,-0.61388176738333688,-0.025508550198198827,0.074763650470485457,0.0097274213315314065,0.24195357258455827,-2.0192998454117466,-0.2883129536135306,0.45744849465367665,0.31934553358305723,1.6923539365260534,3386.3400381147389,
4,462.7390981963444,6.5602539491303821e-13,462.73909819634508,10605,813,-0.70688302746846288,-0.019384947106032314,0.058652140969524265,0.006676292479881483,0.16886686806867679,-2.7261828728802096,-0.30769790071956293,0.50056186245132095,0.388487994603463,1.8187469718299876,4119.5266947751215,
5,444.23914674960912,8.6760513781533433e-13,444.23914674960997,10605,813,-1,-0.020102691987090748,0.052415783989737591,0.0064721530900656013,0.1280967852044067,-3.7261828728802096,-0.3278005927066539,0.53906535216920803,0.46162651089352236,1.917011836642073,4895.0875215149108,
6,429.9106467965766,1.111295723096519e-12,429.91064679657774,10605,813,-1,-0.022206689724454338,0.04986358977159934,0.0075328289409235969,0.10478106835710571,-4.7261828728802096,-0.3500072824311074,0.57648227027547549,0.54781110842402025,1.9911182929905611,5808.9889937283106,
7,418.32747444485898,1.4089805901062365e-12,418.3274744448604,10605,813,-1,-0.025307834918118763,0.049641141199201051,0.0098375191758753953,0.097617194215622261,-5.7261828728802096,-0.37531511734922679,0.61476060517052966,0.65741777557727232,2.0492995543501142,6971.2580922213956,
8,408.68821528941169,1.7870515033528989e-12,408.68821528941345,10605,813,-1,-0.029232226948807678,0.051036198008354655,0.01312118822533943,0.091774373844829296,-6.7261828728802096,-0.40454734429803357,0.65533943837747177,0.80200071310041854,2.0962863551682145,8504.4155617168381,
9,400.49693337191678,2.2745692240120927e-12,400.49693337191906,10605,813,-1,-0.033866226644835712,0.053641228411407053,0.017169614792744366,0.083407443730039638,-7.7261828728802096,-0.43841357094287159,0.69927422343225809,0.9936590216794382,2.1350403438520407,10536.760265888763,
10,393.42759466935405,2.9056795722955531e-12,393.42759466935695,10605,813,-1,-0.039295843834349198,0.057387269198678141,0.022162375945949744,0.075043518459272041,-8.7261828728802087,-0.4777094147772174,0.74770676981229967,1.2471824645433078,2.1675332539426542,13225.122854017236,
11,387.2541334389349,3.7173403836418319e-12,387.2541334389386,10605,813,-1,-0.045382847869491177,0.062060146775740725,0.028008237313069229,0.067360363294659859,-9.7261828728802087,-0.52309226264670927,0.80152231748067149,1.5778243378999881,2.1951351353684876,16731.249279091473,
12,381.8199689429124,4.743198154629641e-12,381.81996894291711,10605,813,-1,-0.051881384988203785,0.067328065024258546,0.034248332170604495,0.060598531514362786,-10.726182872880209,-0.57497364763491632,0.8611474819994186,2.00121648455832,2.2188345854970648,21220.899602256424,
13,376.99617587478269,6.0248994041266401e-12,376.99617587478872,10605,813,-1,-0.059061443160896475,0.073415138713237252,0.041641954665781106,0.057905109624362815,-11.726182872880209,-0.63403509079580778,0.92732511860375988,2.5370874234071992,2.2393574384935304,26903.275037809941,
14,372.68573558558899,7.5870679381806524e-12,372.68573558559655,10605,813,-1,-0.065903829067903028,0.079282042327920396,0.048372544913443213,0.056991625401209542,-12.726182872880209,-0.6999389198637137,0.99988208971565629,3.1977958223142884,2.2572628108001438,33909.426899820712,
15,368.80454812701646,9.462725402069863e-12,368.8045481270259,10605,813,-1,-0.07315792207789816,0.085657068108051737,0.055701559637264829,0.055020869913372787,-13.726182872880209,-0.77309684194161299,1.0792379714147036,4.0010724465851419,2.2729844926956777,42427.372223588842,
16,365.29115759401037,1.1544916112099259e-11,365.29115759402191,10601,813,-1,-0.080084900977575285,0.091811673533633578,0.062600711786947649,0.052601060392396475,-13.766091732428404,-0.84797080070024589,1.1599499617385491,4.8853616173244312,2.2868552750330156,51804.374590108266,
17,362.09237821864048,1.3412190997985534e-11,362.09237821865389,10581,813,-1,-0.086392318708688201,0.097421129658134653,0.068763618474475402,0.050054870568811256,-13.804471077298695,-0.90861853607184728,1.2262194447013413,5.6282894372431933,2.3053055871674735,59682.381192526824,
18,359.16650753918515,1.4936361370696353e-11,359.1665075392001,10546,813,-1,-0.09112930743494975,0.10154759842322467,0.073354080512756062,0.047370400608621001,-13.799630603893636,-0.9557661311159692,1.2791784656372978,6.2218291851330481,2.3231469250516597,65976.276679150847,
19,356.47672594875633,1.62390946853156e-11,356.47672594877258,10500,813,-1,-0.09535315070470976,0.10522730246537543,0.077813141078670281,0.044841981423543398,-13.794515099256051,-0.9940301796893205,1.3234583684173782,6.7250302544197744,2.3397365656920086,71312.220817867288,
20,353.99780546189999,1.7500586298608017e-11,353.99780546191749,10449,813,-1,-0.098015303073882343,0.10740631084056265,0.080612423488386264,0.043433019436783071,-13.808623706238212,-1.0292963732212526,1.3648822691177911,7.2181819442546216,2.3552532272616733,76541.601336876003,
