Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,1379.81,0,1379.81,10542,869,0,0,0,0,0,0,0,0,0,0,0,
1,1296.3444512515728,5.8153399727227137,1302.1597912242955,10542,869,-0.067541031303516727,-0.012485947289686191,0.014527878858964172,0.0003950736833986355,0.02660366703518206,-0.067541031303516727,-0.012485947289686191,0.014527878858964172,0.0003950736833986355,0.02660366703518206,4.164471696705017,
2,1237.4887964509921,12.947028871950272,1250.4358253229425,10542,869,-0.043871129248497766,-0.011627630468166571,0.012116130460084874,0.00025726506677404111,0.01393812564134694,-0.1102647756925631,-0.02411357775785274,0.026348304426055267,0.0012691788195054912,0.040541792676529,13.378413936407382,
3,1192.740111395661,18.946541809683215,1211.6866532053441,10542,869,-0.033391041285177815,-0.010820868153940025,0.010952619626295561,0.00019206124112655608,0.0065714955203272744,-0.14214101250148223,-0.034934445911792587,0.036845791605060955,0.0024133929893412273,0.047113288196856271,25.439575500645876,
4,1157.3459145139529,23.855919863912728,1181.2018343778657,10542,869,-0.029097339825727809,-0.010077459720472781,0.010115259910070257,0.00015067273289673036,0.0033885048176645525,-0.16742464759373563,-0.045011905632265675,0.046487841868880393,0.0037237696230708454,0.049453791500555316,39.25225559678978,
5,1128.6475086200423,27.859730356535231,1156.5072389765776,10542,869,-0.026132835280480222,-0.0093921561336862084,0.0093976638101015073,0.00012145219490608045,0.0011505959559771713,-0.18817386725289428,-0.054404061765951708,0.05549925457115578,0.0051348890079113314,0.049212017158813057,54.126865032393347,
6,1104.9708555385428,31.118599885248379,1136.0894554237912,10542,869,-0.02334948899795632,-0.0087598247970429761,0.0087598247970429761,9.9673225101786324e-05,-0.00016652971049812732,-0.20602578968541391,-0.063163886562994681,0.063975522917064889,0.0066023471884961672,0.047336269999630622,69.595341713938097,
7,1085.1822093016144,33.761494302953523,1118.9437036045679,10542,869,-0.020631642228085102,-0.008175800648853827,0.008175800648853827,8.2885064250343561e-05,-0.0011035318748943276,-0.22197161941846352,-0.071339687211848524,0.071935000860760406,0.0080949707825016086,0.044417242857530563,85.329087018349455,
8,1068.4738973572423,35.893623340495267,1104.3675206977375,10542,869,-0.018148201555712794,-0.0076359488226873358,0.0076359488226873358,6.963382951228429e-05,-0.0017701249560573052,-0.23576785788888238,-0.078975636034536126,0.079408395551480451,0.0095905176679948485,0.04102219970315929,101.0936467383337,
9,1054.2481259380736,37.602345095991495,1091.8504710340651,10542,869,-0.0159970565923774,-0.0071368208464871775,0.0071368208464871775,5.8990431323473624e-05,-0.0022586454433766194,-0.24779892642514936,-0.086112456881022925,0.086419293485589008,0.011073098781217061,0.037964986787210629,116.72153425280905,
10,1042.0504317424002,38.960576279343989,1081.0110080217441,10542,869,-0.014128816328655902,-0.0066751271549373983,0.0066751271549373983,5.032123046504035e-05,-0.0026089666700415712,-0.25835870414874523,-0.092787584035959977,0.093000451656787816,0.012531372666848103,0.034672152978714281,132.09319928124586,
