Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,1379.81,0,1379.81,10542,869,0,0,0,0,0,0,0,0,0,0,0,
1,1377.4286695954756,0.23608402884689117,1377.6647536243224,10542,869,-0.0018958018251990735,-0.00033591143937042924,0.00038841404501937626,2.8963993566677626e-07,0.00064656662227063053,-0.0018958018251990735,-0.00033591143937042924,0.00038841404501937626,2.8963993566677626e-07,0.00064656662227063053,0.0030530945618634886,
2,1375.5120040210504,0.23564788085265612,1375.7476519019031,10542,869,-0.0011452943572713386,-0.0003415595162561405,0.00034833990700263985,2.3663887514692327e-07,0.00011402687978335557,-0.0030363991761094226,-0.0006774709556265705,0.00071109634891480008,9.9492001614546433e-07,0.0007605581637941841,0.010487451890189339,
3,1373.6059167021497,0.23501241607300288,1373.8409291182227,10542,869,-0.0011415398465919075,-0.00034072151278431603,0.00034751048399110309,2.3535798001292526e-07,0.00011374620086784343,-0.004173164943669227,-0.0010181924684108889,0.0010511097557792458,2.1695951180330515e-06,0.00087409796029899647,0.022869702139186394,
4,1371.7101162086067,0.23438090705320816,1371.9444971156599,10542,869,-0.0011379106929028642,-0.00033988620451173021,0.00034668414359542883,2.3408837855762486e-07,0.00011373722432828698,-0.0053063284395817832,-0.0013580786729226147,0.001394675998692706,3.8099082824053352e-06,0.00098762901655808375,0.040160243204834641,
5,1369.8245221901711,0.23375347535669089,1370.0582756655278,10542,869,-0.0011343024096744398,-0.00033905458950289478,0.00034586145841177939,2.3282867056405557e-07,0.00011372813070410199,-0.0064359105852608827,-0.0016971332624255121,0.0017388194683377281,5.9120877523654923e-06,0.0011011515543640383,0.062319316997684657,
6,1367.9490552966099,0.23313008232876173,1368.1821853789386,10542,869,-0.0011307147468524604,-0.00033822664260403076,0.00034504240324164189,2.3157875263227083e-07,0.00011371889552829101,-0.0075619317749942919,-0.0020353599050295435,0.0020827817778205863,8.472397353053948e-06,0.0012146654302901529,0.089307540498541671,
7,1366.0836370042753,0.23251068966795563,1366.3161476939433,10542,869,-0.0011271475308369916,-0.00033740233802897747,0.00034422695247941884,2.3033852280890214e-07,0.00011370951916032533,-0.0086844122317708584,-0.0023727622430585148,0.0024262266549492529,1.148713611123081e-05,0.0013281705010818397,0.12108590174848398,
8,1364.2281896051134,0.23189525955203466,1364.4600848646653,10542,869,-0.0011236005900417787,-0.00033658165024577429,0.00034341508077256818,2.2910788048356563e-07,0.0001137000020593117,-0.0098033720094772431,-0.002709343893304295,0.0027690733825351688,1.4952637841544883e-05,0.0014416666239540593,0.15761575548772461,
9,1362.3826361959086,0.23128375463070575,1362.6139199505394,10542,869,-0.0011200737547849397,-0.00033576455397366344,0.00034260676301850436,2.2788672636662542e-07,0.00011369034468249751,-0.010918830994768263,-0.0030451084472779633,0.003111282599660042,1.8865270738705668e-05,0.0015551536565894494,0.19885881885669646,
