Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,1226.59,0,1226.59,10605,813,0,0,0,0,0,0,0,0,0,0,0,
1,625.2832377304992,1.3379291402257846e-16,625.2832377304992,10605,813,-0.7507697306950597,-0.19348584579963735,0.28332056107567266,0.11420052410716935,1,-0.7507697306950597,-0.19348584579963735,0.28332056107567266,0.11420052410716935,1,1210.9823576324238,
2,528.67955186229415,3.2347599391808995e-16,528.67955186229415,10605,813,-0.65716734441564761,-0.069318557615694013,0.12805748206559256,0.026894804360180789,0.48718514624647302,-1.4054180780284129,-0.2628044034153309,0.3989824078737445,0.23799627916932922,1.4871851462464729,2523.7125443115669,
3,488.31574926925236,5.0488162108749222e-16,488.31574926925236,10605,813,-0.61388176738334987,-0.025508550198198983,0.074763650470485804,0.0097274213315315314,0.24195357258455924,-2.019299845411763,-0.2883129536135311,0.45744849465367726,0.31934553358305828,1.6923539365260667,3386.3400381147499,
4,462.7390981963436,6.8394132202092397e-16,462.7390981963436,10605,813,-0.70688302746853293,-0.019384947106032665,0.058652140969524758,0.0066762924798817189,0.16886686806867768,-2.7261828728802957,-0.30769790071956338,0.50056186245132195,0.38848799460346528,1.8187469718299956,4119.5266947751461,
5,444.23914674960866,8.790054979281711e-16,444.23914674960866,10605,813,-1,-0.020102691987091487,0.05241578398973866,0.0064721530900661581,0.12809678520440745,-3.7261828728802957,-0.32780059270665501,0.53906535216920981,0.46162651089352763,1.9170118366420821,4895.0875215149672,
6,429.91064679657603,1.1113617350071797e-15,429.91064679657603,10605,813,-1,-0.022206689724456146,0.049863589771601401,0.0075328289409253846,0.10478106835710686,-4.7261828728802957,-0.35000728243111068,0.57648227027547949,0.54781110842403569,1.9911182929905713,5808.9889937284743,
7,418.32747444485813,1.4096979192925537e-15,418.32747444485813,10605,813,-1,-0.025307834918122062,0.049641141199204847,0.0098375191758788942,0.097617194215628159,-5.7261828728802957,-0.37531511734923312,0.61476060517053677,0.65741777557731051,2.0492995543501253,6971.2580922218003,
8,408.68821528941078,1.8074215948487957e-15,408.68821528941078,10605,813,-1,-0.029232226948812744,0.051036198008360151,0.013121188225344849,0.091774373844834556,-6.7261828728802957,-0.40454734429804484,0.65533943837748365,0.80200071310049659,2.0962863551682265,8504.4155617176657,
9,400.49693337191565,2.3397783308920067e-15,400.49693337191565,10605,813,-1,-0.033866226644844878,0.053641228411416712,0.017169614792755458,0.083407443730043815,-7.7261828728802957,-0.43841357094289196,0.69927422343228007,0.99365902167959708,2.1350403438520531,10536.760265890447,
10,393.42759466935274,3.0496938566207038e-15,393.42759466935274,10605,813,-1,-0.039295843834362167,0.057387269198691533,0.022162375945966508,0.075043518459277259,-8.7261828728802957,-0.47770941477725148,0.74770676981233586,1.2471824645435925,2.1675332539426675,13225.122854020256,
11,387.25413343893348,3.981467193497792e-15,387.25413343893348,10605,813,-1,-0.045382847869505603,0.062060146775755748,0.028008237313086295,0.067360363294661288,-9.7261828728802957,-0.52309226264675679,0.80152231748072156,1.5778243379004255,2.1951351353685018,16731.249279096111,
12,381.81996894291115,5.1793645043375862e-15,381.81996894291115,10605,813,-1,-0.051881384988225795,0.067328065024281208,0.034248332170631827,0.060598531514363681,-10.726182872880296,-0.57497364763498504,0.86114748199948976,2.0012164845590061,2.2188345854970799,21220.8996022637,
13,376.99617587478161,6.6980734925700202e-15,376.99617587478161,10605,813,-1,-0.059061443160920477,0.073415138713261913,0.041641954665811103,0.057905109624367873,-11.726182872880296,-0.63403509079590248,0.9273251186038568,2.5370874234081837,2.2393574384935464,26903.275037820382,
14,372.68573558558762,8.571984482386556e-15,372.68573558558762,10605,813,-1,-0.065903829067929659,0.07928204232794768,0.048372544913473939,0.056991625401214843,-12.726182872880296,-0.69993891986383516,0.99988208971577996,3.197795822315638,2.2572628108001607,33909.426899835024,
15,368.8045481270147,1.0847641698889149e-14,368.8045481270147,10605,813,-1,-0.073157922077931092,0.085657068108085238,0.055701559637303236,0.055020869913376798,-13.726182872880296,-0.77309684194176687,1.0792379714148612,4.0010724465869432,2.2729844926956955,42427.372223607948,
16,365.29115759400912,1.3349268159244718e-14,365.29115759400912,10601,813,-1,-0.080084900977615919,0.091811673533674962,0.062600711786993307,0.052601060392400201,-13.766091732429366,-0.84797080070044062,1.1599499617387483,4.8853616173268231,2.2868552750330342,51804.37459013363,
17,362.092378218639,1.5445336208331876e-14,362.092378218639,10581,813,-1,-0.086392318708742782,0.097421129658189609,0.068763618474543417,0.050054870568815774,-13.804471077299119,-0.90861853607209597,1.2262194447015937,5.6282894372463588,2.3053055871674846,59682.381192560388,
18,359.16650753918378,1.707947814461763e-14,359.16650753918378,10546,813,-1,-0.09112930743501195,0.10154759842328737,0.073354080512832265,0.047370400608623638,-13.799630603894757,-0.95576613111627984,1.2791784656376128,6.221829185137147,2.3231469250516712,65976.276679194314,
19,356.47672594875445,1.8484286947025269e-14,356.47672594875445,10500,813,-1,-0.095353150704781384,0.10522730246544755,0.077813141078754991,0.044841981423548033,-13.794515099258273,-0.99403017968970653,1.3234583684177676,6.7250302544249196,2.3397365656920206,71312.220817921843,
20,353.99780546189845,1.9828924872162071e-14,353.99780546189845,10449,813,-1,-0.098015303073989923,0.10740631084066998,0.080612423488522045,0.043433019436790073,-13.808623706238535,-1.0292963732217455,1.3648822691182896,7.2181819442614517,2.3552532272616857,76541.601336948428,
21,351.70181095156642,2.0939557462010441e-14,351.70181095156642,10390,813,-1,-0.10033042514731386,0.10927634121936383,0.08285174749642818,0.042615968403391755,-13.794123843642824,-1.0566417272727286,1.3983362420619438,7.6405880778871742,2.3698322744871234,81020.795977915594,
22,349.56743371564608,2.15632650494822e-14,349.56743371564608,10319,813,-1,-0.10191549018230672,0.11046877717035797,0.084372878687433248,0.041565040029295841,-13.815057644122302,-1.0701491916892714,1.4180712639893001,7.9001085364477932,2.3835890243652549,83772.750920492399,
23,347.58077418608684,2.1396789668037719e-14,347.58077418608684,10233,813,-1,-0.1015740879802066,0.10977892814386263,0.08403240920710163,0.040249584668955514,-13.796070504006849,-1.0639460420132119,1.4184061631025719,7.8878170899508646,2.3966086479653903,83642.412421838962,
24,345.72776956617719,2.1767360651542127e-14,345.72776956617719,10157,813,-1,-0.10140391484893299,0.10929104505413789,0.084245413591925708,0.03910652921071648,-13.796004344341178,-1.0716844196011077,1.4331329379799747,8.0709497868738644,2.4089438120374935,85584.351540010452,
25,343.99445434628035,2.162104691101628e-14,343.99445434628035,10071,813,-1,-0.1011443167688143,0.10872432308026346,0.084040280884546681,0.038020745998038355,-13.80514603022373,-1.0638707869660453,1.4318847161206096,8.0656433995905008,2.4206727500524323,85528.082609257675,
26,342.36717379061707,2.1822360069638479e-14,342.36717379061707,9993,813,-1,-0.099634360415802314,0.10693542005775851,0.082613565016942669,0.037112411418513867,-13.800884025485733,-1.0655886608519907,1.4404878222108659,8.1911582999975074,2.4318600247899704,86859.042613173573,
27,340.83631042452225,2.133060920211397e-14,340.83631042452225,9902,813,-1,-0.098353770385172165,0.10539478792896934,0.081250766249769457,0.036074049955691335,-13.798538204585711,-1.0464506324551783,1.4279309151110295,8.0432446100455248,2.4425584894708607,85290.565844922749,
28,339.39384464375263,2.0642200164804333e-14,339.39384464375263,9809,813,-1,-0.096524093887931595,0.10333571719035016,0.0793140237352013,0.034970110690006315,-13.802696021930533,-1.0228358176037464,1.4113667338434497,7.8271962501922374,2.4528021756755969,82999.589037038488,
29,338.03087556430813,2.0337059370190755e-14,338.03087556430813,9726,813,-1,-0.094394109117876976,0.10099259490250863,0.077180801622547354,0.03386388628173894,-13.80877936822532,-1.0100259665550462,1.4056615957155807,7.751306960188983,2.4626059460949206,82194.859005843973,
30,336.7413431636586,2.0116426133053673e-14,336.7413431636586,9648,813,-1,-0.092856527343692832,0.099253072082485308,0.075947879530247508,0.03259174296533969,-13.808044620488557,-1.0007050655317751,1.4030284333934719,7.7241588655787856,2.4720067286829663,81906.980610597442,
31,335.52075918513572,1.9822451986968152e-14,335.52075918513572,9569,813,-1,-0.092056590101186386,0.098261473476971867,0.075438944555061838,0.031245962622634071,-13.814415462195285,-0.987727416519393,1.3965302856252584,7.6502283350465241,2.4810395892861221,81123.02126483334,
32,334.36489776135898,1.9684794163941729e-14,334.36489776135898,9494,813,-1,-0.091568905397431427,0.097592132811446658,0.075434845517129909,0.029708084735307439,-13.81454734498722,-0.97916748651686059,1.3945009995309867,7.6425946556669446,2.4897322825787542,81042.073728692281,
33,333.26976218720432,1.8935275524545594e-14,333.26976218720432,9410,813,-1,-0.088890206076311942,0.094737514250650176,0.072616574495501324,0.028333724126604155,-13.811060647729768,-0.95355744766160855,1.3752427408074912,7.3874575473212145,2.4980886419813406,78336.599831794156,
34,332.22956230407402,1.7983912832814735e-14,332.22956230407402,9325,813,-1,-0.087175794748204138,0.092860209498981244,0.070907909269114985,0.027105828886470455,-13.763699027219122,-0.92445060990998784,1.3529034491655867,7.0713464758747406,2.5061284680043019,74984.558030175744,
35,331.24037132411974,1.7909158110422304e-14,331.24037132411974,9259,813,-1,-0.085754521430871269,0.09129088231243819,0.07012618780115841,0.026050558008209945,-13.81424464548499,-0.92084905681181872,1.3561340965665523,7.1007699256844878,2.513876356755798,75296.564291958304,
36,330.29854871175576,1.7737268265318057e-14,330.29854871175576,9191,813,-1,-0.084548459807133144,0.089935808987273491,0.068790814834650924,0.025294044034294187,-13.76474276542903,-0.91049756195948373,1.3517416422145805,7.0559148326579564,2.5213561485016118,74820.920885504966,
37,329.40012745756712,1.7407712134156459e-14,329.40012745756712,9122,813,-1,-0.083133599567228281,0.088380664526185163,0.067347842630289353,0.025685240049431061,-13.808924568838966,-0.89664972378476326,1.3439462172096168,6.9581135760885848,2.5285883306899506,73783.836360843357,
38,328.54218743754552,1.7234531473877011e-14,328.54218743754552,9057,813,-1,-0.081898501220893927,0.087016670523763107,0.066392357085839265,0.025983293007573939,-13.791886910372003,-0.88688637943160309,1.3402881568922311,6.912325507701147,2.5355822436439643,73298.299683662961,
39,327.72207575993161,1.7575077411067361e-14,327.72207575993161,9002,813,-1,-0.081993916285512503,0.086987468437596138,0.066625695434990972,0.026251754542005425,-13.780431415787303,-0.8913485008595472,1.3506499303561115,7.080379115543737,2.5423441070443293,75080.340141225781,
