Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,1226.59,0,1226.59,10605,813,0,0,0,0,0,0,0,0,0,0,0,
1,625.28323805748937,1.7618566291394464e-07,625.28323823367498,10605,813,-0.75076973052581664,-0.19348584584440648,0.28332056082660501,0.11420052387193898,1,-0.75076973052581664,-0.19348584584440648,0.28332056082660501,0.11420052387193898,1,1210.9823551380409,
2,528.67955225354672,4.0770409837581033e-07,528.6795526612508,10605,813,-0.65716734420215805,-0.069318557585192828,0.12805748192865105,0.026894804308946748,0.48718513474050323,-1.4054180776357952,-0.26280440342960021,0.39898240754284364,0.23799627876292206,1.4871851347405032,2523.7125400020254,
3,488.31574971432599,6.2521923003423479e-07,488.31575033954522,10605,813,-0.61388176713584641,-0.025508550155535537,0.074763650306869725,0.0097274212915144567,0.24195357143971374,-2.0192998447716417,-0.28831295358513576,0.45744849419996614,0.31934553296341411,1.6923539217042711,3386.3400315440431,
4,462.73909868655517,8.254997220708052e-07,462.73909951205491,10605,813,-0.70688302715113571,-0.019384947016115456,0.058652140767895454,0.0066762924334318897,0.16886686713599877,-2.7261828719227772,-0.30769790060125068,0.50056186183158335,0.38848799366375458,1.8187469614369693,4119.5266848104538,
5,444.23914727966996,1.0128076411581334e-06,444.23914829247758,10605,813,-1,-0.02010269186310807,0.052415783751222633,0.0064721530311969361,0.12809678434707217,-3.7261828719227772,-0.32780059246435994,0.53906535135068212,0.46162650949501793,1.9170118247801837,4895.0875066851704,
6,429.91064736312711,1.1907864849896019e-06,429.91064855391357,10605,813,-1,-0.022206689560315105,0.049863589487847616,0.0075328288566711248,0.10478106767250292,-4.7261828719227772,-0.3500072820246739,0.57648226921622503,0.54781110635079411,1.9911182797698983,5808.9889717438209,
7,418.32747504533239,1.3623878188368117e-06,418.32747640772021,10605,813,-1,-0.025307834713324786,0.049641140869757031,0.009837519074217314,0.097617193674014446,-5.7261828719227772,-0.37531511673799922,0.61476060382655517,0.65741777256734613,2.0492995398518516,6971.2580603041379,
8,408.68821592255478,1.5303347252086624e-06,408.68821745288949,10605,813,-1,-0.029232226683922943,0.051036197615635721,0.01312118808292545,0.091774373308278728,-6.7261828719227772,-0.40454734342192111,0.65533943669104577,0.8020007087474863,2.0962863394591817,8504.4155155583449,
9,400.49693403592158,1.6973161106614902e-06,400.49693573323771,10605,813,-1,-0.033866226311619452,0.05364122794606279,0.017169614603693092,0.083407443206465162,-7.7261828719227772,-0.43841356973354006,0.69927422133909478,0.99365901544281843,2.1350403269904645,10536.760199755647,
10,393.42759536270563,1.8659224257225012e-06,393.42759722862803,10605,813,-1,-0.039295843386955048,0.057387268615883828,0.022162375638163485,0.07504351795547605,-8.7261828719227772,-0.47770941312049603,0.74770676717880102,1.2471824554803734,2.1675332359807613,13225.122757913879,
11,387.25413415850574,2.0383925143511989e-06,387.25413619689823,10605,813,-1,-0.045382847319163679,0.062060146086675913,0.028008236902191605,0.06736036281115243,-9.7261828719227772,-0.52309226043966028,0.80152231421185038,1.5778243248562758,2.1951351163542672,16731.249140775948,
12,381.81996968675998,2.2160426601952379e-06,381.81997190280265,10605,813,-1,-0.05188138433291814,0.067328064228614912,0.03424833167073435,0.060598531049588081,-10.726182871922777,-0.57497364477257984,0.86114747799460745,2.0012164661652689,2.2188345654752228,21220.899407216511,
13,376.99617664223138,2.3999519445622682e-06,376.99617904218331,10605,813,-1,-0.059061442391713445,0.073415137802139041,0.041641954060555375,0.057905109300318718,-11.726182871922777,-0.6340350871642938,0.92732511374664273,2.537087398103206,2.239357417506505,26903.274769486397,
14,372.68573637573439,2.5901994571051115e-06,372.68573896593387,10605,813,-1,-0.065903828179237345,0.079282041295611921,0.048372544206395543,0.056991625029817215,-12.726182871922777,-0.6999389153435307,0.99988208389121491,3.1977957882821233,2.2572627888882679,33909.426538943633,
15,368.80454893863663,2.7871020486686052e-06,368.80455172573869,10605,813,-1,-0.073157921057627417,0.085657066943316124,0.055701558801698733,0.055020869540953379,-13.726182871922777,-0.77309683640115856,1.0792379644785568,4.0010724016251542,2.2729844698984736,42427.371746833138,
16,365.29115842647781,2.9858298761772575e-06,365.2911614123077,10601,813,-1,-0.080084899821101507,0.09181167223328951,0.062600710840117701,0.052601059980038334,-13.766091732352292,-0.84797079400331887,1.1599499535605342,4.8853615591238295,2.2868552513910241,51804.373972949092,
17,362.09237907035589,3.161926946471541e-06,362.09238223228283,10581,813,-1,-0.086392317357284601,0.097421128164470391,0.068763617281921277,0.050054870137615087,-13.804471036208131,-0.90861852802098775,1.226219435090768,5.6282893627359591,2.305305573260962,59682.380402452109,
18,359.16650840973551,3.3093506775913905e-06,359.1665117190862,10546,813,-1,-0.091129305956794387,0.10154759680938871,0.073354079229670119,0.047370400162149731,-13.799630607436466,-0.95576612157173257,1.2791784544420308,6.2218290917732251,2.3231469105309106,65976.275689163274,
19,356.47672683650296,3.4621601175944834e-06,356.47673029866309,10500,813,-1,-0.095353149095178127,0.10522730072627222,0.077813139645211207,0.044841980889775451,-13.794515062507333,-0.99403016850388415,1.3234583554985337,6.7250301392316851,2.3397365505573138,71312.21959641279,
20,353.99780636623541,3.6024815332706597e-06,353.99780996871692,10449,813,-1,-0.098015301312463096,0.10740630895504895,0.080612421929472627,0.043433017579759023,-13.808623664277853,-1.0292963602253975,1.3648822543145291,7.2181818039128105,2.3552532115148588,76541.599848691447,
21,351.70181187152861,3.7243784541670559e-06,351.70181559590708,10390,813,-1,-0.10033042345078517,0.10927633940157215,0.082851746123181497,0.042615966568481232,-13.794123782589285,-1.0566417125164165,1.3983362254305565,7.6405879119444275,2.3698322581298621,81020.794218258714,
22,349.56743465079529,3.8146833804878024e-06,349.56743846547869,10319,813,-1,-0.10191548826710135,0.11046877513779016,0.08437287701367005,0.041565038307270777,-13.815057619363211,-1.0701491749339493,1.4180712452870265,7.9001083426328824,2.3835890074072377,83772.748865279078,
23,347.58077513479668,3.8630758998248655e-06,347.58077899787259,10233,813,-1,-0.10157408604098324,0.10977892609353458,0.084032407472620391,0.04024958292652684,-13.796070473463235,-1.0639460232033853,1.41840614226673,7.8878168669206357,2.3966086304160918,83642.410056826426,
24,345.72777052714332,3.9584503939587585e-06,345.72777448559373,10157,813,-1,-0.10140391286062501,0.10929104296164817,0.084245411843333964,0.039106527428446808,-13.796004240007415,-1.0716843986448952,1.4331329149371805,8.0709495322397746,2.4089437939246752,85584.348839870567,
25,343.99445532004302,4.010619838928329e-06,343.99445933066283,10071,813,-1,-0.10114431484956761,0.10872432105464926,0.084040279311204308,0.038020744090077913,-13.805145967553067,-1.063870763933771,1.4318846909382501,8.0656431141349447,2.4206727313776959,85528.079582286955,
26,342.36717477743031,4.081780783132608e-06,342.36717885921109,9993,813,-1,-0.099634358268314585,0.10693541780923031,0.082613563024352341,0.037112409496523856,-13.800883966158386,-1.0655886354755515,1.4404877945726877,8.1911579777550099,2.4318600055533173,86859.039196114129,
27,340.83631142276931,4.134385861840881e-06,340.83631555715516,9902,813,-1,-0.098353768741498426,0.10539478618299988,0.081250765072926182,0.036074048510082564,-13.798537864093881,-1.0464506052370102,1.427930885546955,8.0432442613266844,2.4425584696931488,85290.562147108154,
28,339.39384565347984,4.1738335391381777e-06,339.39384982731337,9809,813,-1,-0.09652409210878711,0.10333571531481198,0.079314022443263674,0.034970109300422055,-13.802695863533174,-1.0228357883562809,1.4113667021905243,7.8271958715572953,2.4528021553780084,82999.585021993553,
29,338.03087658460453,4.2252742115929533e-06,338.03088080987874,9726,813,-1,-0.094394107149908771,0.10099259283993299,0.077180800197051397,0.033863884939827671,-13.808779303769722,-1.0100259350623244,1.4056615617577943,7.7513065473196825,2.4626059252687083,82194.85462777791,
30,336.74134419420085,4.2551725701458436e-06,336.74134844937345,9648,813,-1,-0.09285652526973881,0.099253069909908911,0.075947877686682777,0.032591741724261422,-13.808044399640469,-1.0007050316963371,1.4030283970341091,7.7241584220323904,2.4720067073320737,81906.975907231463,
31,335.52076022412075,4.3003749619341016e-06,335.52076452449569,9569,813,-1,-0.092056587910700149,0.098261471190630154,0.075438942729686154,0.031245961559826094,-13.814415299169259,-0.98772738021992579,1.3965302467203735,7.6502278572417532,2.4810395674155683,81123.016198191544,
32,334.36489880808648,4.3325462814674361e-06,334.36490314063275,9494,813,-1,-0.091568902916339998,0.097592130234783067,0.07543484340224943,0.02970808364440056,-13.814547108618937,-0.97916744743661555,1.3945009577672636,7.6425941367162684,2.4897322602223886,81042.068225739305,
33,333.26976324153401,4.3504511986703964e-06,333.26976759198521,9410,813,-1,-0.088890204184574773,0.09473751226631881,0.07261657274017376,0.028333722895868555,-13.811060516117267,-0.95355740638090147,1.3752426967705891,7.3874569990163765,2.4980886191309968,78336.59401756966,
34,332.22956336554063,4.3457748504615872e-06,332.2295677113155,9325,813,-1,-0.087175792495271645,0.092860207158375549,0.0709079073561171,0.027105827549860795,-13.763698823628992,-0.9244505660078518,1.3529034024419009,7.0713458961797135,2.5061284446679259,74984.551883089676,
35,331.24037239142751,4.3948112796906848e-06,331.24037678623881,9259,813,-1,-0.085754519547000266,0.091290880342743935,0.07012618666563844,0.026050556563691308,-13.814244267630176,-0.92084901062562885,1.3561340475119861,7.1007693128113019,2.5138763329259741,75296.557793051048,
36,330.29854978594449,4.4315658441119501e-06,330.29855421751034,9191,813,-1,-0.084548457181971959,0.089935806275142138,0.068790812580052763,0.025294043104091442,-13.764742639789841,-0.91049751281891234,1.3517415901375407,7.0559141810835158,2.5213561241680158,74820.913976209602,
37,329.4001285388332,4.4645534033815105e-06,329.4001330033866,9122,813,-1,-0.083133597063201642,0.088380661931853649,0.067347840595204017,0.025685239023452353,-13.808924283903711,-0.8966496717765936,1.3439461621743947,6.9581128816426911,2.5285883058578591,73783.82899693909,
38,328.54218852433416,4.5012168098271739e-06,328.542193025551,9057,813,-1,-0.081898498680153406,0.087016667895615074,0.06639235483733108,0.025983291998905225,-13.791886482976782,-0.88688632448929494,1.3402880988712917,6.9123247662358374,2.5355822183437664,73298.291821164821,
39,327.72207685308956,4.5524220734146418e-06,327.72208140551163,9002,813,-1,-0.081993913320960302,0.086987465385652427,0.066625693429354427,0.026251753560434153,-13.780431072275865,-0.89134844255838164,1.3506498689304494,7.0803783181577824,2.5423440813187423,75080.331685745128,
40,326.93802372275178,4.5308610060738565e-06,326.9380282536128,8928,813,-1,-0.081072508932576601,0.085941724168010283,0.065802582618839922,0.026388571142831524,-13.757523201649153,-0.86429791028359926,1.3289711468130951,6.8162752994873204,2.5488673898152205,72279.783275763548,
41,326.1888086570346,4.5531715764222841e-06,326.18881321020615,8861,813,-1,-0.079425574499472934,0.084185865571267088,0.064332645778874195,0.026241192416099009,-13.806144919030329,-0.84720901771064749,1.3182380059216749,6.6687893341895199,2.5551644479152595,70715.842099745671,
42,325.47112922590003,4.5656641711919088e-06,325.47113379156423,8798,813,-1,-0.078056642529573408,0.082708262521188458,0.063582303434766341,0.02587548087390025,-13.785181845205475,-0.83344598289396832,1.310493825249619,6.5620403888815231,2.5612506697974089,69583.876283699676,
43,324.78333170598114,4.606668567564818e-06,324.78333631264968,8744,813,-1,-0.077372060458273745,0.081921515894047295,0.06339291737580971,0.025483161107807361,-13.802497188053167,-0.8319898468066893,1.3148766097498534,6.6370140838515397,2.567141389388174,70378.89734516172,
44,324.1231627900674,4.617280279702192e-06,324.12316740734769,8684,813,-1,-0.075350988656968709,0.07979748965013661,0.06122048273658922,0.025129766432930044,-13.796891222659228,-0.81767898942634121,1.3059136576847417,6.5370962681781961,2.5728485808005663,69319.368827761587,
45,323.48835258402607,4.6198348081086763e-06,323.48835720386086,8626,813,-1,-0.074811842575600862,0.079165405573638853,0.061099351388757883,0.024747796258171362,-13.808352252615922,-0.80586728605579661,1.2997825149896549,6.4737904118768563,2.5783791619285159,68648.07352754219,
46,322.87895129433804,4.6540234825069163e-06,322.87895594836152,8576,813,-1,-0.073842913788014164,0.078110893957454575,0.060694119158706164,0.024330752103439809,-13.805187659366798,-0.80504810555827766,1.3045494021560931,6.5705164281057185,2.5837236017218932,69673.756203633035,
47,322.29339812475166,4.6607289416501384e-06,322.29340278548062,8518,813,-1,-0.072503467498496232,0.076683236463503363,0.0594004705349261,0.025768026188402904,-13.803631950444583,-0.78881006103672135,1.2934419129655379,6.4699850275959969,2.5888565313715053,68607.721232627955,
48,321.72970546993065,4.6755737922876113e-06,321.72971014550444,8469,813,-1,-0.070997596702319393,0.075097755532016933,0.057919859371045525,0.026556649278446434,-13.804679845425596,-0.7857046953300062,1.2959481867250975,6.5576535810167362,2.5937853263208068,69537.358573101475,
