Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,1379.81,0,1379.81,10542,869,0,0,0,0,0,0,0,0,0,0,0,
1,1334.0451073087038,4.5084505977493308,1338.5535579064531,10542,869,-0.037704578469377283,-0.0066360447770005115,0.0076653421498309691,0.00011315103828588866,0.012612287384068653,-0.037704578469377283,-0.0066360447770005115,0.0076653421498309691,0.00011315103828588866,0.012612287384068653,1.1927250945715524,
2,1299.7775192873685,4.4454307232594603,1304.222950010628,10542,869,-0.022550650797284261,-0.0065997945206928733,0.00673608487795387,8.9012243443904135e-05,0.0023475663167077799,-0.059925096616514573,-0.013235839297693432,0.013910309475476054,0.00038205111587771205,0.014945814264346787,4.0272008124669627,
3,1268.0015371104348,4.3080940904399325,1272.3096312008747,10542,869,-0.022097903737155252,-0.0064555092793719196,0.0065996045509032902,8.5571391133896252e-05,0.0022964491587374866,-0.081588299008596835,-0.019691348577065369,0.020356987872480192,0.00081814287351842361,0.017102645601037098,8.6240440297577035,
4,1238.4576872770849,4.1778808914988996,1242.6355681685839,10542,869,-0.021672636727417777,-0.0063128001441195561,0.0064653867498106997,8.2231180525983301e-05,0.002278970694458158,-0.10282191793417293,-0.02600414872118487,0.026754070421025105,0.0014117362982477501,0.019243720669504839,14.881112319829533,
5,1210.9825157472676,4.0554905312344784,1215.0380062785021,10542,869,-0.021246421779644115,-0.0061719612643500775,0.0063325500402956333,7.8977564258448857e-05,0.0022611788438073026,-0.12362958216128005,-0.032176109985535085,0.033044775415354319,0.0021530107771338407,0.021371021853022698,22.694886601767816,
6,1185.425883301908,3.9404142104077486,1189.3662975123157,10542,869,-0.020820026168275101,-0.006033015969210697,0.006201129984553448,7.5810739342944405e-05,0.0022429738320622972,-0.14401155457242668,-0.038209125954745744,0.039215929837461812,0.0030324243606587365,0.023484034828994922,31.964785185703743,
7,1161.6488156344287,3.8321615785578884,1165.4809772129865,10542,869,-0.020393803003636937,-0.0058959814308807467,0.0060711627688162604,7.2730888063908398e-05,0.0022243773344961778,-0.1639683736711057,-0.044105107385626355,0.045264234306426933,0.0040407238660329862,0.025582244537956374,42.593270271853704,
8,1139.5226489000702,3.7302727952341934,1143.2529216953044,10542,869,-0.019968113245768613,-0.005760871445073177,0.0059426788809386708,6.9738060174436277e-05,0.0022054226343649931,-0.18350093355078587,-0.049865978830699577,0.051189801091244887,0.0051689479509513967,0.027665172998923217,54.485880350978675,
9,1118.9282342974234,3.6343391069029933,1122.5625734043265,10542,869,-0.019543315851641044,-0.0056276979109301413,0.0058156977838333818,6.6832153792152963e-05,0.0021861416822912525,-0.20261048252732006,-0.055493676741629659,0.056992704589251424,0.0064084294330213785,0.029732378124599456,67.551254653478352,
