Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,1379.81,0,1379.81,10542,869,0,0,0,0,0,0,0,0,0,0,0,
1,695.27419006144953,0.00019803382033681204,695.27438809526984,10542,869,-0.68804427407895496,-0.17781050328386749,0.25994322646350942,0.097088275834541909,1,-0.68804427407895496,-0.17781050328386749,0.25994322646350942,0.097088275834541909,1,1023.4075155719063,
2,592.85356594488178,0.00048577384815831414,592.85405171872992,10542,869,-0.50980641235727231,-0.054733431185231857,0.11394250361092187,0.019753154263471157,0.51303236412037279,-1.1978506864362273,-0.23254393446909885,0.36392949953903664,0.19505130675161378,1.5130323641203729,2056.0358244687609,
3,550.18896087609062,0.00077153538317041755,550.18973241147376,10542,869,-0.44584110970034124,-0.01735074992720069,0.064556032852005479,0.0068364664748021154,0.24084568155022343,-1.5711289412472866,-0.24989468439630094,0.41440445431933565,0.25333262304742027,1.7266255119511451,2670.3791795428569,
4,522.50090812248993,0.00105575344988335,522.50196387593985,10542,869,-0.56044253849347869,-0.014178903599491605,0.051616895456683409,0.0049368583606346902,0.1745237847651811,-2.106227672726503,-0.26407358799579089,0.45227003302931434,0.30355993856790969,1.850750074920303,3199.8253124443359,
5,502.25913950623004,0.0013486796599919918,502.26048818589004,10542,869,-0.90800231888703942,-0.015543369664946629,0.046098667206570812,0.0046794432183980897,0.13571134729302697,-2.9082471745529079,-0.2796169576607378,0.48635663522284112,0.3567776570046261,1.9320183753251092,3760.7932824857639,
6,486.5024953019813,0.0016649959863488286,486.50416029796764,10542,869,-1,-0.017390112216811311,0.04347607801499135,0.0052202519147682043,0.12230564561788908,-3.9082471745529079,-0.29700706987755032,0.51894957110786544,0.41807162043765028,1.9886954812972044,4406.8929510332719,
7,473.7348187745207,0.0020264435374935242,473.73684521805819,10542,869,-1,-0.019767288939649796,0.042697549361792327,0.0065966579194845386,0.10849413565769836,-4.9082471745529084,-0.31677435881720167,0.55161621031600638,0.49357332589277314,2.0297605332965096,5202.7564282357216,
8,463.10971759054445,0.0024619413264085808,463.11217953187088,10542,869,-1,-0.022767953736977424,0.04330194849308374,0.0087705948915865559,0.095963711846613717,-5.9082471745529084,-0.33954231255417655,0.58560059772042916,0.59109684841110699,2.0602685332882231,6230.7518791014791,
9,454.09357783774328,0.0030134556051010205,454.09659129334841,10542,869,-1,-0.026644375436836277,0.045269225271105933,0.012218123953856016,0.085195712230957607,-6.9082471745529084,-0.36618668799101423,0.6221862252991508,0.72222916846128438,2.0833228887496866,7613.0176647503986,
10,446.33076988481054,0.003716372394968628,446.33448625720553,10542,869,-1,-0.03087644780971547,0.047931412445794283,0.015981376959308829,0.076090245514125965,-7.9082471745529084,-0.39706313580073127,0.6620024860628928,0.89703899391378683,2.1009314028820953,9455.6880348452269,
