Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,1379.81,0,1379.81,10542,869,0,0,0,0,0,0,0,0,0,0,0,
1,1296.3925757946583,7.9118891353870389,1304.3044649300455,10542,869,-0.067477002892807711,-0.012493052861429477,0.014510741472776794,0.00039464572374670872,0.024623511429655742,-0.067477002892807711,-0.012493052861429477,0.014510741472776794,0.00039464572374670872,0.024623511429655742,4.1599605740140566,
2,1241.637689365404,7.4629615715055637,1249.1006509369095,10542,869,-0.040600079344337639,-0.011595946551824209,0.011876765033336794,0.00026556045656871645,0.0048235796953135339,-0.10317124592637386,-0.024088999413253709,0.025455722844150878,0.0012366093997976482,0.02939845641552007,13.03509968326701,
3,1196.0377547002065,6.8663501024729889,1202.9041048026795,10542,869,-0.036377403925041275,-0.010667844307518838,0.010975047086746842,0.00022247673133248349,0.0045683887628822726,-0.13508471982068018,-0.034756843720772403,0.036115831068109887,0.0024700812150853838,0.033508661465806222,26.037126088215032,
4,1157.3919341320807,6.379613674082897,1163.7715478061637,10542,869,-0.03291796040371487,-0.0098564788791378772,0.01018671993812304,0.00018858165087746784,0.0044752150700751985,-0.1642098846453342,-0.044613322599910243,0.046157488332561315,0.0039988632983712167,0.037536566100773459,42.152018028130996,
5,1124.3027806348634,5.9806661664802174,1130.2834468013436,10542,869,-0.030001731075592807,-0.009140929827819666,0.0094903500396618639,0.0001614321200196086,0.0043811616799663807,-0.19096071204661536,-0.053754252427729944,0.055556884213339743,0.005748806546718002,0.041496260205904786,60.598169808954459,
6,1095.7239310620027,5.6489695047821931,1101.3729005667849,10542,869,-0.027509119009932775,-0.008504761345565711,0.0088702573509756022,0.00013936892500646068,0.0042862407907055689,-0.2156541944508375,-0.062259013773295839,0.06436953732116063,0.0076635086700362533,0.045384991476943609,80.781044890852144,
7,1070.8524639786597,5.3696819664807629,1076.2221459451405,10542,869,-0.025355774340992551,-0.0079352474529860474,0.0083144752892828841,0.00012121480878999008,0.0041905804209928024,-0.23854878502433821,-0.070194261226281571,0.072647274426398234,0.0096995528140503863,0.049200069512732168,102.24298621290512,
8,1049.0619233057382,5.1321349447736955,1054.1940582505119,10542,869,-0.023478269598180813,-0.0074222715286955364,0.0078133697998434351,0.00010611224253348822,0.0040944258526593108,-0.25985823153547571,-0.077616532754977319,0.080437130489726685,0.011823139513459849,0.052939300884775338,124.62771361138027,
9,1029.856687871694,4.9279088257609498,1034.7845966974551,10542,869,-0.021827933593790681,-0.0069579090149616413,0.0073603289418359289,9.3431113024280345e-05,0.0039980736873164056,-0.27976123658374685,-0.084574441769938308,0.087780269542937522,0.014007760587095033,0.056601003352141466,147.65580434856875,
10,1012.8391222655299,4.750887349061081,1017.5900096145909,10542,869,-0.020366809440318247,-0.0065355935978010701,0.0069522216918862113,8.2692995460466364e-05,0.0039017643509287147,-0.29840864266566269,-0.091110035367740053,0.094713897538199546,0.016232472280199875,0.060183894348488441,171.10649030558687,
11,997.6869395632508,4.5964845415031785,1002.283424104754,10542,869,-0.019064875487604018,-0.00614983157648453,0.0065822620621379608,7.3529573883001267e-05,0.0038056546673043349,-0.31592887366555078,-0.097259866944224505,0.10127401059234122,0.018480603962011032,0.06368699378938561,194.80404636355829,
12,984.13639098029523,4.4610439208524504,988.59743490114772,10542,869,-0.017898122990788193,-0.0057961366638498418,0.0062418565215247006,6.5655679715069827e-05,0.0037099708976274636,-0.33243215887499311,-0.10305600360807457,0.10748872223442593,0.020738822786391872,0.067109690720063855,218.60793099135674,
13,971.96968898425746,4.3412898204791519,976.31097880473658,10542,869,-0.016846729129271709,-0.0054709330312023123,0.0059277272098965149,5.8852049972659242e-05,0.0036148913040876625,-0.34801342997455886,-0.10852693663927705,0.11338389331599211,0.022996510263879034,0.070451651104350893,242.40621469154891,
14,961.00507487684706,4.2350438841951012,965.24011876104214,10542,869,-0.015895050642915697,-0.0051709075577989422,0.0056368221015843144,5.2938290328577735e-05,0.0036102848210519149,-0.36275550099332182,-0.11369784419707588,0.11898348809293335,0.025245124927377068,0.073712785579695642,266.10886185948169,
15,951.09027559551589,4.1402919268390157,955.23056752235493,10542,869,-0.015029927330885184,-0.0048933911582475448,0.0053666918337316166,4.7772550284219534e-05,0.0036637630892550079,-0.37673082667348357,-0.11859123535532307,0.1243095081179293,0.027477826540291711,0.076893203592448403,289.64376956121492,
16,942.09657209467889,4.0555339593061115,946.15210605398499,10542,869,-0.014240260874422917,-0.0046359962446889834,0.0051155878068245278,4.3237999175253074e-05,0.0037111287720097974,-0.39000301605857102,-0.12322723160001244,0.12938102865156495,0.029689112561795374,0.079993189841910048,312.95293551388505,
17,933.91464565185004,3.9794054549201632,937.89405110677023,10542,869,-0.013516763270141669,-0.0043967858081646882,0.0048830753751372014,3.9241567580322774e-05,0.0037529222394381808,-0.40262821561588746,-0.12762401740817714,0.13421518555552506,0.031874612502870187,0.083013155835320068,335.99029039275462,
18,926.45101892012701,3.9106216831803233,930.36164060330736,10542,869,-0.01285185682862409,-0.0041740424801436889,0.0046667363425849061,3.5706968160296331e-05,0.0037895942716947473,-0.4146564697410649,-0.1317980598883205,0.13882887033645641,0.034030900664940557,0.085953635792293315,358.71972390913839,
19,919.62510923449884,3.8483958502169742,923.47350508471584,10542,869,-0.012238921384407003,-0.0039662503875711056,0.0044639966951472015,3.2568645615226987e-05,0.0038215767642084154,-0.42613241979842026,-0.13576431027589175,0.14323698025838646,0.036155273932953008,0.088815300408703127,381.11274252725764,
20,913.36751112677086,3.7919378410302063,917.15944896780104,10542,869,-0.011672282902280817,-0.0037719646876123876,0.0042735390520390144,2.9772363312647313e-05,0.003849268014507903,-0.437096044096698,-0.13953627496350388,0.14745167956665478,0.038245620520952768,0.091598947610051107,403.14708591136315,
21,907.61800184904666,3.7406633343837568,911.35866518343039,10542,869,-0.011146954374188183,-0.0035899909458423341,0.0040942856813465387,2.7271855198950857e-05,0.0038728311387396554,-0.44758318089743587,-0.14312626590934666,0.15148611721406585,0.040300286340894442,0.094305484187951386,424.80531831936833,
22,902.32422872931818,3.693960043175168,906.01818877249332,10542,869,-0.010658576721367921,-0.0034193225327092155,0.0039253460389848194,2.5030065607559346e-05,0.0038926658936437371,-0.45762602297163202,-0.14654558844205554,0.15535184881457131,0.042318062019947145,0.096935893129325837,446.07469175226288,
23,897.44036044176426,3.6513168318870592,901.09167727365127,10542,869,-0.01020370219453162,-0.0032590342293036764,0.0037658875449230632,2.3014649255819646e-05,0.0039091129195580731,-0.46725390609482637,-0.14980462267135888,0.15905937543425239,0.044298081544902231,0.099491212059790154,466.9460775648144,
24,892.92616495023969,3.6122907211697317,896.53845567140945,10542,869,-0.0097788824170416833,-0.0031083088866934246,0.0036151860787218475,2.1198056694693071e-05,0.0039224582238336055,-0.47649322929618548,-0.15291293155805294,0.16261796403292206,0.046239761572351733,0.10197255157859905,487.41332673415963,
25,888.74620131545873,3.5764516894317215,892.32265300489041,10542,869,-0.0093811148374279649,-0.0029664625862757645,0.003472633560567406,1.9557576006025553e-05,0.0039329212660064051,-0.48536783034802122,-0.15587939414432814,0.16603678560513166,0.048142797275389497,0.10438113473243084,507.4732260798807,
26,884.86904725151896,3.5434915608331723,888.41253881235218,10542,869,-0.0090083426492512421,-0.0028327993486459038,0.0033376054432303049,1.807255477404788e-05,0.0039407463414900734,-0.49389984596628572,-0.15871219349297497,0.16932420267264933,0.050007073201748645,0.10671822255432226,527.12455861963247,
27,881.26689588255601,3.5132003392264672,884.78009622178251,10542,869,-0.0086583911127546768,-0.0027066277902012149,0.0032094736375259817,1.6724154193310549e-05,0.0039461450302601658,-0.50210955036024518,-0.16141882128317525,0.1724869904674132,0.051832570719805508,0.10898506394496775,546.36712795746985,
28,877.91511330384662,3.4853162813911154,881.4004295852377,10542,869,-0.0083292458141372566,-0.0025874284024420872,0.0030877881860268733,1.5497765198712557e-05,0.0039492691830115651,-0.51001548103115935,-0.16400624968561775,0.1755307674593381,0.053619432148264257,0.1111829193929962,565.20243427485354,
29,874.79172354425043,3.4596071377970765,878.25133068204752,10542,869,-0.0080190491636533672,-0.0024747185971485462,0.0029722470786725133,1.4380240078143029e-05,0.0039503311726253347,-0.51763456664622265,-0.16648096828276635,0.17846226704133236,0.055367916450942752,0.11331308118924786,583.63320730938756,
30,871.87709517319456,3.4357472109915941,875.31284238418618,10542,869,-0.0077263157170987685,-0.0023683172965721661,0.0028646102487882279,1.3361124937363023e-05,0.0039494295639268774,-0.52498244897644419,-0.16884928557933812,0.18128587145145997,0.057078448766994055,0.11537690709152176,601.66392845288431,
31,869.15350521959328,3.4136876952434272,872.56719291483671,10542,869,-0.0074497781040783334,-0.002267405466283904,0.0027631027984087527,1.2428961322405774e-05,0.0039467319610191334,-0.53207369163664586,-0.17111669104562263,0.1840068945512992,0.05875143623825782,0.11737580887852755,619.2988893874757,
32,866.60519271020428,3.3932623011218577,869.99845501132609,10542,869,-0.0071879561169553314,-0.0021716333670396483,0.0026661808515244206,1.1574871626491257e-05,0.0039423800305865772,-0.53892154183340113,-0.17328832441266187,0.18662903700892794,0.060387343695158399,0.11931119788507624,636.54298989066467,
33,864.21793874783737,3.3743285868551904,867.59226733469256,10542,869,-0.0069395592267279564,-0.0020808261660595789,0.0025737167640720875,1.079103513062187e-05,0.0039365087927186399,-0.54553810509006195,-0.17536915057872168,0.18915767567810901,0.061986695331120029,0.12118445968258018,653.40175548533625,
34,861.97893015874968,3.3567569771628643,865.33568713591251,10542,869,-0.0067038761990513276,-0.0019945723844938725,0.0024854935219048367,1.0070717662831862e-05,0.0039292206884317627,-0.55193488958588932,-0.17736372296321526,0.19159679907193164,0.063550053228594916,0.12299701268949605,669.88111108261899,
35,859.87656593136796,3.3404318081176059,863.21699773948558,10542,869,-0.0064797460605685283,-0.001912667054596048,0.002402070040740889,9.4080343516012504e-06,0.003920544032685761,-0.55812236680563676,-0.17927639001781134,0.19395073634154297,0.065078034833229076,0.12612515927329021,685.98756517706772,
36,857.90034253417855,3.3252549095258179,861.22559744370437,10542,869,-0.0062665902388772026,-0.0018347612787109157,0.0023230764414991999,8.7973146153354037e-06,0.0039106442546503065,-0.56411050695643505,-0.18111115129652167,0.19622224369113395,0.066571263405829126,0.12995461421896501,701.72768756084486,
37,856.04073388126983,3.3111471686396841,859.35188104990948,10542,869,-0.0060635368365967784,-0.0017606500806136164,0.0022475455798079773,8.2335153889365274e-06,0.0038996318758747449,-0.56990850073280408,-0.18287180137713624,0.19841520123489204,0.068030360718249777,0.13377541074146662,717.10803233107094,
38,854.28908744970397,3.2980411689380262,857.58712861864194,10542,869,-0.0058695483340533861,-0.0016900817079061698,0.002175118557971849,7.7122898979416659e-06,0.0038876012315539814,-0.57552460094024671,-0.18456188308504204,0.20053279234672669,0.0694559534911494,0.13758644257915795,732.13520575020584,
39,852.63759442586627,3.2857940452437955,855.92338847111012,10542,869,-0.0056838303455642933,-0.0016229325063241318,0.0021056909232396257,7.230070411183225e-06,0.0038745743067043403,-0.58096632849922336,-0.18618481559136615,0.20257886371911754,0.070848694136475696,0.14138663888992048,746.81608489259031,
40,851.07900895227965,3.2744045619962101,854.35341351427587,10542,869,-0.0055059751783566877,-0.0015589659580522606,0.002039057298492279,6.7832262417387884e-06,0.0038557632064053493,-0.58624086215427285,-0.18774378154941843,0.20455667372121711,0.072209233234611384,0.14517505398685165,761.15752752603862,
