Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,1379.81,0,1379.81,10542,869,0,0,0,0,0,0,0,0,0,0,0,
1,695.27374172195039,3.9830656245817747e-10,695.27374172234875,10542,869,-0.68804485554804606,-0.17781051655808161,0.2599435219502701,0.097088531005661338,1,-0.68804485554804606,-0.17781051655808161,0.2599435219502701,0.097088531005661338,1,1023.4102053306761,
2,592.85306432776031,8.0020202271810576e-10,592.85306432856055,10542,869,-0.50980866136532421,-0.054733529929761361,0.11394271625327565,0.019753236777548124,0.51304443649103293,-1.1978535169133702,-0.23254404648784349,0.36392997813700301,0.19505186762173241,1.5130444364910329,2056.0417366006814,
3,550.18838515954087,1.0393034835424826e-09,550.1883851605802,10542,869,-0.44586160250040868,-0.017350901835454832,0.064556337450388759,0.0068365558018782246,0.24084825287506895,-1.571139718458638,-0.2498949483232977,0.41440517061200888,0.25333363292702771,1.7266407565349251,2670.3898246837989,
4,522.5002494067777,1.2453654482990913e-09,522.50024940802302,10542,869,-0.56055642265077887,-0.014179221629047679,0.051617392592307548,0.0049370195214965759,0.17452614605218947,-2.1063343103866523,-0.26407416995234512,0.45227116019012803,0.30356191269949606,1.8507678331791508,3199.846121765388,
5,502.25838962569748,1.4637020291583679e-09,502.25838962716119,10542,869,-0.90818962556158289,-0.015544019091378498,0.046099534383161223,0.0046799248475039414,0.13571240395944423,-2.9087370528401113,-0.27961818904372399,0.48635852102413335,0.35678217040652738,1.9320384511530004,3760.8408582552051,
6,486.50164668840756,1.7151803291884989e-09,486.50164669012275,10542,869,-1,-0.017391115464187624,0.0434773513590015,0.0052209415379671793,0.12230680597180806,-3.9087370528401113,-0.29700930450791252,0.51895257955699869,0.41808083086304459,1.9887177605625062,4406.9900381273528,
7,473.73386243994435,2.0249694839340355e-09,473.73386244196934,10542,869,-1,-0.019769175245864308,0.042699761876722531,0.0065982311884124371,0.10849536599616803,-4.9087370528401113,-0.31677847975377527,0.55162123682290809,0.49359295341032933,2.0297849216431665,5202.9633218982817,
8,463.10864153803635,2.4251558050592495e-09,463.10864154046152,10542,869,-1,-0.022771602405500944,0.04330598658561529,0.008774189968064592,0.095964920648296509,-5.9087370528401113,-0.33955008215927773,0.58560942348469391,0.59113968175650511,2.0602949433724103,6231.2033853953208,
9,454.09239156480754,2.9632887539754334e-09,454.09239156777085,10542,869,-1,-0.026649768033860405,0.045275082219805481,0.012223469950167478,0.08519698393940095,-6.9087370528401113,-0.36619985019313744,0.62220061995063025,0.72231135307814642,2.083351241372994,7613.8839727967415,
10,446.32947097759848,3.6807507470906006e-09,446.3294709812792,10542,869,-1,-0.030885641993061482,0.047941114944657651,0.015991290820600815,0.076091501482797891,-7.9087370528401113,-0.3970854921861996,0.66202625245845348,0.8971950671049761,2.1009615762505001,9457.3332023535531,
11,439.55811623875911,4.6284970825874178e-09,439.55811624338759,10542,869,-1,-0.035692978779257187,0.051419021127666074,0.02036634295122151,0.068384372343111566,-8.9087370528401113,-0.43277847096545602,0.70586829630457715,1.1282113448974023,2.1145010007190006,11892.475786563517,
12,433.58293750833292,5.8713619287540567e-09,433.58293751420427,10542,869,-1,-0.041281293814579859,0.055868735736832799,0.025956115408327839,0.061894575930326906,-9.9087370528401113,-0.47405976478003531,0.75467538888360008,1.4311637276253832,2.1249908251634637,15085.896852899165,
13,428.26913405967468,7.4631072469160364e-09,428.26913406713777,10542,869,-1,-0.0469887187765324,0.060586277230770307,0.03172296013752382,0.056340491046166168,-10.908737052840111,-0.52104848355656841,0.80865358493849249,1.8191568696959772,2.1331762372114387,19175.732563465295,
14,423.51200768575308,9.4537106031745258e-09,423.51200769520676,10542,869,-1,-0.052675194188627837,0.065389284844623863,0.037427349341395064,0.051574975396168732,-11.908737052840111,-0.5737236777451945,0.86783014740965447,2.3043729667678621,2.1396011948958926,24290.395442700035,
15,419.22149632897651,1.1891079570044128e-08,419.22149634086759,10542,869,-1,-0.058374735629037673,0.070299539001952807,0.042881084834149381,0.047488768989335857,-12.908737052840111,-0.63209841337423389,0.93231370049902995,2.8984896467736143,2.1446711968742433,30552.979366640669,
16,415.33119978754701,1.4771203917700397e-08,415.33119980231822,10541,869,-1,-0.06462758459209525,0.075857477933852155,0.049399669149040926,0.043985455309350954,-13.589165065976907,-0.69541547713935381,1.0013735466530285,3.6005294030403641,2.1486914697386066,37953.180437448478,
17,411.79311821585918,1.773088707451585e-08,411.79311823359006,10534,869,-1,-0.070215765199480598,0.080818682669658623,0.055086186407113803,0.040946590564548274,-13.78912915145553,-0.75652269870648325,1.0679140390130073,4.3223719332940567,2.1518921973586522,45562.122548852654,
18,408.55589452880639,2.0737789901519969e-08,408.55589454954418,10521,869,-1,-0.074963970432958812,0.084994483598794426,0.059668144210937912,0.038218055424335116,-13.698415551818107,-0.81493968049670817,1.1316062494520012,5.0587435957376856,2.154449566730765,53324.216242670947,
19,405.57585962700267,2.2996878985336935e-08,405.57585964999953,10492,869,-1,-0.079161905651257608,0.088683803341655709,0.063745770252625553,0.035723073024559557,-13.788070771981669,-0.85702758269443902,1.1789104356925315,5.6167544956108886,2.1565023102692567,59206.209138234379,
20,402.82447667514953,2.4621933433169895e-08,402.82447669977148,10451,869,-1,-0.081451931532083521,0.090529226237354807,0.065938819321066905,0.034573495252239121,-13.806505184127369,-0.88686093502537655,1.2142753646458111,6.0302809639567645,2.158159711233989,63565.191641068253,
21,400.27431995814209,2.561866227397427e-08,400.27431998376073,10399,869,-1,-0.082989778809207354,0.091662420009270565,0.067264098686639601,0.035672992496569342,-13.756399065650751,-0.90458947082644259,1.2377396651247918,6.299012056364437,2.1595056006697351,66397.886086137529,
22,397.901757132716,2.6214772147493275e-08,397.90175715893076,10340,869,-1,-0.08390429846694214,0.092213267889449349,0.067917728429520943,0.036532772126451056,-13.795556610839785,-0.91463316053899413,1.2537250247931144,6.4778152220780436,2.1606077633794047,68282.650255924658,
23,395.68664622196218,2.6174735604246589e-08,395.68664624813692,10272,869,-1,-0.084336614733358281,0.092318930086981527,0.068396465572715087,0.037047889779256223,-13.805733508795997,-0.91333231284781391,1.2584721752597394,6.5048314780820329,2.1615215359867435,68567.42861046271,
24,393.61923337680173,2.5958254673327555e-08,393.61923340275996,10202,869,-1,-0.084089493186575145,0.091777771221714627,0.068268854985806496,0.037352312240477074,-13.804255230443806,-0.90932025406945072,1.2607141210909463,6.4937421700441957,2.1622883929649053,68450.536214435866,
25,391.68531558130343,2.648431545393636e-08,391.68531560778774,10142,869,-1,-0.084059454062200542,0.091466723692750093,0.068310482069728728,0.03719324633488718,-13.793691312625404,-0.9183671404299264,1.2759992378329195,6.6708056216601479,2.1629405896732794,70316.96205791962,
26,389.87124179328487,2.6487445119884379e-08,389.87124181977231,10075,869,-1,-0.084114201032037719,0.091254586702601614,0.068559933683902993,0.036345628011372637,-13.804530959740658,-0.91664647861855786,1.2800793413114713,6.7110669086523309,2.1729410298929555,70741.356284104215,
27,388.1686552389628,2.5398959994128614e-08,388.16865526436175,9995,869,-1,-0.082777689416396585,0.089675088123072871,0.06717724257349629,0.035162622678407751,-13.814723561664803,-0.89581865631587965,1.2652374556491555,6.4780794342866903,2.1823476494209024,68285.435316816001,
28,386.56616295389472,2.5179682660401313e-08,386.56616297907442,9928,869,-1,-0.081852734874009431,0.088524677453175341,0.066735357898524819,0.03396301420373786,-13.781026362167509,-0.89223129965628545,1.2680755085090532,6.4735601671971841,2.1911166673644416,68237.797722425516,
29,385.05441506955651,2.5477650754318715e-08,385.05441509503419,9868,869,-1,-0.081504383980828238,0.087958849104356127,0.066490928829955734,0.032643895910961382,-13.812401318876582,-0.89626276498271673,1.2780142275990614,6.5943749896001922,2.1992989868344743,69511.30676537563,
30,383.62585638440834,2.5191502701448675e-08,383.62585640959986,9801,869,-1,-0.080539457067283396,0.086788968126121718,0.065567531498975345,0.031204802375481334,-13.788503672223984,-0.88844962360202162,1.2757896536835394,6.55996055170964,2.2069456419149671,69148.544175571311,
31,382.27264515740615,2.4367731475030037e-08,382.2726451817739,9728,869,-1,-0.079274273886318622,0.085338547084481894,0.064054176900125187,0.029753378675020821,-13.805568434064593,-0.87089641601195711,1.2640630872206904,6.3888296159999181,2.214113089274834,67344.652982255138,
32,380.98949944139508,2.5130127723811741e-08,380.98949946652522,9677,869,-1,-0.078641024892060124,0.08453767688862461,0.063881392958148486,0.028511552236454865,-13.80249787466051,-0.8836435675397788,1.2828554485665735,6.6381652814025101,2.2208503567263493,69972.900231263862,
33,379.7716213818826,2.4056101495499523e-08,379.77162140593867,9602,869,-1,-0.077725809832601231,0.083454036143563184,0.062434452407509118,0.027445666649518047,-13.813090814952222,-0.85895153404254687,1.2632698968348779,6.3879523699574072,2.2271949096697066,67335.405931721034,
34,378.61305508003193,2.405878588956955e-08,378.61305510409073,9543,869,-1,-0.076710670595316596,0.082293629398305812,0.062006993968781371,0.026470689077786005,-13.814685525941751,-0.85748122589731723,1.2678855184411961,6.4385714428447907,2.2331729398702338,67868.981579026935,
35,377.51015396560643,2.360957681492094e-08,377.51015398921601,9479,869,-1,-0.075823095910724281,0.08126059984905061,0.060870302820908585,0.02535660087658868,-13.79165230418287,-0.84595220157522433,1.2617651549511484,6.3574224621073441,2.2388120167704586,67013.59017307352,
36,376.45984613439884,2.2885457355556072e-08,376.45984615728429,9412,869,-1,-0.075593381552351804,0.080893570544090992,0.061163427507697973,0.02413097326174489,-13.792854029333887,-0.82960568794002554,1.2510114865813111,6.2040483422624764,2.2441384837428955,65396.873575788763,
37,375.46098179016138,2.2271959694378234e-08,375.46098181243332,9349,869,-1,-0.073777435988343035,0.078947146660933179,0.05977256427858426,0.0228223497842013,-13.802069958903523,-0.81681346986336978,1.243936132533066,6.0807190796309243,2.249168874459829,64096.859818389574,
38,374.51008295222368,2.2208846535343806e-08,374.51008297443252,9294,869,-1,-0.073146086027645746,0.07818970567634384,0.059691898002104914,0.031999170150681495,-13.812206973799153,-0.81418740570526071,1.2468327708027218,6.1043521713554076,2.2538767828374109,64345.976238257354,
39,373.60288289685457,2.1585435879102476e-08,373.60288291844,9232,869,-1,-0.072242440556068002,0.077158642387101448,0.058846913342752147,0.051574670766123161,-13.777542564036766,-0.79908517795059153,1.2368677830479735,5.9681147837955217,2.2582614827229159,62909.897935988593,
40,372.73563713583354,2.2085890887824613e-08,372.73563715791943,9186,869,-1,-0.071046629264671673,0.075846395931542035,0.057962745298743769,0.060793923185051432,-13.81274879818276,-0.80666016459899015,1.2498909953250412,6.1474988027795465,2.2623416038006274,64800.7848800992,
41,371.90464996852467,2.2101489823128239e-08,371.90464999062618,9133,869,-1,-0.070606084416707598,0.075287378748268963,0.057401299818015304,0.060645942348473175,-13.815296248749041,-0.80159504370320311,1.249507776187911,6.1826501257125051,2.2661348049167009,65171.314975135516,
42,371.10727379150785,2.1465987833962406e-08,371.10727381297386,9073,869,-1,-0.068725839480823461,0.073300735724876498,0.055609581376651382,0.053299822138326937,-13.808024674017496,-0.78421050366343492,1.2371425881390645,6.0397262901499857,2.2696593088942021,63664.754824470998,
43,370.34194778160497,2.1107251226653006e-08,370.34194780271224,9018,869,-1,-0.067097229864896163,0.071575744085655826,0.053950361832661525,0.043700741434807303,-13.786586003819306,-0.77274491522476751,1.2310558879427007,5.9780689429659279,2.2729394710086273,63014.824727803847,
44,369.60642889753109,2.1204625720872455e-08,369.60642891873573,8970,869,-1,-0.065961533749170978,0.070341864458651232,0.052894696841451337,0.028728443058859656,-13.810192579761946,-0.7698837015304989,1.2333369236986522,6.0422796716927243,2.2759977733470977,63691.670019313009,
45,368.89924423133374,2.0374326346404595e-08,368.89924425170807,8910,869,-1,-0.065105526334628613,0.069391881377403875,0.052074915140287642,0.018763720155241307,-13.814207847436361,-0.74669756501068307,1.2149337251948171,5.8367556948868158,2.2788539820884055,61525.241779801923,
46,368.21882069637405,1.9543720775851335e-08,368.21882071591779,8853,869,-1,-0.062344844344515461,0.066546577718486974,0.049324229261463383,0.018526823292689343,-13.795861300249438,-0.72568862171172599,1.1993440001037345,5.636513762934892,2.2815264670657287,59414.491575096697,
47,367.56310751289715,1.7638774664242116e-08,367.56310753053594,8785,869,-1,-0.059275942325965524,0.063395327740985816,0.04600341451896723,0.018213645046090864,-13.81012621358045,-0.68351980333465501,1.162464581994372,5.1198741802791838,2.2840311234075195,53968.59373432288,
48,366.93006260230658,1.7435552326999661e-08,366.9300626197421,8742,869,-1,-0.057741838929692993,0.061789692480374962,0.044757844656982987,0.017876954507903359,-13.815066468648231,-0.67892952987211985,1.1637872177668933,5.1000644461659794,2.2863824828857648,53759.779327035591,
49,366.31875195226274,1.671895190596403e-08,366.3187519689817,8693,869,-1,-0.056974155621337605,0.060944984123438121,0.043803431998905872,0.017481421732392748,-13.783445111217816,-0.66180553317639601,1.1512207925941027,4.9145098491854133,2.288593929016919,51803.848320263445,
50,365.72799306007278,1.7003273755136891e-08,365.72799307707606,8658,869,-1,-0.056852643934875519,0.060750839547316166,0.044054049349118912,0.01719485383302093,-13.782846684179074,-0.66676419362995354,1.1610788461148671,5.0262618610127667,2.2935633754376155,52981.826276935572,
51,365.15789563824802,1.6624278958278833e-08,365.15789565487228,8614,869,-1,-0.057086120600847452,0.060908492565782728,0.044583934046142831,0.017008321737599138,-13.809473088298841,-0.65633521631287561,1.1547593471502731,4.9340969857117782,2.2994044387147867,52010.316326387852,
52,364.60837197538558,1.6371617487994481e-08,364.60837199175722,8573,869,-1,-0.055932791412305949,0.05968266686546448,0.043636027863019206,0.016879969894894598,-13.811471371225693,-0.6498629481293231,1.152906567880889,4.8839299180136209,2.3050642470128211,51481.505265781576,
53,364.0780353578607,1.6616675993706362e-08,364.07803537447739,8538,869,-1,-0.056278844089220993,0.059956069030506397,0.044040422797012369,0.016759301711015098,-13.798929565588761,-0.65284673930177362,1.1603249375954026,4.9807445780292001,2.3105519337635188,52502.028597005796,
54,363.56576844361439,1.6122544534623865e-08,363.56576845973694,8494,869,-1,-0.055324021901861559,0.058930675788106297,0.042924707764841731,0.016633119463117095,-13.797409768808272,-0.63964969904916635,1.1511973735180745,4.8524445952536208,2.3158778060303171,51149.618478568416,
55,363.07062130113667,1.5961378789874321e-08,363.07062131709807,8455,869,-1,-0.054955535492178714,0.058498523554255243,0.042813154524710705,0.01649839276774848,-13.80387043971578,-0.63448511151303966,1.1506340298724005,4.8288260578705904,2.3210504085836892,50900.65547601389,
56,362.59202193533486,1.6466395608764661e-08,362.59202195180126,8425,869,-1,-0.054854523457238041,0.058334255296790406,0.042979983587599579,0.016299087460411536,-13.813729220390027,-0.64324615213290892,1.1636891697582981,5.0045909158207058,2.3260764145376331,52753.392843666057,
