Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,1379.81,0,1379.81,10542,869,0,0,0,0,0,0,0,0,0,0,0,
1,1378.8541022584957,0.47653278573685853,1379.3306350442326,10542,869,-0.00075977109912871545,-0.00013452400359230583,0.00015553420097511736,4.6462571801673608e-08,0.00025867731819037305,-0.00075977109912871545,-0.00013452400359230583,0.00015553420097511736,4.6462571801673608e-08,0.00025867731819037305,0.0004897619693614415,
2,1378.8543859751887,0.47624862594471928,1379.3306346011334,10542,869,-5.7403309940381011e-08,4.5544065995297427e-08,4.7159789813079416e-08,5.7051156088043723e-15,3.3199643317644643e-07,-0.00075946028270936937,-0.00013447845952631015,0.00015549958437892139,4.6434865849133528e-08,0.00025875947795383922,0.00048946992091571649,
3,1378.8543858581036,0.47624874298172931,1379.3306346010852,10542,869,-1.4365425810509956e-10,-1.3656708132904578e-11,1.609253311766772e-11,8.6573219507579026e-22,4.9080234403338281e-11,-0.0007594604181098253,-0.00013447847318301815,0.00015549959965635406,4.6434877260395546e-08,0.00025875950231657528,0.00048947004120182948,
4,1378.8543858581456,0.47624874294070346,1379.3306346010863,10542,869,-2.8005682171655524e-14,5.6014779330836589e-15,6.2135545394193244e-15,1.4128638796305643e-28,6.0539779562486447e-14,-0.00075946041805335972,-0.00013447847317741622,0.00015549959965178864,4.6434877256395479e-08,0.00025875950232451934,0.00048947004115966475,
5,1378.8543858581456,0.47624874294072217,1379.3306346010863,10542,869,-3.6468699824732515e-17,-1.9682604463900481e-18,2.4359494945515989e-18,2.3864143958906482e-35,1.371437542747211e-17,-0.00075946041805338325,-0.00013447847317741828,0.00015549959965179081,4.6434877256397299e-08,0.00025875950232452156,0.00048947004115968394,
6,1378.8543858581456,0.47624874294072195,1379.3306346010863,10542,869,-1.1400030476689948e-19,4.8286974837571949e-22,7.8138818954437926e-21,4.6245956812335856e-40,3.4197106089692092e-19,-0.00075946041805338325,-0.00013447847317741828,0.00015549959965179081,4.6434877256397279e-08,0.00025875950232452156,0.00048947004115968372,
7,1378.8543858581456,0.47624874294072195,1379.3306346010863,10542,869,-1.1402135317730075e-19,9.4277833462759692e-23,7.6334582856930518e-22,2.8807276557642384e-41,1.1397626025095691e-19,-0.00075946041805338325,-0.00013447847317741828,0.00015549959965179081,4.6434877256397279e-08,0.00025875950232452156,0.00048947004115968372,
8,1378.8543858581456,0.47624874294072195,1379.3306346010863,10542,869,-5.7003378850523201e-20,-5.7039740738136118e-23,7.2355148925425079e-22,2.6565044476849316e-41,1.1402135317730075e-19,-0.00075946041805338325,-0.00013447847317741828,0.00015549959965179081,4.6434877256397279e-08,0.00025875950232452156,0.00048947004115968372,
9,1378.8543858581456,0.47624874294072195,1379.3306346010863,10542,869,-1.1402135317730075e-19,5.7715852746806407e-23,7.2287537724558035e-22,2.652166379606047e-41,5.7003378850523201e-20,-0.00075946041805338325,-0.00013447847317741828,0.00015549959965179081,4.6434877256397279e-08,0.00025875950232452156,0.00048947004115968372,
10,1378.8543858581456,0.47624874294072195,1379.3306346010863,10542,869,-5.7003378850523201e-20,-5.7039740738136118e-23,7.2355148925425079e-22,2.6565044476849316e-41,1.1402135317730075e-19,-0.00075946041805338325,-0.00013447847317741828,0.00015549959965179081,4.6434877256397279e-08,0.00025875950232452156,0.00048947004115968372,
