Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,1379.81,0,1379.81,10542,869,0,0,0,0,0,0,0,0,0,0,0,
1,1356.4317766562533,11.656416498608261,1368.0881931548615,10542,869,-0.018944501647204477,-0.0033422251645683762,0.0038622422609902586,2.8696957064915506e-05,0.0063854619547601488,-0.018944501647204477,-0.0033422251645683762,0.0038622422609902586,2.8696957064915506e-05,0.0063854619547601488,0.30249462442127434,
2,1356.596624365397,11.490504034793656,1368.0871284001907,10542,869,-3.5992813561308562e-05,2.738391214244034e-05,2.8441002887615126e-05,2.0662547999818064e-09,0.00019762716341920021,-0.018757831555356184,-0.0033148412524259254,0.0038414725882822171,2.8285447790974969e-05,0.0064350764149379231,0.29815690516466714,
3,1356.5949219326762,11.492205711735567,1368.0871276444118,10542,869,-2.2128608756178263e-06,-2.0376960273089186e-07,2.405878160771237e-07,1.9479271626404769e-13,7.303467565458813e-07,-0.018760044416231803,-0.0033150450220286658,0.0038417006996003845,2.8289666648297268e-05,0.0064354348699994946,0.29820137613970149,
4,1356.5949364571202,11.492191172143221,1368.0871276292635,10542,869,-1.1121288756962561e-08,2.0552350915597916e-09,2.2885333051034843e-09,1.9077295589552067e-17,2.2194601303664782e-08,-0.018760024130397186,-0.0033150429667935717,0.0038416990285332752,2.8289630552036234e-05,0.0064354377402658152,0.29820099564901392,
5,1356.594936302102,11.492191327102676,1368.0871276292048,10542,869,-3.4410662034856073e-10,-1.7686835693736603e-11,2.2031717291424812e-11,1.9470385898755059e-21,1.2584319028446573e-10,-0.018760024363222785,-0.0033150429844804223,0.003841699048084827,2.8289630936487138e-05,0.0064354377598927247,0.29820099970151093,
6,1356.594936303467,11.492191325736743,1368.0871276292037,10542,869,-4.5314966070237649e-12,1.8734039687528698e-13,2.2766554991799207e-13,2.0614557584416062e-25,2.6626149254312969e-12,-0.018760024361179937,-0.0033150429842930579,0.0038416990479331037,2.8289630933094666e-05,0.0064354377600363598,0.29820099966575087,
7,1356.5949363034536,11.492191325751939,1368.0871276292055,10542,869,-9.2684777470665965e-14,-1.6640582935829175e-15,2.3377969007793843e-15,2.3166801386782022e-29,3.3807204364670481e-14,-0.018760024361204167,-0.0033150429842947427,0.0038416990479350158,2.8289630933132409e-05,0.0064354377600370069,0.29820099966614871,
8,1356.5949363034536,11.492191325751815,1368.0871276292053,10542,869,-1.5458706477310166e-15,1.8942283672340577e-17,5.7205955695530831e-17,6.1029224897332292e-33,7.0300121766411754e-16,-0.018760024361203973,-0.0033150429842947228,0.0038416990479349928,2.8289630933132088e-05,0.0064354377600369947,0.29820099966614533,
9,1356.5949363034536,11.492191325751833,1368.0871276292055,10542,869,-2.1295586145062352e-16,3.7304891296445601e-19,4.332630296444346e-17,3.1327842594942523e-33,2.1581079655033215e-16,-0.018760024361203897,-0.0033150429842947193,0.0038416990479349955,2.8289630933132081e-05,0.0064354377600369826,0.29820099966614527,
10,1356.5949363034536,11.492191325751817,1368.0871276292053,10542,869,-2.0872887634706302e-16,-7.4100115190627206e-20,4.3994881823429411e-17,3.2264922570544814e-33,2.1357118582129087e-16,-0.018760024361203931,-0.0033150429842947193,0.003841699047934995,2.8289630933132091e-05,0.0064354377600369704,0.29820099966614538,
