Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,1226.59,0,1226.59,10605,813,0,0,0,0,0,0,0,0,0,0,0,
1,625.28356471291568,0.00034360843440494118,625.28390832135005,10605,813,-0.75076956145204243,-0.19348589056723842,0.28332031200934443,0.11420028888052658,1,-0.75076956145204243,-0.19348589056723842,0.28332031200934443,0.11420028888052658,1,1210.9798632891038,
2,528.67993937970277,0.0006527936136325477,528.68059217331643,10605,813,-0.65716682482223321,-0.069318379355485141,0.12805726709378751,0.026894719039397327,0.48717241711808584,-1.4054173793068339,-0.26280426992272454,0.39898195360057265,0.23799573210479177,1.4871724171180858,2523.7067432392118,
3,488.31618072607563,0.00087832487584108053,488.31705905095146,10605,813,-0.61388092009128736,-0.025508416183129243,0.074763443541068536,0.0097273676803587457,0.24195247765180944,-2.0192982993981214,-0.28831268610585309,0.45744784257794774,0.31934462493476312,1.6923374210175228,3386.330402808228,
4,462.73957168116459,0.0010700438908921889,462.74064172505547,10605,813,-0.70688208876203085,-0.019384818241601504,0.058651922368170892,0.0066762407067914708,0.16886593991274859,-2.7261803881601523,-0.30769750434745424,0.50056101464159963,0.38848667577031176,1.8187370740340945,4119.5127098683861,
5,444.23965825147809,0.00124330160106454,444.24090155307914,10605,813,-1,-0.020102540741175914,0.052415533303555299,0.0064720906887203436,0.12809593406664854,-3.7261803881601523,-0.32780004508863159,0.53906428649881666,0.46162466447246869,1.9170005140872348,4895.0679420660581,
6,429.91119308636746,0.0014027781015866995,429.91259586446904,10605,813,-1,-0.022206498871776975,0.049863294618197329,0.0075327407918912154,0.10478053504128836,-4.7261803881601523,-0.3500065439604092,0.5764809497796074,0.54780851791597873,1.9911056562672267,5808.9615239810382,
7,418.32805289099781,0.0015509688841421488,418.32960385988196,10605,813,-1,-0.025307605504184854,0.04964080434767501,0.0098374186742286335,0.097616769629807407,-5.7261803881601523,-0.37531414946459202,0.61475898988476396,0.65741419486906982,2.0492856848713674,6971.2201223916163,
8,408.68882473662984,0.0016896130044883519,408.69051434963433,10605,813,-1,-0.029231939212418189,0.051035801428211847,0.013121053224342469,0.091773878023392416,-6.7261803881601523,-0.4045460886770102,0.65533747225548056,0.8019957634500029,2.0962713204337979,8504.3630756238308,
9,400.49757212247522,0.00182012095677642,400.499392243432,10605,813,-1,-0.033865873480144922,0.053640763715342876,0.017169441757417078,0.083406923668326499,-7.7261803881601523,-0.4384119621571545,0.69927184417686805,0.99365221319381614,2.1350242034120259,10536.688068707226,
10,393.42826124668295,0.0019435986481202534,393.43020484533105,10605,813,-1,-0.039295379163013594,0.05738669241480758,0.02216209459283025,0.075043002456215438,-8.7261803881601523,-0.47770734132017079,0.74770385042946996,1.2471729201905883,2.167516062212095,13225.021645700999,
11,387.25482467937491,0.002060820337225531,387.25688549971215,10605,813,-1,-0.045382277495059735,0.06205946331837045,0.028007852139321669,0.067359859515446555,-9.7261803881601523,-0.52308961881522753,0.80151876317750226,1.5778109277547456,2.1951169428446557,16731.107077911322,
