Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,1379.81,0,1379.81,10542,869,0,0,0,0,0,0,0,0,0,0,0,
1,1375.0666064586869,2.3663016569562862,1377.4329081156432,10542,869,-0.0037795857193349334,-0.00067050130345126661,0.00077542544250138433,1.1535745845198834e-06,0.0012902133586949404,-0.0037795857193349334,-0.00067050130345126661,0.00077542544250138433,1.1535745845198834e-06,0.0012902133586949404,0.01215982969542409,
2,1375.0736254158105,2.3592683535736301,1377.4328937693842,10542,869,-1.4283499736332934e-06,1.0931189256418965e-06,1.1339349618729322e-06,3.4159140249876569e-12,8.1395841509834487e-06,-0.0037718435740668531,-0.0006694081845256243,0.00077454060789207749,1.1501457579526064e-06,0.001292253199695818,0.012123686434578423,
3,1375.07361132393,2.3592824426085888,1377.4328937665387,10542,869,-1.7518076376274405e-08,-1.6822318837861347e-09,1.9235855275706323e-09,1.2759518976488336e-17,5.9632061160540153e-09,-0.0037718610921432293,-0.00066940986675750999,0.00077454242087837374,1.1501526264023863e-06,0.0012922565059383471,0.012123758834907555,
4,1375.0736113486851,2.3592824178325769,1377.4328937665177,10542,869,-1.7194264140658267e-11,3.3633556368042812e-12,3.7117283759747858e-12,5.1098338372080588e-23,3.6419558513836233e-11,-0.003771861058418383,-0.00066940986339415526,0.000774542418045211,1.1501526143237924e-06,0.0012922565117949305,0.012123758707587095,
5,1375.0736113486314,2.3592824178851242,1377.4328937665166,10542,869,-1.1010760046570868e-13,-5.9298173004380461e-15,7.210584285164665e-15,2.1246976624008803e-28,4.2619380276357997e-14,-0.0037718610584935898,-0.0006694098634000827,0.00077454241805159575,1.1501526143494103e-06,0.0012922565118042057,0.012123758707857134,
6,1375.0736113486314,2.3592824178850327,1377.4328937665164,10542,869,-2.8579787423955571e-16,1.2399349801402471e-17,2.8585813865622802e-17,2.5560397622910196e-33,2.2270848366671069e-16,-0.0037718610584934471,-0.00066940986340007142,0.00077454241805158578,1.1501526143493656e-06,0.0012922565118041827,0.012123758707856662,
7,1375.0736113486314,2.359282417885034,1377.4328937665164,10542,869,-2.1348415564349582e-16,7.9015324090537751e-19,1.440695945910568e-17,1.583224520252371e-33,2.1853405540955921e-16,-0.0037718610584934471,-0.00066940986340006991,0.00077454241805158686,1.1501526143493656e-06,0.0012922565118041597,0.012123758707856662,
8,1375.0736113486314,2.3592824178850353,1377.4328937665164,10542,869,-2.1092762701733032e-16,-5.347220079558834e-19,1.4137234693542994e-17,1.5335074845612478e-33,2.160048612888317e-16,-0.0037718610584934471,-0.00066940986340007034,0.00077454241805158665,1.1501526143493654e-06,0.0012922565118041367,0.012123758707856661,
9,1375.0736113486314,2.3592824178850327,1377.4328937665164,10542,869,-2.1631517667194132e-16,-2.6161663325903393e-19,1.4417785784491285e-17,1.5967571255697221e-33,2.1673289238289724e-16,-0.0037718610584934471,-0.00066940986340007077,0.0007745424180515861,1.1501526143493662e-06,0.0012922565118041137,0.012123758707856669,
10,1375.0736113486314,2.3592824178850349,1377.4328937665164,10542,869,-2.1759596830997968e-16,5.3678313632989693e-20,1.4431655868283962e-17,1.5996835144588094e-33,2.183810933075458e-16,-0.0037718610584934471,-0.00066940986340007164,0.00077454241805158513,1.1501526143493658e-06,0.0012922565118040907,0.012123758707856664,
