Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,953.548,0,953.548,19996,493,0,0,0,0,0,0,0,0,0,0,0,
1,508.25050037675805,31.463772596115586,539.71427297287369,19996,493,-0.62217359549193607,-0.053500175218183392,0.22704064195199897,0.072700521976087062,0.97060653544167119,-0.62217359549193607,-0.053500175218183392,0.22704064195199897,0.072700521976087062,0.97060653544167119,1453.9377389997651,
2,434.49956756435148,55.65258804885822,490.15215561320969,19996,493,-0.36818730867506932,-0.019394550996320842,0.075630116214808515,0.0091212147341172539,0.26680364905097814,-0.96167055356257936,-0.072894726214504504,0.29197096072997564,0.12428108597539153,1.2374101844926493,2485.4974384218553,
3,407.43076420166136,67.336306556070483,474.76707075773186,19996,493,-0.19637057022629389,-0.0019767900462771891,0.03571377386677646,0.0020844087273162795,0.13936378427895105,-1.0773676650418422,-0.074871516260781451,0.31572895532729017,0.14590596817407517,1.3698028869720362,2917.9734575133293,
4,392.65503854772265,74.614559477314842,467.26959802503751,19996,493,-0.12864391235366121,-0.0022209573120448123,0.023016314410800227,0.00090233211021524767,0.098195129072682866,-1.0811925623685956,-0.077092473572826448,0.32966839755847743,0.15870031259954506,1.4457419233979063,3173.8475516783019,
5,383.24265765171282,79.751657032449401,462.99431468416219,19996,493,-0.101245513510919,-0.0022005335601114249,0.016495010779211849,0.00047730093076369621,0.077256329938318366,-1.1226983038120641,-0.079293007132937715,0.33935684518538167,0.16755958774252441,1.4925733239037084,3351.0241952627457,
6,376.75575839867884,83.584479364496246,460.34023776317508,19996,493,-0.079076402880376012,-0.0019253791999796657,0.012418116180598246,0.00027642610753992962,0.062182612860943468,-1.146419492066894,-0.081218386332917544,0.34656675584973351,0.17408398070363965,1.5225620109034284,3481.5055300920894,
7,372.05516906096443,86.540509762753402,458.59567882371783,19996,493,-0.061194472129268145,-0.0016351587733615782,0.0096432124430882882,0.00017033407470042059,0.051111285906522481,-1.1515856401452202,-0.082853545106278778,0.35214570195988032,0.1790576079864496,1.5421354859890666,3580.9731021210055,
8,368.52637976344681,88.87351398276941,457.39989374621621,19996,493,-0.049063578410555211,-0.001379912706092589,0.0076605321117119499,0.00011006675352775649,0.042766589111582924,-1.1505041876906414,-0.084233457812371848,0.35655642578949837,0.18293843382149558,1.5549978027092368,3658.5857379960898,
9,365.80568558122422,90.747862905562997,456.55354848678724,19996,493,-0.040331769105435324,-0.0011659291794716008,0.0061978960032372512,7.3865446904896456e-05,0.036311940047707568,-1.1479377098416772,-0.085399386991843323,0.36011279141806729,0.18602131290475424,1.5634205584177854,3720.2402367821801,
10,363.66349801539423,92.275723345813887,455.93922136120813,19996,493,-0.033259981832292763,-0.00098885210791649553,0.0050926384227687714,5.1121194291770397e-05,0.031202778480298631,-1.1454083061351716,-0.08638823909975972,0.36303319492123132,0.18850666669749666,1.5688579830388478,3769.9448272832356,
11,361.94779512487105,93.53638537280132,455.48418049767236,19996,493,-0.027949053329464187,-0.0008425582222431375,0.0042361249311686439,3.6288642084215761e-05,0.027077703325318534,-1.1432964092859959,-0.087230797322003104,0.36544817629973209,0.19053556151772222,1.5722695858688855,3810.5206947929269,
12,360.55409587242247,94.587398466402959,455.1414943388254,19996,493,-0.024978550417535397,-0.00072134275099761992,0.003561050264631179,2.6307015764405356e-05,0.02369052863176755,-1.1416234902503781,-0.087952140073000826,0.36747372640116605,0.19220983282153697,1.5743020507821914,3844.0044465979181,
13,359.40839233255934,95.471450535913917,454.87984286847325,19996,493,-0.022625882100641672,-0.00062039757014622587,0.003020121685822494,1.9408803951549858e-05,0.020868990877496794,-1.1403175884293912,-0.088572537643146834,0.36918588251490764,0.19360451813638099,1.5753976831637504,3871.8967582094833,
14,358.45693117178928,96.220796620570141,454.67772779235941,19996,493,-0.020388062572694793,-0.00053586921711736783,0.0025799574850432316,1.4533069047320161e-05,0.018489553924722367,-1.1392970368278013,-0.089108406860264208,0.37064898718060912,0.19477589327222691,1.5758620358856059,3895.3230895512661,
15,357.65982296658075,96.860216992377445,454.52003995895819,19996,493,-0.018278771589387451,-0.00046468714780183032,0.0022188399937456255,1.1020486214470442e-05,0.016461652148340812,-1.1384930056372304,-0.089573094008065748,0.37190118686743445,0.19576683803652328,1.5759070739191143,3915.1409938924289,
16,356.98691467791065,97.409031859249737,454.3959465371604,19996,493,-0.016307604014656363,-0.00040441859363207528,0.0019192087759399474,8.4483751378600419e-06,0.014717720066029236,-1.1378525919621225,-0.089977512601697882,0.37298124063815669,0.19661049856399654,1.5756806301140269,3932.0133607813668,
17,356.41504134995785,97.882506016102795,454.29754736606066,19996,493,-0.014643337041087792,-0.00035313365025473054,0.001668247868334628,6.538436171584407e-06,0.01325885162321983,-1.1373363778473171,-0.090330646251952793,0.37391623087329895,0.19733283218864126,1.57528544534389,3946.4593109406364,
18,355.92615155573282,98.292844315667921,454.21899587140075,19996,493,-0.013294147361559573,-0.00030929449281992912,0.0014566383713180773,5.1029346676338157e-06,0.011993758419472474,-1.136915287027763,-0.090639940744772579,0.37472721433768458,0.19795440684457752,1.5747926300508681,3958.8901824847057,
19,355.50600034176557,98.649909901979612,454.15591024374521,19996,493,-0.011981763097930694,-0.00027165795942543381,0.0012767592363495425,4.0124844189322463e-06,0.010871318691381721,-1.136567842902541,-0.090911598704198321,0.37543480584781386,0.19849169496840671,1.5742510076030956,3969.6354076731659,
20,355.14321898350289,98.961751072008411,454.10497005551133,19996,493,-0.010728054766199872,-0.00023921661832659107,0.0011228820393225608,3.1762871506530414e-06,0.0098718234322061321,-1.1362780807504873,-0.091150815322524822,0.37605593656960173,0.19895801736896385,1.5736936422576162,3978.961389361908,
21,354.82864345655952,99.234991000594533,454.06363445715408,19996,493,-0.0095488558606550249,-0.00021115349720901694,0.00099072103288114438,2.5296364544379416e-06,0.0089788938284396397,-1.1360340272963372,-0.091361968819733588,0.37660130683801235,0.1993642404286293,1.5731424664880522,3987.0854443321573,
22,354.55482082762552,99.475121053577979,454.02994188120351,19996,493,-0.0084976602734375423,-0.00018679847772284331,0.00087679249687327282,2.0257763387982804e-06,0.0082266190965206831,-1.1358266038394358,-0.091548767297456174,0.3770799737321272,0.19971929714880843,1.572611561696492,3994.1862236790198,
23,354.31563820986929,99.68672773234816,454.00236594221747,19996,493,-0.0076561251325382587,-0.00016559615283744203,0.00077808436316588795,1.6304835609415804e-06,0.0075587822803415312,-1.1356488608622954,-0.091714363450293837,0.37750430693403725,0.20003058534460388,1.5721094997673695,4000.4116763067332,
24,354.10604653155235,99.873664017274464,453.9797105488268,19996,493,-0.0069048278122547579,-0.00014708675213560897,0.00069217045370901327,1.3184243620000798e-06,0.0069529182731389826,-1.1354954410502354,-0.091861450202429529,0.37787921851355988,0.20030427050021313,1.5716410131923209,4005.8851057337624,
0,108.195,0,108.195,19996,493,0,0,0,0,0,0,0,0,0,0,0,
1,79.516866653304334,1.4453067562829478e-14,79.516866653304348,19996,493,-0.10000000000000001,-0.045122757094083359,0.049687104361641983,0.0039592385678676387,0.10000000000000001,-0.10000000000000001,-0.045122757094083359,0.049687104361641983,0.0039592385678676387,0.10000000000000001,79.1808121187849,
2,63.131489252521362,4.2254562397145657e-14,63.131489252521405,19996,493,-0.10000000000000001,-0.018321019141680338,0.035505845559722318,0.0024684754647857827,0.10000000000000001,-0.20000000000000001,-0.063443776235762542,0.078965547885677848,0.011575113198903308,0.20000000000000001,231.49068886486725,
3,52.262672816974444,7.7052567459259984e-14,52.262672816974522,19996,493,-0.10000000000000001,-0.01022512333864793,0.03034179063374606,0.0019198193041672369,0.10000000000000001,-0.30000000000000004,-0.073668899574409197,0.10302643682830122,0.021107595014812318,0.30000000000000004,422.13079270123154,
4,44.903060499396446,1.1549554798183058e-13,44.90306049939656,19996,493,-0.10000000000000001,-0.0070215269189980558,0.026018724810225342,0.0015097814024844902,0.10000000000000001,-0.40000000000000002,-0.080690426493407102,0.12336377281371436,0.031638572642024701,0.40000000000000002,632.73981426785201,
5,39.88084055832644,1.5463014184025842e-13,39.880840558326597,19996,493,-0.10000000000000001,-0.005067538760445708,0.022480660849605292,0.001184892351505606,0.10000000000000001,-0.5,-0.08575796525385386,0.14038857523398043,0.042359009163099821,0.5,847.1378242528333,
6,36.404872233871345,1.9157089882743829e-13,36.404872233871536,19996,493,-0.10000000000000001,-0.0034163586522170226,0.019419120202896864,0.00090095772211492393,0.10000000000000001,-0.59999999999999998,-0.089174323906071107,0.15457680157289044,0.052478471287944105,0.59999999999999998,1049.5169472875941,
7,33.884354290468153,2.2484556234802077e-13,33.88435429046838,19996,493,-0.10000000000000001,-0.0021430821375963893,0.016870001735396486,0.00067383051985798743,0.10000000000000001,-0.69999999999999996,-0.091317406043667712,0.16650296953984139,0.06159365258567253,0.69999999999999996,1231.8114580608649,
8,31.932736947465152,2.5528362842262157e-13,31.932736947465408,19996,493,-0.10000000000000001,-0.0014583296923064424,0.014976469029598885,0.00052284673216335315,0.10000000000000001,-0.79999999999999993,-0.092775735735973613,0.17697698380548146,0.069931783201196376,0.79999999999999993,1398.5657322407262,
9,30.340565499400459,2.8399842470100728e-13,30.340565499400743,19996,493,-0.10000000000000001,-0.0010949115000866577,0.013597415866141542,0.00042618918008502073,0.10000000000000001,-0.89999999999999991,-0.093870647236060575,0.18656548401666748,0.077797845433288326,0.89999999999999991,1555.8791108203332,
10,28.996649048588289,3.117354565696741e-13,28.996649048588601,19996,493,-0.10000000000000001,-0.00087614187068766204,0.012548696550491222,0.00036088024363205854,0.10000000000000001,-0.99999999999999989,-0.094746789106748053,0.19547640459454188,0.085396061234550458,0.99999999999999989,1707.8358286297746,
11,27.924110867516404,3.3451702177420374e-13,27.924110867516738,19996,493,-0.080976254821993304,-0.0002535296511426751,0.011130608119383552,0.00025689312140810721,0.10000000000000001,-1,-0.095000318757890681,0.20328620899911204,0.091636788415964607,1,1832.6441315308762,
12,27.01668026087135,3.5560441599102378e-13,27.016680260871706,19996,493,-0.067108889618296863,-0.00020206314745883583,0.010232062748789569,0.0002139079631784223,0.10000000000000001,-1,-0.095202381905349534,0.21064330908743767,0.097413418471564928,1,1948.170956012827,
13,26.224718832496006,3.7569194969948035e-13,26.224718832496382,19996,493,-0.06342776501312998,-0.00017590871044348259,0.0095335761270941132,0.00018340770191503867,0.10000000000000001,-1,-0.095378290615792893,0.2176457613271329,0.10291614914421479,1,2058.2200667351517,
14,25.528930100831545,3.9478008805996206e-13,25.528930100831939,19996,493,-0.061521089437783463,-0.00011962207575413131,0.0089256668219417235,0.0001596623129975538,0.097004345378523135,-1,-0.095497912691546838,0.22430214284830427,0.1081451078588323,1,2162.7940120687872,
15,24.908432886354166,4.1319799079410734e-13,24.908432886354579,19996,493,-0.055828305939227767,-0.00010824877720326837,0.008419698259211638,0.00014135958040501832,0.085621438186692267,-1,-0.095606161468750533,0.23068329986371053,0.11319046383791879,1,2263.696086294538,
16,24.348040947757163,4.3102835946940986e-13,24.348040947757593,19996,493,-0.054158558649764342,-0.00010304872859448668,0.0079813068750824081,0.00012617023180898688,0.076115016346274988,-1,-0.095709210197345074,0.23683090777018626,0.11807487214997242,1,2361.3793681272982,
17,23.838715118838593,4.4839488751966045e-13,23.83871511883904,19996,493,-0.051275980583965874,-9.0185870665108076e-05,0.0076057910817552334,0.00011454883361081219,0.073138669461795675,-1,-0.095799396068009759,0.24273998629091939,0.12283221707675739,1,2456.5215093180709,
18,23.37167337689629,4.6531130585114194e-13,23.371673376896755,19996,493,-0.049399472573093801,-9.1770946823673905e-05,0.0072648993468664123,0.00010426865868405626,0.070334987500017446,-1,-0.095891167014833953,0.2484312500211702,0.12746626002971767,1,2549.1977343343237,
19,22.941939615203683,4.8172449175352847e-13,22.941939615204166,19996,493,-0.047620635990751441,-7.9069789633516598e-05,0.0069465617931781312,9.5220266614987615e-05,0.067917339712294592,-1,-0.095970236804467257,0.25391535504124035,0.13196244870134832,1,2639.1170115782652,
20,22.545127707247929,4.976788098372659e-13,22.545127707248426,19996,493,-0.042218178268980978,-7.183251482673101e-05,0.006659729516658928,8.7370080380413763e-05,0.065874524999497058,-1,-0.096042069319293863,0.25921862990102945,0.13633293622633635,1,2726.5223915905008,
21,22.175462842486663,5.1330976070990181e-13,22.175462842487175,19996,493,-0.040983004496141624,-7.4999534818923256e-05,0.0064127509121468347,8.0871603875352533e-05,0.05917377026854645,-1,-0.0961170688541131,0.26436745871506045,0.14061484131522911,1,2812.156211463267,
22,21.83136050728827,5.285249519944424e-13,21.8313605072888,19996,493,-0.040762574367870764,-6.4101079592331398e-05,0.0061733093775516107,7.4957542791173764e-05,0.056911308511396183,-1,-0.096181169933705415,0.26934760017287174,0.14478285422247961,1,2895.5123015953695,
23,21.510886113225588,5.4336837406195579e-13,21.510886113226132,19996,493,-0.040706896550677989,-5.2612955343845262e-05,0.0059539930019632927,6.9544445334368933e-05,0.054807021113667649,-1,-0.096233782889048797,0.27417134806305082,0.14884902556453974,1,2976.8316622652305,
24,21.210538820883141,5.5790116420234592e-13,21.210538820883698,19996,493,-0.040579217340786594,-6.724473803143811e-05,0.0057560065832494177,6.4976418673977007e-05,0.052843079172149227,-1,-0.096301027627080205,0.2788532108705174,0.15283010314356787,1,3056.4492327682137,
25,20.928629090272498,5.7210155581850742e-13,20.92862909027307,19996,493,-0.041530516704149048,-6.3895238543865322e-05,0.0055692181533110096,6.0699143272679984e-05,0.050989223176639051,-1,-0.096364922865624161,0.28339661385194498,0.15672012427030257,1,3134.2457652817811,
26,20.662822942276531,5.8601013356867341e-13,20.662822942277117,19996,493,-0.043019930992716553,-5.4261612084115429e-05,0.005399258040321514,5.699606692376441e-05,0.049231238118536975,-1,-0.096419184477708642,0.28781837270623339,0.1605302066084123,1,3210.4436019616378,
27,20.411401596250929,5.9962700783870329e-13,20.41140159625153,19996,493,-0.044485945350756763,-3.9394870705127304e-05,0.0052385218008545106,5.3681513623626334e-05,0.045001751259904903,-1,-0.096458579348413842,0.29212493370013426,0.16426038039673385,1,3285.0433475542804,
28,20.173008456798204,6.1301600228613088e-13,20.173008456798819,19996,493,-0.045928485505762201,-4.1389083694380656e-05,0.0050938407987957063,5.0759669230911254e-05,0.043431457737369103,-1,-0.096499968432107883,0.29632028490179818,0.1679281293345132,1,3358.3946585609297,
29,19.94663044224281,6.2618414520548016e-13,19.946630442243436,19996,493,-0.047345185565158043,-4.1911782536845814e-05,0.0049575429670268636,4.8038324796913496e-05,0.040263660412921218,-1,-0.096541880214644937,0.30041191633733533,0.17153537873584887,1,3430.5360393382416,
30,19.73209145411321,6.3907173994110623e-13,19.732091454113849,19996,493,-0.048729501619626962,-3.4167608920685576e-05,0.004820564421835748,4.5312511815939174e-05,0.040418112320104498,-1,-0.096576047823565506,0.30440017148067122,0.17506577544246674,1,3501.1404430738921,
