Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,1347.93,0,1347.93,10599,959,0,0,0,0,0,0,0,0,0,0,0,
1,719.50006469009634,35.7729539975969,755.27301868769325,10599,959,-0.67459368475823156,-0.16941685012287899,0.24944540053720418,0.091017852963442544,0.89487474733779526,-0.67459368475823156,-0.16941685012287899,0.24944540053720418,0.091017852963442544,0.89487474733779526,964.60720570656406,
2,626.55007205177117,66.406740707009547,692.95681275878076,10599,959,-0.36751935815138731,-0.036919535431220535,0.090005216469278559,0.012519405008424493,0.25180960253576828,-1.0282437366642907,-0.20633638555409878,0.32944858677914285,0.16274463864725522,1.1098678267319166,1724.7676803836107,
3,594.97111215136749,78.983247955715129,673.95436010708261,10599,959,-0.1814183175803919,-0.0014060252848960692,0.039768090475530225,0.0024588706889277518,0.14693750662673583,-1.1255067103702874,-0.20774241083899589,0.35621575231570934,0.18648591954371982,1.1940520689050116,1976.3777753243426,
4,576.74587805128999,87.858622732041354,664.60450078333133,10599,959,-0.1638973542856596,-0.0020317144942544087,0.026018210167730579,0.0010888714162883286,0.10243288047309095,-1.1478313853188871,-0.2097741253332496,0.37406175929399832,0.20242797286150224,1.2575647275550654,2145.3316563862008,
5,564.91704410425189,94.444595808020921,659.36163991227284,10599,959,-0.12538888654915767,-0.0019713055135133521,0.018430139736568273,0.00056013615617852132,0.076165854647708586,-1.1519374908817037,-0.21174543084676226,0.38683365093071997,0.21394242095597793,1.2989935757287538,2267.361777291454,
6,556.75404881873669,99.422840524381712,656.17688934311843,10599,959,-0.089836864693561641,-0.001736371019523961,0.013627526234350576,0.00031502287612794513,0.060480505136276688,-1.1520815612970661,-0.21348180186628751,0.39644743359328527,0.22246054606900029,1.3257479161959131,2357.636867239265,
7,550.87773393751172,103.25202175502784,654.12975569253956,10599,959,-0.075965790297589236,-0.0014911665385666101,0.010408294889694426,0.00018877512968266052,0.049228087713099257,-1.1514542958437617,-0.214972968404854,0.40387263385722377,0.22889865506992044,1.3431287280954012,2425.8679464310167,
8,546.51412231809229,106.24273276804485,652.75685508613719,10599,959,-0.060051649441166241,-0.001266212985485751,0.0081542986581146035,0.00011870220134335596,0.041306135458116913,-1.15074177611007,-0.21623918139033857,0.40969122804896285,0.23385290201576164,1.3606523761028773,2478.3730555630418,
9,543.19460543816126,108.6107291577386,651.80533459589992,10599,959,-0.046095102686914302,-0.0010710633892014648,0.0065126506748175118,7.7527061331915178e-05,0.035121155992175163,-1.1500996139760875,-0.2173102447795402,0.41435826075798698,0.23772568441005207,1.3765149540658836,2519.4168033777319,
10,540.61974355413258,110.50863590904402,651.12837946317654,10599,959,-0.03566464441853974,-0.00090567538731663795,0.0052784064249647772,5.2205479414624602e-05,0.030165821704862043,-1.1495565294889039,-0.21821592016685723,0.41811869404959184,0.24079503488042875,1.3887535418146668,2551.9457796627839,
11,538.59008121402633,112.04631341782365,650.63639463184995,10599,959,-0.030112022689661195,-0.00076694195897808058,0.0043295923998889485,3.6050575874137692e-05,0.026116188203557857,-1.1491081391973161,-0.21898286212583504,0.42116987440180009,0.24325721563550795,1.3982751128838387,2578.0399713051133,
12,536.9682944827133,113.30416379514283,650.27245827785612,10599,959,-0.025617357908410358,-0.0006510296453589951,0.003588042364869661,2.5426908170787979e-05,0.022755249797396702,-1.1487415423357443,-0.21963389177119402,0.42367925807269513,0.24525351108119442,1.4057325303856656,2599.1967104384985,
13,535.65724803296803,114.34194150826305,649.99918954123109,10599,959,-0.02270724584096144,-0.00055423279457000288,0.0030010591180441052,1.8259299581181483e-05,0.019931541869893907,-1.1484427156855512,-0.22018812456576398,0.42576009971485013,0.24688743212876155,1.4116052230552025,2616.5130057006149,
14,534.58665944167649,115.2046922377383,649.79135167941479,10599,959,-0.019855825413149848,-0.00047328477500229447,0.0025286437997839497,1.3315535038645108e-05,0.017535566730878374,-1.1481989136529711,-0.2206614093407667,0.42750250831262637,0.24823602790275268,1.4162510793993299,2630.8054237133729,
15,533.70468640101922,115.92681818197954,649.63150458299879,10599,959,-0.017153750116967535,-0.0004054254178832445,0.0021443299671214419,9.8397787181125947e-06,0.015485840252817629,-1.1479993358006551,-0.22106683475865074,0.42896847083596834,0.24935747148165305,1.4199406848708449,2642.690482762559,
16,532.97243669851889,116.53491473484137,649.50735143336021,10599,959,-0.015552341951247972,-0.00034836076719165399,0.0018295785822086763,7.355192094697124e-06,0.013720248681019852,-1.1478351600703671,-0.22141519552584157,0.4302095538752812,0.25029626071819711,1.4228807432128736,2652.639771091453,
17,532.36029810896321,117.04977294645978,649.41007105542303,10599,959,-0.014189468697937435,-0.00030021397951303028,0.0015688041422477373,5.5532363790890642e-06,0.012287830763976312,-1.1476993224516623,-0.22171540950535457,0.43126958472939247,0.25108684511650103,1.4252305113332799,2661.0183845446782,
18,531.84542810932726,117.48781265276904,649.33324076209624,10599,959,-0.012856982807524543,-0.00025945054282983977,0.0013513070236702298,4.2297091979525205e-06,0.011118574410083078,-1.1475862236959848,-0.22197486004818442,0.43217700409827886,0.25175618910283082,1.4271135308832352,2668.1120921118008,
19,531.40998965548863,117.86213222433915,649.27212187982775,10599,959,-0.011577411410030929,-0.00022481802424416768,0.0011685666666418123,3.2467304314122786e-06,0.01008379732702095,-1.1474914462836279,-0.22219967807242866,0.43295672277110819,0.25232561798866232,1.4286261914343841,2674.1468994438433,
20,531.03990837725144,118.18326966950009,649.22317804675151,10599,959,-0.010367157513105863,-0.0001952988680818043,0.001014392943216704,2.5095112599607257e-06,0.0091638781660379944,-1.1474115108558451,-0.22239497694051077,0.43362853260500928,0.25281215569377768,1.4298440658249068,2679.3032260426558,
21,530.72397059373304,118.45977182919007,649.18374242292316,10599,959,-0.0092372969519274803,-0.00017005729292696999,0.0008835812559479405,1.95178695364889e-06,0.0083428035775647714,-1.147343667496918,-0.22256503423343763,0.43420902904451486,0.25322950796514238,1.430826976993079,2683.7263254145787,
22,530.45316350626615,118.69862214386373,649.15178565012991,10599,959,-0.0081943561624111243,-0.00014840948244379754,0.0007720828824157016,1.5265744398345816e-06,0.0076073648693533733,-1.1472857363203688,-0.2227134437158805,0.43471257853565765,0.25358879763481879,1.4316214545450081,2687.5340773338094,
