Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,868.242,0,868.242,19999,450,0,0,0,0,0,0,0,0,0,0,0,
1,484.62441860368983,25.576970743094357,510.2013893467842,19999,450,-0.54186156071206126,-0.059507326532755513,0.19971251871536955,0.056248600396758261,0.82740862133062409,-0.54186156071206126,-0.059507326532755513,0.19971251871536955,0.056248600396758261,0.82740862133062409,1124.9157593347684,
2,418.92562505630565,46.030657683349133,464.9562827396548,19999,450,-0.32704644781278069,-0.011941932465204917,0.067351360489791387,0.0070879767686129781,0.25651460563833106,-0.86132361814075498,-0.071449258997960494,0.25818042606744473,0.096586364129043617,1.0839232269689552,1931.6306962167432,
3,393.46844051148975,56.688415276755563,450.15685578824531,19999,450,-0.18176104953012132,-0.00077934392618946979,0.033450388091000566,0.0018385710872165647,0.14358976173881408,-1.0136605664992384,-0.07222860292414994,0.28077363935027855,0.11527238364802125,1.2067792008908862,2305.3324005767772,
4,379.3042650892591,63.542138708606906,442.846403797866,19999,450,-0.14830529570297285,-0.0015621005128023289,0.02203600274911505,0.000817312125994363,0.10079430525503501,-1.0648300737005734,-0.073790703436952307,0.29420468567395097,0.12686570777649811,1.2733014672988181,2537.1872898221859,
5,370.21428352308868,68.420598144261788,438.63488166735044,19999,450,-0.10266919235654284,-0.0017355775892826,0.015971658347242512,0.00043939979195617375,0.074782068551255979,-1.0759772551984665,-0.075526281026235195,0.3036684832032836,0.13502422166855996,1.3110411620214815,2700.3494091495304,
6,363.91377030371376,72.084501347189601,435.99827165090335,19999,450,-0.083308507669737894,-0.001611245391816153,0.01214285462124637,0.00025919069990491616,0.059663686870780261,-1.0765915072480172,-0.077137526418051092,0.3109103631329419,0.1411238491653154,1.3325251511724232,2822.3358594571428,
7,359.32626077256151,74.927571170407646,434.25383194296916,19999,450,-0.0747889657864379,-0.0014193995093747529,0.0095109621012783863,0.00016230286919070129,0.049413676917389668,-1.0754501927569502,-0.078556925927425802,0.31661171378331571,0.14584345652829683,1.3443554768237187,2916.7232871094084,
8,355.86862699066756,77.183427569590805,433.0520545602584,19999,450,-0.061751472964871455,-0.0012291457281375187,0.0076199070286306911,0.00010625891901701995,0.041656109845417191,-1.0744323005079666,-0.079786071655563215,0.32120656758820859,0.1495774232307478,1.3503224357221735,2991.3988871917254,
9,353.19434336978429,79.003747972463145,432.19809134224744,19999,450,-0.047078633257438385,-0.0010592509633805137,0.0062098422959431521,7.202428690396753e-05,0.035631576157316255,-1.0737348206929873,-0.080845322618943713,0.32496240849682362,0.15258035432626005,1.3527161733161321,3051.4545061708745,
