Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,378.628,90.6001,469.228,19995,494,0,0,0,0,0,0,0,0,0,0,0,
1,369.34150249902757,89.659217253444112,459.0007197524717,19995,494,-0.39522615045686921,0.0012993492841020216,0.026122808794308176,0.0021963642302286314,0.29428446518728102,-1.0788334122336458,-0.081890236927036439,0.3439819479081368,0.16603714697793867,1.385132198516833,3320.5769024117953,
2,366.50551246672308,90.406746694823397,456.91225916154644,19995,494,-0.19618782493621328,-0.0015591779560788391,0.010672932374017754,0.00032723889248249729,0.10736583343042032,-1.1094495539709817,-0.083449414883115164,0.34554551772293141,0.16776237621848564,1.3859709601215766,3355.0797619934942,
3,365.20378468035284,90.840538886119234,456.04432356647209,19995,494,-0.12897105915652643,-0.00043121818008512452,0.0062843655668252032,0.00010979091420983603,0.063612152964242108,-1.0832001156595599,-0.083880633063200385,0.34631025918809077,0.16853569093495002,1.3882639374898587,3370.5452830080653,
4,364.40387075331694,91.170596667901492,455.5744674212184,19995,494,-0.091712500996893681,-0.00030964902306115889,0.0043885107170862497,5.3295820105708553e-05,0.045151105509076236,-1.0630010988659171,-0.084190282086261753,0.34692012795003918,0.16907423642295696,1.3905943328788073,3381.3156542227161,
5,363.85007571034851,91.434219940460267,455.28429565080876,19995,494,-0.063555597546373271,-0.00023296361524725317,0.0033226014838661018,3.0488859750880251e-05,0.036238146536723512,-1.0528926365376656,-0.084423245701508776,0.3474325882513038,0.16948142673521538,1.3926740435702418,3389.4590532775724,
6,363.43751587605868,91.653682218760565,455.09119809481922,19995,494,-0.05156117571492648,-0.00018717189594970294,0.0026201469624813267,1.9045329947666799e-05,0.030320097257469678,-1.0471716219831528,-0.084610417597458576,0.34787040349662857,0.1698107151506062,1.3944623511483352,3396.0444922969732,
7,363.11560170736271,91.840809401333956,454.95641110869667,19995,494,-0.043265103422456042,-0.00015608474647964073,0.0021188546460646157,1.2584392537719228e-05,0.025849589123330616,-1.0438781354475817,-0.084766502343938385,0.34825336237762439,0.17008720005685546,1.3959833341080599,3401.5739139370521,
8,362.85639737038969,92.002725947558801,454.8591233179485,19995,494,-0.036909732181295452,-0.00013333801147305454,0.0017465324511447815,8.6521549080714365e-06,0.022330561624109922,-1.0419046374662757,-0.08489984035541133,0.34859231004659275,0.17032446495516562,1.3972738347880189,3406.3189746383573,
9,362.64293931485958,92.144177133019284,454.78711644787887,19995,494,-0.031705565313778106,-0.00011569557073454611,0.0014604949315379025,6.1284363762421043e-06,0.019484631747862531,-1.0406566424409252,-0.08501553592614558,0.34889504789269804,0.17053076783301996,1.39836911885502,3410.4448258925663,
10,362.46416991289829,92.268586021173334,454.73275593407163,19995,494,-0.026808427766215871,-0.00010143526374975409,0.0012348231242616603,4.4436562606443181e-06,0.01713796481101431,-1.0398185783020477,-0.085116971189895627,0.34916579136931519,0.17071167951243721,1.3992997802832718,3414.0628785692315,
11,362.31248669012297,92.378559647691262,454.69104633781421,19995,494,-0.022318213455119553,-8.9584728402115061e-05,0.0010532568964361218,3.2848774330097619e-06,0.015173815817111956,-1.0392217781432824,-0.085206555918297844,0.34940579242542991,0.17087126737795466,1.4000909490131328,3417.254476291715,
12,362.18244281818494,92.476161063795686,454.65860388198064,19995,494,-0.018312662597102857,-7.9540529695615238e-05,0.00090531941383376676,2.4686341830742166e-06,0.013509801984926217,-1.0387742768580379,-0.085286096447993162,0.34961919385272311,0.17101266983127955,1.4007638277693555,3420.0823839557597,
13,362.07000727380887,92.56306606850454,454.63307334231342,19995,494,-0.014965968189994384,-7.091134197918336e-05,0.00078341594985580976,1.8820573261604362e-06,0.012085698740580724,-1.0384244405159018,-0.085357007789972322,0.34981072225903986,0.17113840210784215,1.401336132787695,3422.5969037547352,
14,361.97211779708658,92.640660711699809,454.61277850878639,19995,494,-0.013484078352057222,-6.3426594670727509e-05,0.00068195963162714609,1.453114633781419e-06,0.010856314704569601,-1.0381420979209532,-0.08542043438464314,0.34998383514179959,0.17125052985962616,1.4018227520900932,3424.8393466626635,
