Iteration,Cost_data,Cost_reg,Cost_total,Streamlines,Fixels_excluded,Step_min,Step_mean,Step_mean_abs,Step_var,Step_max,Coeff_min,Coeff_mean,Coeff_mean_abs,Coeff_var,Coeff_max,Coeff_norm,
0,889.599,0,889.599,19998,459,0,0,0,0,0,0,0,0,0,0,0,
1,486.05045147408242,11.655546381285626,497.70599785536803,19998,459,-0.55113242447191924,-0.053352246297138133,0.20834352121583449,0.060135664547274828,0.84091045288236355,-0.55113242447191924,-0.053352246297138133,0.20834352121583449,0.060135664547274828,0.84091045288236355,1202.6531552809492,
2,412.70437573165157,22.748785244213824,435.45316097586539,19998,459,-0.35338485930529334,-0.014557298932015477,0.084123016835436937,0.010448686007537275,0.26388029643246452,-0.86338079500560994,-0.067909545229153531,0.28523837910662447,0.11478675851161177,1.0813880981202011,2295.6203834737239,
3,383.93655327830868,30.057246295703735,413.99379957401243,19998,459,-0.25310141484193577,-0.00098197703943201991,0.044532215165795336,0.0030696318752108332,0.15713025026854557,-1.0722013241816291,-0.068891522268585623,0.32019235308850935,0.14620480891099774,1.201730799293768,2923.9499734110436,
4,367.81152343105992,35.131388679214886,402.94291211027479,19998,459,-0.16484388168245329,0.0002579790702715596,0.029771163695829373,0.0013819227384435871,0.10860542256793215,-1.2069269925427801,-0.068633543198313898,0.34068675851712377,0.16659207636899295,1.2695920405311067,3331.6749353034902,
5,357.38016114755055,38.838848704285482,396.21900985183606,19998,459,-0.16528171218069615,-0.0001145456156321844,0.022020614355353522,0.00076364099524808436,0.083287040829746778,-1.2517386940621422,-0.068748088813946229,0.35482586190562976,0.18139287085739536,1.3107681881427351,3627.6760242770497,
6,350.08027985235526,41.646125621605975,391.72640547396122,19998,459,-0.16241484064919798,-0.00038489756766585723,0.017210196798021542,0.00047284376162232486,0.06765072053707305,-1.2833765077775952,-0.069132986381612013,0.36544820222559682,0.19284888376626172,1.3368743447361495,3856.7848264414683,
7,344.70063047110119,43.830622707862432,388.53125317896365,19998,459,-0.15608345932348625,-0.00049414558500351718,0.013945158428122155,0.00031544342009336428,0.057666155556956561,-1.3511374015056588,-0.069627131966615713,0.37390715881023073,0.20208875128189724,1.3538839433184815,4041.5729368866628,
8,340.5860111489194,45.566674531568715,386.1526856804881,19998,459,-0.14711919965737319,-0.00051538358173354904,0.011602739127801912,0.00022205966828492966,0.049849423615924295,-1.4096208271285788,-0.070142515548348813,0.38090867714922738,0.20976058656518679,1.3651437380735005,4195.0019707171705,
9,337.3495234424783,46.969072356898572,384.31859579937685,19998,459,-0.1415193373257643,-0.00049486748670972598,0.0098430996670572663,0.00016285499178389637,0.043651829348956374,-1.4609144175478084,-0.070637383035058954,0.38684434752336988,0.21626965091991376,1.3726473527225134,4325.1767487473553,
10,334.74772765090034,48.116770780095862,382.86449843099621,19998,459,-0.14448824372809976,-0.00045631278223776393,0.0084748310713433517,0.00012322905352464973,0.03864945771217624,-1.5822530051388519,-0.071093695817296437,0.39193749495068464,0.22188401853959386,1.3776389308119039,4437.4584867733374,
11,332.61954184898781,49.065809301328059,381.68535115031585,19998,459,-0.14481771575945962,-0.00041178171062818548,0.0073835043222195583,9.5487757926770542e-05,0.034544230916083551,-1.7175497299843083,-0.071505477527924591,0.39636771959885381,0.2267895839255103,1.383055518096608,4535.5648889262802,
12,330.85376668820942,49.856920162075745,380.71068685028519,19998,459,-0.14230824971420672,-0.00036859931237924676,0.0064956848884063943,7.555952617754175e-05,0.031122584874116996,-1.8479885985191271,-0.071874076840304169,0.40027697140766422,0.23112338156319934,1.3884269071002753,4622.2365078824232,
